,perguntas,respostas,,,
0,o que e o novo coronavirus?,"Os coronavírus causam infecções respiratórias em seres humanos e em animais. Geralmente, são doenças respiratórias leves a moderadas, semelhantes a um resfriado comum. Já o novo coronavírus é uma nova cepa do vírus (2019-nCoV) que foi notificada em humanos pela primeira vez na cidade de Wuhan, na província de Hubei, na China.",,,
1,por que a doenca causada pelo novo virus recebeu o nome de covid-19?,"Desde o início de fevereiro, a Organização Mundial da Saúde (OMS) passou a chamar oficialmente a doença causada pelo novo coronavírus de Covid-19. COVID significa COrona VIrus Disease (Doença do Coronavírus), enquanto “19” se refere a 2019, quando os primeiros casos em Wuhan, na China, foram divulgados publicamente pelo governo chinês no final de dezembro. A denominação é importante para evitar casos de xenofobia e preconceito, além de confusões com outras doenças.",,,
2,a organizacao mundial de saude (oms) disse que notas de dinheiro carregam covid-19?,"Não. A Organização Mundial da Saúde não disse que notas de dinheiro transmitem Covid-19, nem emitiu avisos ou declarações sobre isso. A OMS recomenda que as pessoas lavem as mãos regularmente com água e sabão ou higienizador à base de álcool, para matar vírus que possam estar nas mãos.",,,
3,diante da falta de alcool gel podemos colocar gel de cabelo no alcool 70 liquido como alternativa?,"Preparações caseiras não possuem a certificação do InMetro, que garante a concentração correta do álcool no produto e a eficácia do mesmo. Adicionalmente, a manipulação de produtos inflamáveis em ambientes não seguros pode resultar em acidentes.",,,
4,"cha de abacate com hortela, mel, uisque ou outras substancias previnem a infeccao pelo coronavirus? ","Até o momento, não há nenhum medicamento, substância, vitamina, alimento específico ou vacina que possa prevenir a infecção pelo novo coronavírus.",,,
5,a pessoa pode transmitir o coronavirus mesmo sem apresentar sintoma?,"Sim. Pelos dados apresentados até momento, o período de incubação do vírus pode variar de dois a 14 dias. Durante esse tempo, o vírus tem capacidade de transmissão. Por isso, é importante adotar medidas gerais, como lavar as mãos com frequência e não compartilhar objetos de uso pessoal. A transmissibilidade dos pacientes infectados por SARSCoV é em média de sete dias após o início dos sintomas. No entanto, dados preliminares do coronavírus (SARS-CoV-2) sugerem que a transmissão possa ocorrer mesmo sem o aparecimento de sinais e sintomas. Ou seja, a doença pode ser transmitida mesmo em casos assintomáticos ou antes que a pessoa comece a apresentar sintomas mais claros. Até o momento, não há informações suficientes de quantos dias anteriores ao início dos sinais e sintomas uma pessoa infectada passa a transmitir o vírus.",,,
6,e possivel se contaminar por meio de aperto de maos ou com beijos no rosto?,"Sim, é possível. É recomendável evitar, ao menos temporariamente, esse 
tipo de contato físico, uma vez que pessoas assintomáticas também são 
capazes de transmitir a doença.",,,
7,por que nao sao apenas as pessoas de risco que precisam ficar isoladas?,"Porque cada um tem seu papel na transmissão. Estudos mostram que cada pessoa infectada transmite para até outras três pessoas. Ao fim de dez passos, já são mais de 10 mil pessoas infectadas. ",,,
8,e possivel se infectar atraves da relacao sexual?,"Pela relação sexual não, mas o beijo pode ser um transmissor do vírus.",,,
9,como o coronavirus e transmitido?,"Por se tratar de uma doença nova, os cientistas ainda estão descobrindo uma série de fatores relacionados a ela. Mas já se sabe que a transmissão se dá por contato com secreções contaminadas, como gotículas de saliva, espirro, tosse e catarro. Deve-se evitar o contato pessoal próximo, como toque ou aperto de mão, e contato com objetos ou superfícies contaminadas, seguido de contato com a boca, o nariz ou os olhos.",,,
10,qual e a recomendacao para quem suspeite que pode estar com o coronavirus?,"Em 80% dos casos, os sintomas de coronavírus são leves, semelhantes a uma gripe. Nestes casos, o essencial, segundo a Organização Mundial da Saúde, é evitar sair de casa. O Ministério da Saúde recomenda ficar em repouso e tomar bastante água. Se precisar sair, deve-se usar máscaras cirúrgicas (se possível) ou caseiras, conforme a orientação do MS. Evitar circular em lugares fechados, com muitas pessoas e com pouca ventilação. Além disso, é preciso entender que ir ao trabalho ou à escola com sintomas de gripe implica expor potencialmente outras pessoas à doença. Além disso, ao espirrar, deve-se colocar o antebraço ou um lenço na frente do nariz e boca; utilize lenço descartável para higiene nasal; não compartilhe talheres, copos, toalhas e demais objetos pessoais; e mantenha uma distância mínima de um metro de qualquer pessoa, sendo ideal dois metros.",,,
11,o virus que causa a doenca covid-19 esta no ar?,"O vírus que causa a Covid-19 é transmitido principalmente através de gotículas geradas quando uma pessoa infectada tosse, espirra ou fala.",,,
