query,per_um,ava_um,per_dois,ava_dois,per_tres,ava_tres
o covid-19 acabara com o mundo,"assumindo que covid-19 nao acabou, isso acabara com o mundo e a humanidade?",100,o covid-19 algum dia acabara?,0,que licoes o mundo aprendera com covid-19?,0
o que e covid 19 malaysia,covid 19 malaysia puchong,100,covid 19 malaysia berita,100,covid 19 malaysia moh,100
onde esta o coronavirus reino unido,onde esta o coronavirus agora no reino unido,100,"coronavirus no reino unido, onde",100,casos de coronavirus no reino unido onde,100
como as familias podem se preparar para o bloqueio,como e a vida em bloqueio devido a covid-19,70,quais sao as sugestoes de coisas a fazer na quarentena covid-19,80,quanto tempo esse bloqueio de coronavirus durara,55
quantos casos de coronavirus na fl,quantos casos de coronavirus em orlando fl,100,quantos casos de coronavirus em jacksonville fl,100,quantos casos de coronavirus em napoles fl,100
coronavirus e de,coronavirus e de onde,100,e epidemia de coronavirus,0,e coronavirus de animais,0
o coronavirus sempre inclui febre,o coronavirus sempre apresenta febre,100,o coronavirus sempre comeca com febre,80,o coronavirus sempre mata,0
coronavirus na europa finlandia,coronavirus na europa 2020,40,e coronavirus na europa,40,coronavirus na europa mapa,50
como posso impulsionar o sistema imunologico do meu filho naturalmente,como posso impulsionar meu sistema imunologico naturalmente,50,como posso impulsionar o sistema imunologico do meu cao naturalmente,0,como posso impulsionar o sistema imunologico do meu bebe naturalmente,100
coronavirus e carolina do sul,e o coronavirus da carolina do sul,100,e coronavirus na carolina do norte,0,coreia do sul coreia do sul,0
casos de coronavirus na fl,casos confirmados de coronavirus em fl,100,quantos casos de coronavirus em orlando fl,0,quantos casos de coronavirus em napoles fl,0
quantas mortes por coronavirus no estado de washington,coronavirus no estado de washington,20,quantas mortes por coronavirus no mundo,0,quantas mortes por coronavirus no tennessee,0
virus corona you tube china,virus corona na china you tube,100,you tube corona virus na china,100,coronavirus you tube china,100
vitaminas para fortalecer o sistema imunologico fraco,quais vitaminas tomar para fortalecer seu sistema imunologico,100,quais vitaminas devo tomar para o sistema imunologico fraco,100,como fortalecer o sistema imunologico fraco,20
coronavirus e uma conspiracao falsa,a teoria da conspiracao da china espalhando covid-19 e legitima?,50,quais sao as teorias da conspiracao em torno de covid-19?,50,coronavirus e uma arma,0
o que e um teste de coronavirus,o que e teste de coronavirus,100,existe um teste de coronavirus,0,o que e kit de teste de coronavirus,100
se eu tiver um sistema imunologico enfraquecido devo cancelar meus planos de viagem,devo cancelar a minha viagem?,80,devo cancelar a minha viagem para o exterior?,80,o que fazer se voce tiver um sistema imunologico enfraquecido,0
coisas boas para impulsionar seu sistema imunologico,quais vitaminas sao boas para impulsionar o sistema imunologico,80,coisas para manter seu sistema imunologico forte,100,coisas para impulsionar o sistema imunologico durante a gravidez,100
posso sair,posso ser rastreado ao sair ou chegar ao meu destino?,0,devo sair de casa?,100,e seguro sair de ferias?,100
alimentos para estimular o sistema imunologico quando estiver doente,o que comer para estimular seu sistema imunologico quando estiver doente,100,como posso estimular meu sistema imunologico quando estiver doente,40,como estimular naturalmente seu sistema imunologico quando estiver doente,40
como impulsionar seu sistema imunologico para vencer o hpv,como impulsionar seu sistema imunologico para combater o hpv,100,como impulsionar o seu sistema imunologico para curar o hpv,100,como impulsionar o seu sistema imunologico para limpar o hpv,100
coronavirus originado da sopa de morcegos,o coronavirus veio da sopa de morcego,100,coronavirus originado de,0,coronavirus originado,100
como verificar se ha baixo sistema imunologico,como verificar o sistema imunologico baixo,100,como verificar se o seu sistema imunologico esta baixo,100,como verificar se voce tem um sistema imunologico baixo,100
os sintomas de covid-19 vem e vao,quais sintomas de covid-19 vem primeiro?,0,de onde vem os coronavirus,0,os sintomas de covid-19 vem juntos ou voce pode ter sintomas separados aparecendo em momentos diferentes?,80
qual e o novo nome do coronavirus,qual e o nome do coronavirus?,100,qual e o nome do virus corona,100,qual e o outro nome do virus corona,100
como impulsionar seu sistema imunologico e se manter saudavel na temporada de gripe,como manter seu sistema imunologico forte durante a temporada de gripe,100,como manter seu sistema imunologico saudavel,100,como manter seu sistema imunologico forte e saudavel,100
casos de coronavirus na inglaterra,e coronavirus na inglaterra,100,onde estao os 2 casos de coronavirus na inglaterra,30,coronavirus nhs inglaterra,30
