Perguntas,Respostas
Quais são os EPIs que devo utilizar?,"A Agência Nacional de Vigilância Sanitária (Anvisa), a Organização Mundi-al da Saúde (OMS) e o Conselho Federal de Enfermagem (Cofen) elaboraram recomendações  baseadas  nas  evidências  científicas  até  então  produzidas  sobre a COVID-19. Todas as entidades apontam que a transmissão do novo coronavírus  (SARS-CoV-2)  ocorre  por  meio  de  gotículas  respiratórias,  por  contato  (direto  ou  indireto)  e  pelo  contato  com  os  aerossóis  do  paciente  contaminado. Sendo assim, as precauções a serem adotadas pelos serviços de saúde referem-se a transmissão por gotículas e aerossóis e por contato. Em termos de EPI a serem utilizados por profissionais da saúde em quar-to/área/enfermaria/box  de  pacientes  suspeitos  ou  confirmados  de  COV-ID-19,  recomenda-se  o  uso  de  óculos  de  proteção  ou  protetor  facial  (face  shield),  máscara  N95/PFF2,  avental  e  luvas  de  procedimento,  além  da  higiene das mãos. Em áreas coletivas em que há procedimentos geradores de  aerossóis  é  necessário  a  avaliação  de  risco  quanto  a  indicação  do  uso  máscara  N95/PFF2  ou  equivalente  pelos  outros  profissionais  dessa  área,  que não estão envolvidos diretamente com esse procedimento. Quando o profissional atuar em procedimentos com risco de geração de aerossóis,  em  pacientes  suspeitos  ou  confirmados  de  infecção  pelo  novo  coronavírus,  deve  utilizar  a  máscara  de  proteção  respiratória  (respirador  particulado) com eficácia mínima na filtração de 95% de partículas de até 0,3μ (tipo N95, N99, N100, PFF2 ou PFF3). São alguns exemplos de procedi-mentos com risco de geração de aerossóis: intubação ou aspiração traqueal, ventilação  não  invasiva,  ressuscitação  cardiopulmonar,  ventilação  manual  antes da intubação, coletas de secreções nasotraqueais, broncoscopias, etc.É  importante  ressaltar  que  a  máscara  N95/PFF2  ou  equivalente  com  válvula  expiratória  não  pode  ser  utilizada  como  controle  de  fonte,  pois  ela  permite a saída do ar expirado pelo profissional que, caso esteja infectado, poderá  contaminar  pacientes,  outros  profissionais  e  o  ambiente.  Caso  só  tenha   disponível   este   modelo   de   máscara   com   válvula   expiratória,   recomenda-se o uso concomitante de um protetor facial.Quanto  às  áreas  de  assistência  a  pacientes  (por  exemplo,  enfermarias,  quartos, consultório) não confirmados de COVID-19, recomenda-se a máscara  cirúrgica  (+  outros  EPIs  de  acordo  com  a  precaução  padrão  e,  se  necessário, precauções específicas). É importante se atentar para as outras medidas de prevenção, como higiene das mãos e distância de pelo menos 1 metro de outras pessoas.O avental não precisa ser necessariamente impermeável, mas o profis-sional de saúde deve avaliar cada situação e deve utilizar o avental imper-meável dependendo do quadro clínico do paciente (vômitos, diarreia, hiper-secreção  orotraqueal,  sangramento,  dentre  outros).  A  gramatura  indicada  para  o  avental  ou  capote  utilizado  em  serviços  de  saúde  é  de  no  mínimo  30g/m2 e, no caso de ser impermeável, a gramatura mínima deve ser de 50 g/m2.  As  luvas  de  procedimentos  não  cirúrgicos  devem  ser  utilizadas,  no  contexto da epidemia da COVID-19, em qualquer contato com o paciente ou seu entorno (precaução de contato). Quando o procedimento a ser realizado no paciente exigir técnica asséptica, devem ser utilizadas luvas estéreis (de procedimento cirúrgico)."
"Qual a diferença da máscara cirúrgica, máscara N95 e Face Shield? Quando e por quanto tempo devo usar cada uma?","A  principal  diferença  entre  a  máscara  cirúrgica  e  o  protetor  respiratório  N95 ou similar, é o tipo e tamanho de partícula que filtram, proporcionado pelo material usado no sua fabricação e especificações técnicas.As máscaras cirúrgicas devem ser utilizadas para evitar a contaminação da boca e nariz do profissional por gotículas respiratórias, quando o mesmo atuar a uma distância inferior a 1 metro do paciente suspeito ou confirmado de  infecção  pelo  novo  coronavírus.  A  máscara  deve  ser  confeccionada  de  material tecido-não tecido (TNT), possuir no mínimo uma camada interna e uma camada externa e obrigatoriamente um elemento filtrante. A camada externa  e  o  elemento  filtrante  devem  ser  resistentes  à  penetração  de  fluidos transportados pelo ar (repelência a fluidos). Deve ser confeccionada de forma a cobrir adequadamente a área do nariz e da boca do usuário, pos-suir  um  clipe  nasal  constituído  de  material  maleável  que  permita  o  ajuste  adequado do contorno do nariz e das bochechas. E o elemento filtrante deve possuir  eficiência  de  filtragem  de  partículas  (EFP)  >  98%  e  eficiência  de  filtragem bacteriológica (BFE) > 95%.A máscara  de  proteção  respiratória  (respirador  particulado)  N95  é  um  dispositivo com eficácia mínima na filtração de 95% de partículas de até 0,3μ, semelhante aos tipos N99, N100, PFF2 ou PFF3. É um equipamento de proteção  individual  (EPI)  que  cobre  a  boca  e  o  nariz,  proporciona  uma  vedação  adequada  sobre  a  face  do  usuário,  possui  filtro  eficiente  para  retenção   dos   contaminantes   atmosféricos   presentes   no   ambiente   de trabalho na forma de aerossóis.O  protetor  ocular  ou  protetor  de  face  (FACE  SHIELD),  são  óculos  de  proteção ou protetores faciais que cobrem a frente e os lados do rosto, os quais devem ser utilizados quando houver risco de exposição do profissional a  respingos  de  sangue,  secreções  corporais  e  excreções.  Os  óculos  de  proteção  ou  protetores  faciais  devem  ser  exclusivos  de  cada  profissional  responsável pela assistência, devendo após o uso sofrer limpeza e posterior desinfecção com álcool líquido a 70%, hipoclorito de sódio ou outro desinfe-tante  recomendado  pelo  fabricante.  Caso  o  protetor  facial  tenha  sujidade  visível,  deve  ser  lavado  com  água  e  sabão/detergente  e  só  depois  dessa  limpeza, passar pelo processo de desinfecção."
O profissional de enfermagem pode utilizar máscara caseira em serviços de saúde?,"As máscaras de tecido não são consideradas EPI porque não atendem a Resolução  RDC  Nº  379,  DE  30  DE  ABRIL  DE  2020.  Sendo  assim  servem  para impedir que a pessoa que a está usando espalhe secreções respiratóri-as ao falar, espirrar ou tossir (controle da fonte), desde que estejam limpas e secas,  portanto  não  devem  ser  usadas  por  profissionais  que  atuam  nos  serviços   de   saúde,   conforme   descrito   na   Nota   Técnica   Nº   04/2020   GVIMS/GGTES/Anvisa  e  nas  Orientações  Sobre  a  Colocação  Dos  Equipa-mentos De Proteção Individual (EPI) do Conselho Federal de Enfermagem.Quem pode usar máscaras de tecido dentro dos serviços de saúde, con-forme especificado na Norma Técnica da Anvisa? Pacientes assintomáticos, visitantes  e  acompanhantes,  profissionais  que  atuam  na  recepção,  áreas  administrativas  (quando  não  tiver  contato  a  menos  de  1  metro  com  pacientes),  profissionais  de  áreas  em  que  não  há  assistência  a  pacientes  como manutenção, almoxarifado, farmácia, etc (quando não tiver contato a menos  de  1  metro  com  pacientes),  profissionais  de  saúde  e  de  apoio  em  situações  em  que  não  há  necessidade  do  uso  de  máscara  cirúrgica  ou  de  máscara de proteção respiratória N95/PFF2."
Qual é a ordem correta de paramentação e desparamentação?,"Antes  de  iniciar  a  paramentação  e  após  a  paramentação,  lave  as  mãos  com água e sabão ou higienize com solução alcoólica a 70%.PARAMENTAÇÃO1º Avental ou capote2º Máscara cirúrgica ou Máscara de proteção respiratória*3º Óculos ou protetor facial4º Gorro ou touca*5º Luvas*No  caso  de  procedimentos  gera-dores de aerossóis DESPARAMENTAÇÃO1º Luvas 2º Avental ou capote3º Gorro ou touca*4º Óculos ou protetor facial*5º Máscara cirúrgica ou de proteção respiratória*"
O que fazer quando faltar capote?,"Na falta de capotes ou avental nas instituições de saúde, o profissional de enfermagem  deverá  comunicar  imediatamente  por  escrito  e  ou  por  meio  eletrônico aos responsáveis pela unidade, assim como também ao Conselho Regional de Enfermagem."
"Se faltar o EPI adequado, o que devo fazer? Posso me recusar a prestar assistência?","É um direito do profissional exercer a Enfermagem com liberdade, segu-rança  técnica,  científica  e  ambiental  e  com  autonomia.  Desta  forma,  o  profissional  de  enfermagem  deve  avaliar  cada  situação  da  assistência  de  enfermagem para prestar assistência segura ao paciente e para si mesmo. De acordo com o Art. 17 da Resolução RDC 63/2011, que dispõe sobre os  Requisitos  de  Boas  Práticas  de  Funcionamento  para  os  Serviços  de  Saúde,   o   serviço   de   saúde   deve   prover   infraestrutura   física,   recursos   humanos,  equipamentos,  insumos  e  materiais  necessários  à  operacional-ização  do  serviço  de  acordo  com  a  demanda,  modalidade  de  assistência  prestada e a legislação vigente.O profissional, ao constatar a ausência de EPI adequado ao atendimento que realiza (verificar quais EPI são recomendados para cada setor e tipo de atendimento  específico  conforme  Nota  Técnica  GVIMS/GGTES/Anvisa  -  04/2020),  deve  antes  procurar  os  gestores  responsáveis  pelo  seu  serviço  de saúde para comunicar o fato e solicitar o reabastecimento. Recomenda-se  que  antes  de  tomar  qualquer  decisão  de  negativa  da  continuidade da assistência, certifique-se de que realmente a desabasteci-mento  dos  EPI.  Persistindo  o  problema  do  desabastecimento,  denuncie  junto ao COREN-DF e demais órgãos de controle.O  profissional  poderá  suspender  suas  atividades  individuais,  quando  o  local de trabalho não oferecer condições seguras para o exercício profission-al e houver risco para sua integridade física, desde que, não seja uma situ-ação de urgência, emergência, epidemia, desastre e catástrofe. Desta forma, o profissional deverá formalizar imediatamente sua decisão por escrito e/ou por meio de correio eletrônico à instituição e ao Conselho Regional de Enfer-magem."
Técnico em enfermagem também faz e dá o diagnóstico do teste rápido?,"O  enfermeiro  tem  competência  técnica  e  legal  para  a  realização  do  exame, aconselhamento pré-teste e pós- teste rápido para diagnóstico de COVID-19, emissão de laudo, realização ou solicitação de exame para con-firmação  diagnóstica,  encaminhamentos,  agendamentos  e  eventos  que  necessitem de sua supervisão ou orientação.  Os testes rápidos para COVID-19 são metodologicamente equiparáveis a  outros  testes  já  realizados  pelas  equipes  da  Atenção  Básica,  como,  por  exemplo,  o  teste  de  glicemia.  Os  testes  rápidos  devem  ser  amplamente  utilizados para triagem, sendo seu resultado reagente, não definem o diag-nóstico, o que vai requerer a realização de testes complementares e receber atendimento clínico.O  Técnico  e/ou  Auxiliar  de  Enfermagem  devidamente  treinado  e  sob  a  supervisão do enfermeiro pode realizar teste rápido para triagem do COV-ID-19,  encaminhando  prontamente  para  o  enfermeiro,  os  clientes  com  resultado reagente. Cabe-lhe a anotação em prontuário ou boletim de aten-dimento, da data e hora do procedimento, aspecto da polpa digital ou local de  punção,  desconforto  decorrente  da  perfuração  necessária,  resultados  encontrados,  incluindo  as  orientações  efetuadas,  nome  completo  e  Coren  do responsável pelo procedimento. O Técnico e/ou Auxiliar de Enfermagem não pode emitir laudo, que é priv-ativo do enfermeiro ou profissional de nível superior. Todavia, deve colaborar com o enfermeiro durante todo o procedimento, disponibilizando insumos e recursos  necessários  além  de  condições  adequadas  para  procedimento  e  acolhimento.  Ressalva-se  que  os  profissionais  necessitam  estar  devida-mente  capacitados  para  a  realização  do  procedimento  como  preconiza  a  legislação."
Preciso ofertar máscara para o acompanhante do paciente?,"Sim.  O  uso  de  máscaras  pelos  acompanhantes  se  faz  necessário  para  proteção  do  mesmo  e  das  outras  pessoas,  visto  que  o  acompanhante  é  considerado um caso suspeito. A máscara impedirá que seja um difusor do vírus. As orientações destacam, no entanto, que o uso da máscara por si só é insuficiente  para  oferecer  um  nível  adequado  de  proteção,  e  que  para  isso  também  devem  ser  adotadas  outras  medidas  como  a  higiene  das  mãos,  evitar contatos desnecessários e manter o distanciamento, para impedir a transmissão do novo coronavírus"
"Se um profissional da equipe testar positivo para COVID-19, o que a equipe deverá fazer?","O  profissional  deverá  ser  afastado  por  14  dias  como  medida  de  con-tenção da proliferação. Este deve ser acompanhado para observação de seu quadro respiratório. Quanto a equipe, todos devem ser testados e monito-rados"
 A equipe de enfermagem está com déficit de pessoal por conta do afastamento dos grupos de risco. O que pode ser feito?,"Primeiramente o gestor de enfermagem deve realizar o remanejamento adequado.  Em  segundo  lugar  o  gestor  deve  informar  aos  superiores  a  necessidade de reforço de quantitativo de pessoal. A gestão deve avaliar a continuidade do serviço e se possui relação com o atendimento prioritário a população no momento de pandemia, podendo o serviço ser interrompido e a equipe remanescente ser realocada em áreas com necessidade de reforço. O Responsável Técnico (RT) deve elaborar o cálculo de dimensionamento de pessoal de enfermagem conforme a Resolução Cofen 543/2017 e apre-sentar o déficit aos gestores/superiores para providências. E caso não sejam adotadas medidas para o saneamento do déficit, formalizar denúncia para o Coren-DF por meio do Fale Conosco."
