Perguntas,Respostas
O que são os Coronavírus?,"Os coronavírus pertencem à família Coronaviridae que integra vírus que podem causar infecção no Homem, noutros mamíferos (por exemplo nos morcegos, camelos) e nas aves. Até à data, são conhecidos oito coronavírus que infectam e podem causar doença no ser humano. Normalmente, estas infecções afectam o sistema respiratório, podendo ser semelhantes às constipações comuns ou evoluir para uma doença mais grave, como a pneumonia. Dos coronavírus que infectam o ser humano, o SARS-CoV, o MERS-CoV e o SARS-CoV-2 saltaram a barreira das espécies, ou seja, estes vírus foram transmitidos ao ser humano a partir de um animal reservatório ou hospedeiro desses vírus. O SARS-CoV originou uma epidemia em 2002-2003 e o MERS-CoV emergiu em 2012 e foi causando casos esporádicos de doença respiratória nos seres humanos. O novo coronavírus, o SARS-CoV-2, que origina a doença designada COVID-19, foi identificado pela primeira vez em Dezembro de 2019, na China."
2. O que é COVID-19?,"COVID-19 (Coronavirus Disease) é o nome da doença infecciosa causada pelo SARS-CoV-2 e significa Doença por Coronavírus, fazendo referência ao ano em que foi descoberta, em 2019."
3. Quais sãos os sinais e sintomas da COVID-19?,"Os sinais e sintomas da COVID-19 variam em gravidade, desde a ausência de sintomas (sendo assintomáticos) até febre (temperatura ≥38.0oC), tosse, dor de garganta, cansaço e dores musculares e, nos casos mais graves, pneumonia grave, síndrome respiratória aguda grave, septicémia, choque séptico e eventual morte.Os dados mostram que o agravamento da condição clínica pode ocorrer rapidamente, geralmente durante a segunda semana da doença.Recentemente, foi também verificada a anosmia (perda do olfacto) e em alguns casos a perda do paladar, como sintoma da COVID-19."
4. Os sintomas de COVID-19 são diferentes nas crianças e nos adultos?,"Não. Os sintomas de COVID-19 são semelhantes nas crianças e nos adultos. As crianças mostram, de uma forma geral, sintomas mais ligeiros e parecem registar, em proporção, menos casos de doença. Os sintomas relatados em crianças são inicialmente idênticos às constipações, como febre, corrimento nasal e tosse. Nalguns casos, foram também reportados vómitos e diarreia. Há muito mais a aprender sobre como a doença afecta as crianças e estão em curso investigações nesse sentido."
5. As pessoas que têm a doença ficam imunes?,"De acordo com a evidência científica disponível até ao momento, ainda não é possível confirmar se as pessoas infectadas com o SARS-CoV-2 desenvolvem imunidade protectora. O organismo humano pode ir ganhando anticorpos após a infecção e desenvolvimento da doença."
6. A COVID-19 é o mesmo que gripe?,"Não. Embora os vírus que causam a COVID-19 e a gripe sejam transmitidos de pessoa para pessoa e possam causar sintomas semelhantes, os dois vírus são muito diferentes e não se comportam da mesma maneira.A doença COVID-19 é causada por um novo vírus que se designa SARS-CoV-2 e a gripe é causada pelo vírus influenza que circula na população há muitos anos. Ao contrário da gripe, para a COVID-19 a população mundial não apresenta qualquer tipo de anticorpos protectores ou imunidade. Desta forma, toda a população é susceptível à doença. Enquanto que para a gripe existe uma vacina e antivirais específicos para o tratamento, para a COVID-19 ainda se encontram em desenvolvimento."
7. Como se transmite o SARS-CoV-2?,"O novo coronavírus transmite-se de pessoa-a-pessoa por contacto próximo com pessoas infectadas (transmissão directa), ou através do contacto com superfícies e objectos contaminados (transmissão indirecta).A transmissão por contacto próximo ocorre principalmente através de gotículas que contêm partículas virais que são libertadas pelo nariz ou boca de pessoas infectadas, quando tossem ou espirram, e que podem atingir directamente a boca, nariz e olhos de quem estiver próximo.As gotículas podem depositar-se nos objectos ou superfícies que rodeiam a pessoa infectada e, desta forma, infectar outras pessoas quando tocam com as mãos nestes objectos ou superfícies, tocando depois seus olhos, nariz ou boca.Existem também evidências sugerindo que a transmissão pode ocorrer de uma pessoa infectada cerca de dois dias antes de manifestar sintomas."
8. Qual é o período de incubação da COVID-19?,"O “período de incubação” representa o tempo decorrido desde aexposição ao vírus até ao aparecimento desintomas da doença. Estima-se que o período deincubação da COVID-19 varia de 2 a 14 dias (média entre 5 e 6). Estas estimativas são actualizadas a medida que mais dados ficam disponíveis.A pessoa pode transmitir a infecção cerca de um a dois dias antes do aparecimento dos sintomas, no entanto, a pessoa é mais infecciosa durante o período em que apresenta sintomas, mesmo que os sintomas sejam leves e muito inespecíficos.Estima-se que o período infeccioso dure de 7 a 12 dias em casos moderados e até duas semanas, em média, em casos graves."
9. É possível que o vírus causador da COVID-19 seja transmitido pelo ar?,"O SARS-CoV-2 é transmitido pelo ar através de gotículas quando uma pessoa infectada fala, tosse ou espirra e estudos recentes mostram que o SARS-CoV-2 pode manter-se viável em aerossóis, no ar, por um período máximo de 3 horas."
10. O SARS-CoV-2 pode ser transmitido através das fezes?,"O risco de transmissão por SARS-Cov-2 a partir das fezes de uma pessoa infectada parece ser reduzido. Embora esta seja uma via de excreção do vírus, não parece ser uma via preferêncial de transmissão."
"11. O SARS-CoV-2 pode ser transmitido através de alimentos, incluindo refrigerados e congelados?","Embora não haja evidência que suporte a transmissão do SARS-CoV-2 pelos alimentos, é recomendado reforçar as medidas de higiene e segurança alimentar durante a manipulação, preparação e confeção dos alimentos, dentre as quais:Lavagem frequente e prolongada das mãos (com água e sabão ou cinza durante 20 a 40 segundos), seguida de secagem das mãos ao ar livre ou com lencinho de papel descartável;Higienização adequada das bancadas de trabalho e das mesas com detergentes de uso caseiro (exemplo, lixívia ou javel);Evitar a contaminação entre comida crua e cozinhada;Evitar partilhar comida ou objectos entre pessoas durante a sua preparação, confeção e consumo."
