Perguntas,Respostas
Quais são os sintomas de uma pessoa infectada pelo coronavírus?,"Os sintomas surgem entre dois e 14 dias após a infecção e incluem febre, tosse e dificuldade respiratória. Pode haver também problemas intestinais. De acordo com a Organização Mundial de Saúde (OMS), a maioria dos infectados com o coronavírus desenvolve sintomas semelhantes aos da gripe e apenas 20% progridem para doenças mais graves, como pneumonia e insuficiência respiratória."
Sou suspeito para coronavírus?,"Para que uma pessoa seja classificada como suspeita, é necessário que apresente pelo menos dois sintomas associados à síndrome respiratória: febre e mais um segundo sintoma, que pode ser tosse, dificuldade para respirar ou coriza, por exemplo. Mas não basta isso. Ela também deve ter passado nos 14 dias anteriores por um dos países onde foram registrados casos da doença ou ter tido contato com pessoas suspeitas de ter o vírus. A recomendação para pessoas com essa combinação de fatores é procurar um posto de saúde. Saiba mais.Saiba mais"
Quais são os países que devo ter visitado para ser considerado um caso suspeito?,"Alemanha, Austrália, Canadá, China, Coreia do Norte, Coreia do Sul, Croácia, Dinamarca, Emirados Árabes Unidos, Espanha, Estados Unidos, Finlândia, França, Grécia, Holanda, Indonésia, Irã, Itália, Japão, Malásia, Noruega, Reino Unido, San Marino, Singapura, Suíça, Tailândia e Vietnã."
Quais são as orientações para viajantes que retornam de um desses países?,Os indivíduos que regressarem e apresentarem febre e sintomas respiratórios dentro de um período de 14 dias devem procurar um posto de saúde mais próximo imediatamente e informar sobre a viagem. Evite emergências hospitalares para não sobrecarregar o sistema e não expor a própria saúde a um ambiente com maiores chances de contaminação.
Qual é a letalidade do coronavírus?,"A doença mata em torno de três pessoas a cada cem infectadas. Outros dois tipos de coronavírus matam mais. A Síndrome Respiratória Aguda Grave (sars) tem letalidade de 9,5% e a Síndrome Respiratória do Oriente Médio (mers), de 34,4%.matam mais"
Quem é mais vulnerável?,"Homens idosos, pessoas com problemas respiratórios (asma, ex-fumantes) e com doenças crônicas (problemas cardíacos, diabetes, câncer, baixa imunidade) estão mais suscetíveis a manifestações mais graves. Em crianças, os dados ainda são inconclusivos.os dados ainda são inconclusivos"
De que forma surgiu o surto atual?,"A origem ainda não está elucidada. Acredita-se que a fonte primária do vírus seja animal, provavelmente oriunda de um mercado de frutos do mar e animais selvagens vivos – como morcegos ou pangolins – em Wuhan, na China. "
A transmissão do coronavírus acontece entre humanos?,"Sim, por tosse ou espirro; pelo toque ou aperto de mão; por catarro; ou pelo contato com objetos ou superfícies contaminadas, seguido do contato com a boca, o nariz ou os olhos. Sabe-se que o contágio é mais fácil quando o indivíduo está doente."
Há risco de transmissão entre animais domésticos?,"Especialistas afirmam que não há motivo para os humanos temerem a circulação da doença entre seus pets. A possibilidade de o vírus pular de uma espécie para outra — como ocorreu com o novo coronavírus humano — é um evento extremamente raro, que depende de muitas condições.não há motivo para os humanos temerem"
"Por que se chama ""coronavírus""?","Porque o vírus parece, no microscópio, uma coroa. Em inglês, a palavra é ""crown"", que remete a ""corona"". Oficialmente, o nome do vírus é SARS-CoV-2, sendo ele o causador da doença atual batizada de covid-19.Como se proteger"
Existe um tratamento para o coronavírus?,"Não, apenas para os sintomas. Aos pacientes infectados, indica-se repouso e ingestão de líquidos, além de medidas para aliviar os sintomas, como analgésicos e antitérmicos. Nos casos de maior gravidade, com pneumonia e insuficiência respiratória, podem ser necessários suplemento de oxigênio e mesmo ventilação mecânica."
Posso tomar um antibiótico para prevenir contra o coronavírus?,"Não. Antibióticos não são indicados nem para prevenção nem para tratamento, pois não agem contra vírus, somente bactérias."
Existe uma vacina para o coronavírus?,"Não há vacina até o momento. Contudo, laboratórios já estão estudando como criar uma imunização aplicável em escala global. No momento, há mais de 20 vacinas sendo desenvolvidos ao redor do mundo. Cientistas esperam ter uma vacina pronta para testar em humanos no início de junho. "
Tomei a vacina contra a gripe. Estou protegido contra o coronavírus?,"Não. A vacina da gripe protege somente contra o vírus influenza. No entanto, é importante vacinar-se contra a gripe comum para descartar uma suspeita de coronavírus, já que as duas doenças têm sintomas parecidos. Para reduzir a procura por postos de saúde e emergências em hospitais, o governo irá antecipar a campanha de vacinação de abril para 23 de março. irá antecipar a campanha de vacinação de abril para 23 de março."
Como reduzir o risco de infecção pelo coronavírus?,"Evitar contato próximo com pessoas com infecções respiratórias agudas.Lavar frequentemente as mãos por pelo menos 20 segundos, especialmente após contato direto com pessoas doentes ou com o ambiente em que elas estiveram, e antes de se alimentar. Se não tiver água e sabão, use álcool em gel 70%, caso as mãos não tenham sujeira visível. Veja como fazer a lavagem corretamente neste link ou no vídeo abaixo.contato próximo com pessoas com infecçõesVeja como fazer a lavagem corretamente neste link ou no vídeo abaixoEvite tomar chimarrão.Usar lenço descartável para higiene nasal.Cobrir o nariz e a boca ao espirrar ou tossir.Evitar tocar nas mucosas dos olhos.Higienizar as mãos após tossir ou espirrar.Não compartilhar objetos de uso pessoal, como talheres, pratos, copos ou garrafas.Manter os ambientes bem ventilados.Evitar contato próximo com animais selvagens e animais doentes em fazendas ou criações.Na igreja, evite dar as mãos e pegue a hóstia pelas mãos.tomar chimarrãoevite dar as mãos e pegue a hóstia pelas mãos"
Deve-se tomar cuidado com produtos importados da China?,"Especialistas apontam que o envio de embalagens por correio internacional vindos da China não deverá trazer risco aos consumidores no Brasil, devido ao tempo decorrido entre o envio e a chegada. Isso porque, em geral, os coronavírus sobrevivem pouco tempo fora de um hospedeiro. O Centro de Controle e Prevenção de Doenças dos Estados Unidos afirmou que não há, até agora, nada que indique qualquer risco associado à importação de produtos industrializados e ou de origem animal.envio de embalagens por correio internacional vindos da China não deverá trazer risco aos consumidores no Brasil""Em geral, por causa da baixa sobrevivência dos coronavírus em superfícies, há um risco muito baixo de disseminação por meio de produtos ou embalagens enviados ao longo de dias ou semanas em temperatura ambiente."""
É possível aumentar a imunidade do corpo contra a doença?,Especialistas dizem que medidas para se proteger do vírus passam pela prevenção.Especialistas dizem que medidas para se proteger do vírus passam pela prevenção
Há riscos de contágio em avião ?,"Embora possa não parecer, o contágio por coronavírus, ou qualquer outra doença respiratória, pode ser menor em um avião do que dentro de um escritório, por exemplo. Isso porque, explica o vice-presidente da Sociedade Brasileira de Infectologia (SBI), Alberto Chebabo, as aeronaves contam com um sistema de ventilação e filtragem de ar bastante eficiente.Mesmo assim, a proximidade com pessoas doentes pode, sim, provocar infecções.Leia MaisCoronavírus: recomendações para quem vai viajar para o ExteriorCoronavírus: recomendações para quem vai viajar para o ExteriorCoronavírus: recomendações para quem vai viajar para o Exterior"
