Perguntas,Respostas
1. O que é o coronavírus e como ele é transmitido?,"Coronavírus é nome dado a uma família de vírus cuja estrutura tem o formato de uma coroa. Os vírus dessa espécie já causaram diversas doenças, como a Síndrome Respiratória Aguda Grave (Sars) e a Síndrome Respiratória do Oriente Médio (Mers). A Covid-19 é a doença causada por essa nova espécie de coronavírus, descoberta em dezembro de 2019.CoronavírusA transmissão ocorre de três maneiras: pelas vias respiratórias, quando inalamos o ar e gotículas de espirros e da fala de indivíduos infectados; pelo contato físico, quando levamos essas gotículas às mucosas do olho, do nariz e da boca; e pelo contato com superfícies contaminadas, nas quais o vírus tenha sido depositado por pessoas contaminadas."
2. Quais são os principais sintomas do coronavírus?,"Os principais sintomas relatados pelos pacientes são tosse seca, febre, cansaço muscular e dificuldade para respirar. Um grupo menor de pacientes destacou ainda sintomas como congestionamento nasal, inflamação na garganta e diarreia. Recentemente, se descobriu que a perda de olfato é também um sintoma recorrente.Quando o paciente possui outras doenças, como diabetes, hipertensão ou problemas cardíacos, sintomas mais graves podem aparecer, levando à insuficiência renal ou à síndrome respiratória aguda."
3. Quais são as principais formas de prevenção do coronavírus?,"Evitar lugares fechados com aglomeração de pessoas impede que o vírus expelido por uma pessoa infectada se propague no ambiente e contamine mais indivíduos. Além disso, como grande parte das transmissões se dá a partir do contato com superfícies contaminadas, recomenda-se lavar as mãos com água e sabão ou utilizar álcool 70% para a higienização.Recentemente, a Organização Mundial da Saúde recomendou que toda a população utilize máscaras em locais públicos. Essa medida visa diminuir a propagação do vírus através das gotículas da fala. Por fim, pessoas contaminadas devem respeitar um período de quarentena de 14 dias, evitando o contato com outras pessoas sem necessidade."
4. Como é feito o tratamento contra o coronavírus?,"Não há um tratamento específico para essa doença. Diversos laboratórios em todo o mundo estão trabalhando no desenvolvimento de uma vacina, mas não há uma previsão de quando ela estará disponível. As medidas adotadas para aliviar os sintomas incluem medicamentos para dor e febre e banhos quentes para aliviar a dor de garganta e a tosse.Nos casos em que os sintomas se manifestam de maneira moderada, a recomendação é o isolamento social pelo período de 14 dias. Nos casos mais graves, em que seja constatada uma dificuldade para respirar, o paciente deve procurar auxílio médico e eventualmente ele poderá ser internado para recebimento de oxigênio e cuidados especiais.recomendação é o isolamento social pelo período de 14 dias"
5. É possível ser infectado mais de uma vez com o coronavírus?,"Os cientistas ainda não têm uma resposta para essa pergunta, entretanto o que se sabe é que casos de reincidência da infecção são raros – apenas dois foram diagnosticados até o presente momento. Todavia, tendo em vista o comportamento de outros vírus da mesma família, acredita-se que uma pessoa infectada e curada não venha a pegar novamente a doença.Entretanto, há que se ter muita cautela com essa informação. Como se sabe da existência do coronavírus há apenas quatro meses, ainda não houve tempo necessário para a realização de estudos mais aprofundados que comprovem essa teoria."
6. A Vitamina D protege contra o coronavírus?,"Não há nenhuma confirmação científica que indique que o consumo de Vitamina D diminua ou impeça a contaminação pelo coronavírus. Aliás, de acordo com a Organização Mundial da Saúde (OMS), até o presente momento nenhum medicamento conhecido tem eficácia comprovada na imunização contra o coronavírus.coronavírus"
7. Quem tem mais riscos de contrair o coronavírus?,"As probabilidades de infecção por coronavírus são as mesmas em qualquer idade. O que muda é que pessoas mais velhas ou que possuam comorbidades têm mais chances de apresentar sintomas graves do que pessoas mais novas ou mais saudáveis.infecção por coronavírusIsso ocorre por uma série de fatores: o sistema imunológico dos idosos costuma ser mais frágil por conta do envelhecimento natural. Os pulmões e as mucosas também se tornam mais vulneráveis, causando problemas respiratórios com maior frequência.Idosos também costumam ir mais a hospitais ou locais de exposição aos micro-organismos do que pessoas mais novas, o que os torna um grupo de maior risco. A taxa de letalidade em idosos acima de 80 anos pode passar de 15%, enquanto em média a taxa de letalidade do vírus está hoje entre 0% e 6,6%.A taxa de letalidade"
8. Quanto tempo o coronavírus sobrevive fora do corpo humano?,"De acordo com um estudo publicado pelo New England Journal of Medicine, em março deste ano, tudo depende da superfície em que o vírus está alojado. Sobre o plástico ou o aço, por exemplo, ele pode sobreviver até 3 dias. Já no papelão, o tempo máximo é de 24 horas enquanto sobre o cobre ele resiste por 4 horas."
9. Qual é a origem do coronavírus?,"Ainda não se sabe ao certo como o coronavírus surgiu, mas alguns estudos ainda em andamento dão boas pistas sobre ele. Pelas características que possui, o coronavírus não é artificial, ou seja, ele não foi criado em laboratório. O surto inicial da doença aconteceu na cidade de Wuhan, na China.coronavírusA teoria mais aceita até o presente momento é que o surto teve início em um mercado de frutos do mar. Por lá, um animal chamado pangolim, um mamífero em extinção, foi exposto a morcegos e possivelmente recebeu o vírus deles. Após os seres humanos terem consumido a carne de pangolim, o vírus pode ter sofrido uma mutação e se transformado na variante atual. Contudo, estudos ainda estão em andamento para precisar a origem do vírus."
10. Quanto tempo deve durar a quarentena no Brasil?,"Não há uma resposta exata para essa pergunta. Tudo dependerá dos índices de transmissibilidade do vírus, algo que varia de município para município. A quarentena tem como objetivo achatar a curva de contágio, evitando que os hospitais fiquem sobrecarregados e não consigam atender a todos os pacientes.Cada município tem adotado as medidas preventivas de acordo com a sua realidade. Infelizmente, não há como precisar quanto tempo essa situação poderá durar. Alguns especialistas afirmam que a partir do mês de junho poderemos iniciar aos poucos um movimento de retomada da vida normal, enquanto outros afirmam que isso só deve ocorrer no final do ano.Fonte:G1G1"
