Perguntas,Respostas
 O que é o coronavírus?,"Os coronavírus são uma grande família de vírus que podem causar doenças em animais e humanos. Em humanos, os coronavírus provocam infecções respiratórias, que variam do resfriado comum a graves doenças, como a Síndrome Respiratória do Oriente Médio (MERS) e a Síndrome Respiratória Aguda Grave (SARS). O coronavírus descoberto, recentemente, causa a doença COVID-19."
 O que é a COVID-19?,"COVID-19 é a doença infecciosa causada pelo último coronavírus descoberto em dezembro de 2019. Este novo vírus, chamado SARS-Cov-2,  e doença eram desconhecidos antes do início do surto em Wuhan, na China."
 Quando o Brasil registrou o 1.º caso confirmado da COVID-19?,"O 1º caso de COVID-19, a infecção viral pelo novo coronavírus, foi diagnosticado em 24 de fevereiro de 2020 pelo Hospital Israelita Albert Einstein. Dias depois, em 26 de fevereiro, o exame foi confirmado pelo Ministério da Saúde."
 Quais são os sintomas da COVID-19?,"Os sintomas mais comuns são febre, cansaço e tosse seca. Alguns pacientes podem ter dores, congestão nasal, coriza ou dor de garganta. Esses sintomas, geralmente, são leves e começam gradualmente.A maioria das pessoas são infectadas, mas não apresentam sintomas e não se sentem mal, cerca de 86% segundo a revista Science. A maioria das pessoas sintomáticas (cerca de 80%) se recupera da doença sem precisar de tratamento especial. Cerca de 20% das pessoas infectadas necessitará de internação e 5% provavelmente precisará de um leito em terapia intensiva.As pessoas idosas (acima de 65 anos) e as pessoas com problemas médicos subjacentes, como pressão alta, problemas cardíacos e pulmonares ou renais, portadores de deficiência na imunidade ou diabetes, têm maior probabilidade de desenvolver doenças graves. Pessoas com febre, tosse e dificuldade em respirar devem procurar atendimento médico."
 Como a COVID-19 é transmitida?,"O novo coronavírus, que causa a COVID-19, pode ser transmitido entre pessoas. A doença pode se espalhar por meio de pequenas gotículas do nariz ou da boca – expelidas por uma pessoa com COVID-19 quando tosse ou espirra, por exemplo. Essas gotículas depositam-se em objetos e superfícies ao redor da pessoa. Outras pessoas se contaminam tocando esses objetos ou superfícies e depois tocando nos olhos, nariz ou boca."
" Tenho procedimentos agendados no hospital (exames, cirurgias etc.). Como devo proceder?","Não há necessidade de suspender exames ou procedimentos agendados no Einstein. Somente em casos indicados por equipe médica, devem permanecer em seus domicílios - não realizando exames ou procedimentos."
 Devo me preocupar com a COVID-19?,"Não é necessário pânico, no entanto é compreensível que você tema pela situação. É uma boa ideia se inteirar das informações oficiais, que vão ajudá-lo a determinar com precisão seus riscos, para que você possa tomar precauções razoáveis. Seu médico e as autoridades nacionais de saúde pública são fontes potenciais de informações precisas sobre a COVID-19.Caso esteja em uma área onde há um surto de COVID-19, você precisará levar a sério o risco de infecção. Siga os conselhos emitidos pelas autoridades sanitárias nacionais e locais. Embora para a maioria das pessoas a COVID-19 cause apenas doenças leves, pode deixar algumas pessoas muito doentes. Pessoas idosas e pessoas com condições médicas pré-existentes parecem ser mais vulneráveis."
 Quanto tempo dura o período de incubação da COVID-19?,"O ""período de incubação"" significa o tempo entre a contaminação pelo vírus e o início dos sintomas da doença. A maioria das estimativas do período de incubação do coronavírus da COVID-19 varia de 2 a 14 dias, geralmente em torno de cinco dias. Essas estimativas serão atualizadas à medida que mais dados estiverem disponíveis."
 Quanto tempo o vírus sobrevive nas superfícies?,"Não se sabe. Já existem alguns estudos preliminares sobre quanto tempo o vírus que causa a COVID-19 sobrevive na superfície - ele parece se comportar como outros coronavírus. Esses estudos sugerem que os coronavírus (incluindo informações preliminares sobre o vírus que causa a COVID-19) podem persistir nas superfícies por algumas horas. Isso pode variar sob diferentes condições, como o tipo de superfície, temperatura ou umidade do ambiente.Caso você suspeite que uma superfície pode estar contaminada, limpe-a com um desinfetante simples para matar o vírus e proteger a si e aos outros. Higienize as mãos com álcool gel a 70% ou água e sabonete. Evite tocar nos olhos, boca ou nariz."
 Existe algo que eu não deva fazer?,"As seguintes medidas NÃO são eficazes contra a COVID-2019 e podem ser prejudiciais:
Tabagismo
Tomar remédios tradicionais à base de plantas
Usar várias máscaras sobrepostas
Automedicar-se, por exemplo, com antibióticos
TabagismoTomar remédios tradicionais à base de plantasUsar várias máscaras sobrepostasAutomedicar-se, por exemplo, com antibióticosPacientes assintomáticos não devem procurar os serviços de pronto atendimento. O exame não esta indicado para pessoas que não apresentem sintomas respiratórios, mesmo que tenham retornado do exterior ou tenham contato com alguém que voltou do exterior. O ambiente de pronto atendimento, neste momento, apresenta demanda aumentada e os recursos estão sendo dirigidos para os pacientes que possuem se encaixem nos  em critérios com  risco elevado de complicações efetivamente necessitam de diagnostico.De qualquer forma, caso você tenha febre, tosse e dificuldade para respirar, procure o pronto atendimento médico com antecedência para reduzir o risco de desenvolver uma infecção mais grave. e compartilhe seu histórico de viagens recente com o seu médico."
