Perguntas,Respostas
Como prevenir?,"As orientações do Ministério da Saúde sobre a prevenção de contágio são: lavar as mãos com água e sabão ou usar álcool em gel; ao tossir ou espirrar cobrir o nariz e a boca com um lenço ou braço, não utilizar as mãos; manter ambientes bem ventilados; e não compartilhar objetos pessoais; reduzir o contato social."
Quem deve ir ao hospital?,"Só deve ir ao hospital quem estiver se sentindo muito mal ou apresentar sintomas como febre alta e dificuldade para respirar. Se for só um resfriado ou gripe leve, a recomendação é ficar em casa. De acordo com infectologistas, ir ao hospital, além de sobrecarregar o sistema, aumenta o risco de a pessoa contrair uma infecção."
Quais são os sintomas associados a pandemia?,"Os sintomas do Covid-19 envolvem febre, cansaço e tosse seca. Alguns pacientes podem apresentar dores, congestão nasal, coriza, tosse e diarreia. Enquanto outros pacientes podem ser assintomáticos, ou seja, estarem infectados pelo vírus, mas não apresentarem sintomas."
"Estou com sintomas de gripe, devo me preocupar?"," Atualmente o Brasil tem dez vezes mais casos de H1N1 do que coronavírus. Só no ano passado, 796 pessoas morreram por causa da gripe H1N1 no país."
Já existe vacina para o Covid-19?,"Ainda não existe vacina ou tratamento específico para o coronavírus. O tratamento depende dos sintomas e da gravidade do quadro. Quando mais leves, podem ser monitorados em casa com repouso e consumo de bastante água."
Existe tratamento ?,"Conforme a OMS cerca de 80% das pessoas infectadas se recuperam sem a necessidade de tratamento especial. Não há uma medicação que elimine o vírus, mas há tratamento para reduzir o avanço da doença e diminuir o desconforto."
Como diferenciar uma gripe comum do coronavírus?,Os sintomas são iguais. E a única forma de saber se a infecção é causada por H1N1 ou pelo coronavírus é através de exame laboratorial.
Tive contato com uma pessoa infectada. O que devo fazer?,"O ideal é evitar contato com outras pessoas, principalmente idosos, por 15 dias. Caso apresente sintomas como febre, dor de garganta, coriza e dor no corpo, neste período use máscara e procure um hospital."
Existe um jeito certo de lavar as mãos?,"Lavar bem as duas faces da mão, antebraço, esfregar entre os dedos, e em baixo das unhas. A recomendação é lavar as mãos a cada duas horas ou sempre que chegar da rua."
"Porque devo evitar tocar os olhos, o nariz e a boca?","Essas áreas têm contato direto com a corrente sanguínea e são mais sensíveis à presença de agentes de contaminação. Portanto, evite coçar, esfregar ou ter qualquer tipo de contato com as mucosas. E as mãos estão em contato constante com superfícies que podem ser canais de transmissão de vírus e bactérias."
Em quais caos usar máscara?,"Apenas pessoas contaminadas com o vírus devem usar máscara, de modo a impedir que ele se espalhe ao tossir, espirrar ou ao falar."
Quais são os grupos de risco?,"Segundo a OMS 1 em cada 6 pacientes pode ter um agravamento do quadro, com dificuldades respiratórias sérias. No início do mês de março, a taxa de letalidade era de 3,5%. Porém o Ministério da Saúde acredita que esse percentual possa ser menor, em razão da subnotificação de casos em alguns países."
O coronavírus pode matar?,"O índice de mortalidade registrado com a pandemia no mundo, indica que as mortes pela doença variam de 2,3% a 3,5%, sendo mais comum em pessoas acima de 80 anos.Para combater a boataria e tranquilizar a população, o Ministério da Saúde criou um número de WhatsApp, (61) 99289-4640, para receber “informações virais” sobre coronavírus, que serão analisadas pelos técnicos da pasta."
