Perguntas,Respostas
O que é?,O coronavírus (CoV) faz parte de uma grande família viral que causa infecções respiratórias em seres humanos e em animais. 
Quais os sintomas da doença?,"Febre, tosse e dificuldade para respirar. Também podem ocorrer cansaço, dor de garganta, dores no corpo, coriza, congestão nasal e diarreia. Se tiver sintomas procure imediatamente o serviço médico mais próximo de você. "
O que fazer em caso de sintomas?,"Se apresentar febre, tosse, dificuldade para respirar, procure atendimento médico no serviço de saúde mais próximo de sua residência. No deslocamento até a unidade de saúde, recomenda-se usar máscara comum (cirúrgica), evitar o transporte público e manter as recomendações de etiqueta respiratória. Caso não a possua máscara, solicite ao chegar na unidade de saúde. "
Quem está com os sintomas do Corona deve procurar o hospital ou um posto de saúde?,"Para os casos com sintomas leves (somente febre e sintomas respiratórios), não é recomendado procurar o hospital. O paciente deve permanecer em isolamento doméstico a fim de evitar a transmissão e pode procurar orientações na Unidade Básica de Saúde mais próxima, solicitando máscara ao entrar na unidade. Caso o paciente sinta também dificuldade em respirar, cansaço intenso deve procurar o pronto atendimento para que um médico o avalie, pois esse pode ser um sinal de agravamento. "
Quais a medidas de prevenção?,"

Ao tossir ou espirrar, cubra a boca e o nariz com o cotovelo flexionado ou com lenço descartável. Evite usar as mãos e, se usá-las, lembre-se de lavá-las com água e sabão. Se usar um lenço, jogue-o fora imediatamente e lave as mãos;
Utilize lenço descartável para limpar o nariz;
Evite tocar os olhos, nariz e boca;
Não compartilhe objetos de uso pessoal como talheres, pratos, copos, escovas de dente.
Lave as mãos por pelo menos 20 segundos com água e sabão ou use álcool gel;
Não esteja em locais com aglomeração de pessoas. Mantenha-se à distância mínima de 1 metro de outra pessoa;
Evite deslocamentos sem extrema necessidade.

"
O que é isolamento domiciliar?,"Se o paciente suspeito ou confirmado de COVID-19 não precisar ficar internado, o isolamento domiciliar é indicado pelo médico. O paciente deve ser mantido em casa até não ter mais os sintomas e ser dispensado pelo serviço médico ou pela vigilância epidemiológica que está acompanhando o caso. Deve receber os cuidados de hidratação e repouso, mantendo a restrição de contatos com pessoas e ambientes externos, para evitar a circulação do vírus.
 
 
Confira as orientações sobre o isolamento domiciliar
 Confira as orientações sobre o isolamento domiciliar "
Quais cuidados devem ser tomados no isolamento domiciliar?,"

O paciente seja mantido em quarto individual bem ventilado. Se não for possível, o paciente deve permanecer o tempo todo com máscara.
O número de cuidadores deve ser limitado e o paciente não deve receber visitas.
Os ambientes compartilhados (ex: cozinha, banheiro, sala) devem são bem ventilados (manter as janelas abertas).
O paciente deve evitar circular pela casa e ao compartilhar ambientes deve usar máscara comum bem ajustada ao rosto.
Todos no domicílio devem praticar a etiqueta respiratória: cobrir a boca e o nariz durante a tosse e espirros usando lenços de papel ou cotovelo flexionado, seguido da higienização das mãos.
Descartar os materiais usados para cobrir a boca e o nariz imediatamente após o uso e higienizar as mãos.
Ao realizar higiene das mãos com água e sabonete, utilizar preferencialmente toalhas de papel descartáveis para secá-las. Caso toalhas de papel descartáveis não estejam disponíveis, usar toalhas de pano e trocar quando ficarem molhadas.
Não compartilhar escovas de dente, talheres, pratos, bebidas, toalhas ou roupas de cama.
A máscara não deve ser tocada ou manuseada durante o uso;
Se a máscara ficar molhada ou suja com secreções deve ser trocada imediatamente.
Descartar a máscara comum imediatamente após o uso e realizar a higiene das mãos com água e sabonete ou produto alcoólico após a remoção da máscara.
Talheres, pratos e copos devem ser limpos com água e sabão ou detergente comum após o uso e podem ser reutilizados.
Limpar e desinfetar as superfícies frequentemente tocadas, como mesas de cabeceira, cama e outros móveis do quarto do paciente diariamente com desinfetante doméstico comum.
Limpar e desinfetar as superfícies do banheiro pelo menos uma vez ao dia com desinfetante doméstico comum.
Roupas limpas e sujas, roupas de cama, toalhas de banho e de mão do paciente devem ser lavadas com água e sabão comum. Não sacudir a roupa suja.
Lixo: máscaras e outros resíduos gerados pelo paciente ou durante os cuidados com o paciente devem ser colocadas em lixeira com saco de lixo no quarto da pessoa doente antes do descarte com outros resíduos domésticos. Após retirar o lixo, realizar higiene das mãos imediatamente após.
Se o paciente ou cuidador tiver dúvidas, será fornecido o telefone de contato da vigilância em saúde.

ATENÇÃO: Esse monitoramento da vigilância em saúde não substitui a avaliação médica. O paciente deve procurar o atendimento médico se tiver piora dos sintomas. Lembrar que o deslocamento deve ser realizado com máscara.
Confira as orientações sobre o isolamento domiciliar
Confira as orientações sobre o isolamento domiciliar "
Quais as recomendações sobre o uso da máscara comum (cirúrgica)?,"

No momento, não há recomendação para uso de máscaras para a população em geral.
Recomenda-se o uso de máscara comum para pacientes suspeitos ou confirmados e para os cuidadores desses pacientes durante o isolamento domiciliar.
As máscaras não devem ser tocadas ou manuseadas durante o uso.
Se a máscara ficar molhada ou suja com secreções deve ser trocada imediatamente.
Descartar a máscara comum imediatamente após o uso e realizar a higiene das mãos com água e sabonete ou produto alcoólico após a remoção da máscara.
Observação: o cuidador deve usar máscara comum bem ajustada ao rosto quando estiver no mesmo ambiente ou durante a manipulação da pessoa doente.

"
É preciso tomar cuidado com espirros e tosse?,"Sim. A etiqueta respiratória deve ser praticada por todos: Cobrir a boca e o nariz durante a tosse e espirros usando máscara comum, lenços de papel ou cotovelo flexionado, seguido de higiene das mãos. "
Quem faz parte do grupo de risco?,"Ainda estamos aprendendo sobre como o COVID-19 afeta as pessoas, mas pessoas idosas e/ou com condições médicas preexistentes (como pressão alta, doenças cardíacas, doenças pulmonares, câncer ou diabetes) tendem a desenvolver para situações graves com mais frequência que outras. "
Quais cuidados ter a pessoa que mora com o idoso?,"Em caso de pacientes sintomáticos que morem com pessoas idosas, é recomendado evitar o contato com o idoso ao máximo para evitar a transmissão e, se possível ficar temporariamente em outro local ou em quarto privativo no domicílio para evitar o contato com o idoso enquanto durarem os sintomas. Ao circular pela casa a pessoa sintomática deve usar máscara para evitar que as outras pessoas tenham contato e deve tomar bastante cuidado com a higiene para evitar a transmissão. Orientações de amamentação
 Perguntas e respostas sobre o novo Coronavírus"
