Perguntas,Respostas
Novo Coronavírus: o que é e como surgiu?,"O novo agente, denominado SARS-CoV-2, faz parte de uma família de vírus chamada de Coronavírus. Eles recebem este nome porque quando vistos no microscópio eletrônico têm um aspecto de coroa. Alguns destes vírus infectam seres humanos e outros, somente animais e podem causar desde um resfriado comum até quadros graves, como pneumonia e insuficiência respiratóriaAo longo da vida, a maioria das pessoas tem contato com os coronavírus comuns que infectam os humanos: alpha coronavírus 229E e NL63 e beta coronavírus OC43 e HKU1, que habitualmente causam infecções de vias aéreas superiores.Além destes, nas duas últimas décadas tivemos o aparecimento de doenças causadas por outros coronavírus que originalmente infectavam apenas animais, mas que passaram para os seres humanos, causando a SARS (Síndrome Respiratória Aguda Grave) em 2002-2003 e MERS (Síndrome Respiratória do Oriente Médio) a partir de 2013.O novo coronavírus, que começou a provocar doença humana a partir de dezembro/2019, provavelmente é decorrente de mutação de um vírus de origem animal e que, nos últimos meses, passou de animais para pessoas em um mercado de frutos do mar e animais vivos na cidade de Wuhan, na China."
A transmissão do coronavírus acontece entre humanos?,"Sim. Este vírus pode ser transmitido de pessoa a pessoa pelo ar, por meio de secreções respiratórias do paciente infectado ou por contato com secreções contaminadas seguido de inoculação em mucosas (olhos, nariz ou boca).Na maior parte dos casos, a transmissão é limitada e se dá por contato próximo, ou seja, durante o cuidado com o paciente, incluindo profissionais de saúde ou membro da família."
Apenas as pessoas com sintomas transmitem este vírus?,"Acredita-se que o maior risco de transmissão acontece durante o período sintomático, quando a pessoa doente elimina maior quantidade de vírus. Não se sabe com certeza quanto tempo dura esse período de transmissibilidade.No entanto, há evidências de transmissão após contato com pessoas infectadas que ainda não tinham sintomas."
Os animais de estimação podem transmitir o novo coronavírus?,"Não há evidências que animais domésticos, como cães e gatos, possam ser infectados e transmitir o novo coronavírus."
Quanto tempo demora para ter sintomas após o contato?,"O período estimado entre o contato e o aparecimento de sintomas é de 2 a 14 dias, com média de 5 a 6 dias."
Quais são os sintomas?,"Febre e sintomas respiratórios, como tosse não produtiva e falta de ar, além de mialgia. Também há relato de diarréia. A intensidade e gravidade dos sintomas pode ser muito variável. Estima-se que até 20% dos doentes pode apresentar quadros graves."
"E nas crianças, como se comporta?","O número de crianças com doença causada pelo COVID-19 é muito pequeno. Apesar de relatos, como o do recém-nascido de 30 horas que adquiriu o vírus, são raras as descrições de casos em pacientes com menos de 18 anos nos estudos publicados até o momento.Não está claro para os pesquisadores se a baixa incidência é devida a fatores relacionados ao próprio vírus, que poderia estar causando doença pouco agressiva e não diagnosticada ou a questões ambientais, uma vez que a epidemia começou no período de férias, o que reduz o risco de transmissão nesta população.No entanto, não é possível concluir que as crianças estejam protegidas, portanto é importante seguir as medidas de prevenção recomendadas para as infecções respiratórias."
Qual a mortalidade da doença causada pelo novo coronavírus?,Estima-se que a mortalidade seja em torno de 2 a 3%. Os óbitos estão ocorrendo principalmente em pessoas acima de 60 anos e com doenças crônicas que afetam a imunidade. É importante acompanhar a evolução da epidemia para ter certeza do real potencial de mortalidade deste vírus.
Como é feito o diagnóstico?,"Por meio de um exame específico para detectar material genético do vírus em secreção do nariz e/ou garganta do paciente, colhida por um swab (cotonete) ou por aspiração."
Como tratar?,"Não existe um tratamento específico para o novo vírus. Recomenda-se ingestão de líquidos, analgésicos e antitérmicos. Pacientes com desconforto respiratório necessitam de internação e podem precisar de suporte em unidade de terapia intensiva.Existem medicamentos utilizados para tratamento de outros vírus que estão sendo testados contra este coronavírus, mas ainda não há conclusão destes estudos.Não há qualquer comprovação que uso de vitaminas em altas doses, gargarejos de água morna, alho ou “imunoshots” sejam eficazes para tratamento ou prevenção do coronavírus."
Em casos suspeitos de infecção pelo novo coronavírus está indicado usar Tamiflu® (oseltamivir) ou antibiótico?,"Não. O oseltamivir está indicado para tratamento e prevenção de infecção pelo vírus influenza, não é ativo contra o coronavírus. Pode ser indicado se houver suspeita de infecção pelo vírus influenza, antes da confirmação do diagnóstico.Os antibióticos podem ser usados se houve suspeita de infecção concomitante por bactérias."
A vacina contra a gripe protege contra o novo coronavírus?,Não. A vacina da gripe protege somente contra o vírus influenza. Ainda não existe vacina para este novo vírus.
Estão contraindicadas as viagens para a China e para os países com casos importados?,"O Ministério da Saúde recomenda que sejam evitadas viagens não essenciais para locais onde há relato de transmissão deste coronavírus.Não há restrição de viagens para locais onde há casos importados, porém, o viajante deve tomar alguns cuidados, como evitar contato com pessoas com sintomas respiratórios, higienizar as mãos frequentemente, não ingerir carne crua e evitar contato com mercados onde são vendidos animais ou produtos de origem animal."
Os vírus podem contaminar objetos? Bens importados da China podem transmitir este vírus?,"Ainda não sabemos o tempo exato que este novo vírus se mantem infectanteem superfícies, embora informações preliminares sugiram que possa sobreviver algumas horas ou mais. É improvável que ele seja capaz de sobreviver acima de um período de vários dias ou semanas, que é tempo destinado ao transporte de mercadorias da China.Desinfetantes simples podem matar o vírus, deixando de ser possível infectar pessoas."
O que é considerado um caso suspeito de infecção pelo novo coronavírus?,"Neste momento, caso suspeito é uma pessoa com febre e sintoma respiratório que retornou de área de transmissão (China, Japão, Singapura, Tailândia, Coreia do Norte e do Sul, Vietnã e Camboja, Alemanha, Austrália, Emirados Árabes Unidos, Filipinas, França, Irã, Itália e Malásia), teve contato próximo com doente nos 14 dias antes do início dos sintomas."
Quanto tempo devem ficar afastadas pessoas que tiveram contato com caso suspeito ou confirmado?,"Considerando que há evidência que o vírus possa ser transmitido por pacientes sem sintomas ou durante o período de incubação, o ideal é permanecerem afastados por 14 dias, em isolamento domiciliar."
Quem deve usar máscara?,"As máscaras devem ser usadas de forma racional, evitando o desperdício de recursos e o uso indevido. Não há indicação de usar máscaras no dia-a-dia.O uso de máscara deve ser feito apenas por quem tem sintomas respiratórios (tosse ou espirro) ou está cuidando de alguém com suspeita de infecção transmitida por via respiratória."
