Perguntas,Respostas
O que é o coronavírus?,"Os coronavírus são uma grande família de vírus que podem causar doenças em animais e humanos. Em humanos, os coronavírus provocam infecções respiratórias, que variam do resfriado comum a graves doenças, como Síndrome Respiratórai do Oriente Médio (MERS) e a Síndrome Respiratória Aguda Grave (SARS). O coronavírus descoberto recentemente causa a doença Covid-19."
O que é a Covid-19?,"Covid-19  é a doença infecciosa causada pelo último coronavírus descoberto em dezembro de 2019. Este novo vírus, chamado SARS-Cov-2, era desconhecido antes do início do surto em Wuhan, na China."
Onde surgiu a Covid-19?,"O primeiro alerta do governo chinês sobre o surgimento de um novo coronavírus foi dado em 31 de dezembro de 2019. Na ocasião, a Organização Mundial da Saúde (OMS) recebeu um comunicado sobre uma série de casos de pneumonia de origem desconhecida em Wuhan, cidade chinesa com 11 milhões de habitantes. Desde então, esse novo coronavírus, que recebeu o nome técnico Covid-19, matou  milhares de pessoas na China e se espalhou  por cinco continentes. Até o momento, a Antártida não apresenta nenhum caso. O Ministério da Saúde confirmou em 26 de fevereiro o primeiro caso de coronavírus no Brasil. No dia 11 de março, a Organização Mundial de Saúde declarou estado de pandamia da Covid-19 e, em 17 de março, o Ministério da Saúde confirmou a primeira morte por coronavírus no Brasil.Primeiro caso no BrasilO 1º caso de Covid-19 no Brasil foi registro em 24 de fevereiro de 2020 no Hospital Albert Einstein. Dias depois, em 26 de fevereiro, o exame foi confirmado pelo Ministério da Saúde."
Quais são os sintomas da Covid-19?,"Os sintomas mais comuns são febre, cansaço e tosse seca. Alguns pacientes podem ter dores musculares, congestão nasal, coriza ou dor de garganta. Esses sintomas, geralmente, são leves e começam gradualmente. Alguns pessoas são infectadas, mas não apresentam sintomas e não se sentem mal. A maioria das pessoas (cerca de 80%) se recupera da doença sem precisar de tratamento especial. Cerca de 20% das pessoas infectadas necessitará de internação e 5% provavelmente precisará de um leito em terapia intensiva. As pessoas idosas e as pessoas com problemas médicos subjacentes, como pressão alta, problemas cardíacos ou diabetes, tem maior probabilidade de desenvolver doenças graves. Pessoas com febre, tosse e dificuldade em respirar devem procurar atendimento médico."
Como a Covid-19 é transmitida? ,"O novo coronavírus, que causa a Covid-19, pode ser transmitido entre pessoas. A doença pode se espalhar por meio de pequenas gotículas do nariz ou da boca (expelidas por uma pessoa com Covid-19 quando tosse ou espirra, por exemplo). Essas gotículas se depositam em objtos e superfícies ao redor da pessoa que, ocasionalmente, podem ter contato."
A Organização Mundial da Saúde (OMS) declarou uma pandemia do Novo coronavírus. O que isso significa?,"As medidas de prevenção e proteção para a população continuam as mesmas – determinadas pela OMS. Esta declaração, pórem, facilita as ações governamentais do ponto de vista da vigilância epidemiológica. Isso quer dizer que a ameaça representada pelo vírus é a mesma, mas que a fase de tentativa de impedir a entrada da doença nos países em que não há transmissão terminou. O que o atual momento requer dos governos é que adotem medidas para minimizar a transmissão comunitária, a fim de diminuir o pico epidemia local, para que os serviços de saúde possam lidar com a demanda de um maior número de pacientes, sem que faltem recursos ou leitos.2. Proteção e Prevenção"
Devemos ficar em casa para nos proteger?,"O distanciamento social é uma medida comportamental importantíssima neste momento, não só para a proteção individual, mas para diminiur a velocidade da propagação do vírus."
O que posso fazer para me proteger e evitar a propagação do vírus?,"1. Higienize regularmente as  mãos com álcool gel 70% ou água e sabão.2. Mantenha, pelo menos, dois metros de distância entre você e qualquer pessoa que esteja  tossindo ou espirrando; pois, quando alguém toose ou espirra, elimina pequenas gotas do nariz ou da boca que podem conter o vírus.3. Evite tocar nos olhos, nariz e boca. As mãos tocam muitas superfícies e podem carregar o vírus.4. Cubra a boca e o nariz quando tossir ou espirrar, preferencialmente com lenço descartável. Em seguida, descarte-o imediatamente e higienize as mãos.5. Fique em casa se não se sentir bem. Se você tiver febre, tosse e dificuldade em respirar, procure atendimento médíco. Siga as instruções da sua autoridade sanitária local.6. Busque sempre infomações em fontes oficiais, sites do Ministério da Saúde e do Governo do Maranhão, por exemplo."
Posso fazer um exame de teste do novo coronavírus?,"Segundo os críterios do Ministério da Saúde, para fazer o exame de testagem, o paciente deve apresentar os seguintes sintomas:1. Pessoas que retornaram de viagem de área de transmissão comunitária nos últimos 14 dias, com apresentação de febre (maior que 37,8º) e sintoma respiratório;2. Pessoas que tiveram contato próximo com caso confirmado ou suspeito nos últimos 14 dias e apresentação de febre (maior que 37,8º) ou sintoma respiratório;3. Pessoas que tiveram contato domiciliar com caso confirmado nos últimos 14 dias e apresentam febre (maior que 37,8º) ou sintoma respiratório ou outros sintomas."
Tive contato com alguém que esteve nos países que resgitraram a doença. O que deve fazer?,"Caso você não tenha sitomas e a pessoa que retornou de viagem também não, não se preocupe. Não há necessidade de fazer exames. A coleta de exames de pacientes assintomático é desnecessário. Observe se você ou a pessoa desenvolvem sintomas gripais ou similares a um resfriado nos próximos 14 dias."
Antibióticos podem ser usados na prevenção ou tratamento da Covid-19?,"Não. Os antibióticos não funcionam contra vírus. Eles funcionam apenas em infecções bacterianas. O Covid-19 é causado por um vírus, portanto os antibióticos não funcionam. Eles devem ser usados apenas quando indicados por um médico para tratar uma infecção bacteriana."
Existe vacina contra o novo coronavírus?,"Como trata-se de um vírus novo, ainda não há vacina disponível."
Devo usar máscara me proteger?,"Pessoas sem sintomas respiratórios, como tosse por exemplo, não precisam usar máscara médica. O uso de máscaras é fundamental para profissionais de saúde e as pessoas que cuidam de alguém (em casa ou em um estabelecimento de saúde).A OMS recomenda o uso de máscaras para pessoas que apresentem sintomas da Covid-19 e para aqueles que cuidam de indivíduos com estes sintomas."
Como usar uma máscara?,"Caso o uso da márcara seja indicado, é importante higienizar as mãos com álcool gel 70% ou água e sabão antes de colocá-la. Depois de higienizar as mãos, coloque a máscara sobre o nariz e a boca. Verifique se há espaços entre o rosto e a máscara para garantir uma vedação firme. Evite tocar na máscara durante o uso. Após o uso, remova a máscara sem tocar na parte da frente e descarte-a em uma lixeira. Higienize novamente as mãos. As máscaras devem ser trocadas sempre que ficarem úmidas.3. Grupos de Risco"
Porque os idosos formam o principal grupo de risco?,"Os idosos em geral fazem parte do grupo de risco para doenças infecciosas de qualquer etiologia. O envelhecimento do sistema imune é sua principal razão. No caso da Covid-19, foi identificado que pacientes diabéticos e hipertensos têm uma maior chance de evoluir com um doença mais grave. O motivo ainda é investigado."
Tenho um idoso em casa: devo deixá-lo em isolamento social mesmo sem apresentar qualquer sintoma?,"Sim, o contato com o idoso deve diminuir, principalmente se você não consegue cumprir o isolamento. As pessoas que saem do domicílio e retornam podem efetivamente tazer a Covid-19 para dentro de casa."
Quais são os principais riscos para os idosos?,"Mantê-los longe do contato com crianças e adolescentes (chance maior de serem pacientes sem sintomas), e evitar que saiam e frequentem aglomerações de pessoas, como reuniões de idosos, shopping centers, supermercados, etc.4. Viagens"
Devo cancelar a minha viagem para o exterior?,"Sim, pois, neste momento, não é recomendado viagens ao exterior."
Voos com escalas devem ser evitados?,"Sim, escalas nos paízes com casos confirmados devem ser evitados. Caso não seja possível, não saia do aeroporto e preste atenção à higiene das mãos."
Qual o risco de contaminação pelo novo coronavírus em um avião?,"Por conta da circulação do ar e a forma como ele é filtrado nos aviões, a maioria dos vírus e outros microorganimos não se espalham facilmente. Apesar de o risco de infecção ser baixo, viajantes devem tentar evitar contato com passageiros doentes e higienizar as mãos com água e sabão por pelo menos 40 a 60 segundos ou com álcool gel 70% por pelo menos 20 a 30 segundos.5. Animais domésticos "
Posso pegar a Covid-19 do meu animal de estimação?,"Não. Cães e gatos podem contrair um coronavírus próprio de suas espécies. Ele nada tem a ver com a Covid-19 e não é transmitido para o ser humano. Por ora, não há evidência de que os pets estejam adoecendo pelo novo coronavírus nem que sejam capazes de propagar a doença.6. Caso suspeito e caso corfirmado"
Tive contato com um caso suspeito ou um caso confirmado da doença. Devo coletar exames?,"Caso você não tenha sintomas, não se preocupe. Não há necessidade de fazer. Procure um serviço de saúde somente se apresentar sintomas, como febre acima de 37,8°C; dor de ganganta; tosse; coriza; mal-estar e, principalmente, dificuldade respirátória."
Tenho um caso confirmado em casa: quais são os principais cuidados para evitar a contaminação de outras pessoas?,"A pessoa com Covid-19 confirmado deve permanecer em quarto preferencialmente com banheiro separado. Quando conviver com as demais pessoas da casa, deve usar máscara protetora (do tipo cirúrgica, simples), manter as mãos bem limpas, de preferência, com álcool gel e práticar a etiquete respiratória. Além disso, a pessoa com Covid-19 deve:1. Minimizar o contato com os outros moradores da residência2. Não dividir utensílios e aparelhos eletrônicos de uso pessoal3. Higienizar constante o ambiente e as mãos4. Respeitar as recomendações médicas de isolamento e não sair de casa
Facebook
Twitter
Whatsapp
FacebookTwitterWhatsapp"
