Perguntas,Respostas
O que é um coronavírus?,"Os coronavírus são uma grande família de vírus que causam doenças que variam do resfriado comum a enfermidades mais graves, como a Síndrome Respiratória do Oriente Médio, Mers, e a Síndrome Respiratória Aguda Grave, Sars."
O que é o novo coronavírus?,O CoV é uma nova cepa de coronavírus que não havia sido previamente identificada em humanos.
Os seres humanos podem ser infectados com um novo coronavírus de origem animal?,"Investigações detalhadas descobriram que o Sars-CoV foi transmitido das civetas (um mamífero carnívoro de origem asiática) para humanos na China em 2002, e o Mers-CoV de camelos dromedários para humanos na Arábia Saudita em 2012. Vários coronavírus conhecidos estão presentes em animais que ainda não infectaram humanos. À medida que o controle melhora em todo o mundo, é provável que mais coronavírus sejam identificados."
Quais são os sintomas apresentados por uma pessoa que foi infectada com um coronavírus?,"Depende do vírus, mas os sinais comuns incluem sintomas respiratórios, febre, tosse, falta de ar e dificuldades respiratórias. Em casos mais graves, a infecção pode causar pneumonia, síndrome respiratória aguda grave, insuficiência renal e até a morte."
Os coronavírus podem ser transmitidos de pessoa para pessoa?,"Sim. Alguns coronavírus podem ser passados de pessoa para pessoa, geralmente após contato próximo com um paciente infectado, como por exemplo, em casa ou num centro de saúde."
Existe uma vacina para um novo coronavírus?,"Não. Quando uma doença surge, não existe vacina até que uma possa ser desenvolvida após testes em laboratório. Segundo a OMS, este processo pode levar alguns anos."
Existe tratamento para um novo coronavírus?,"A OMS afirma que não há tratamento específico para a doença causada por um novo coronavírus. No entanto, muitos dos sintomas podem ser tratados e, portanto, o tratamento tem como base a condição clínica do paciente. Além disso, os cuidados de apoio às pessoas infectadas podem ser altamente eficazes."
O que a pessoa pode fazer para se proteger?,"As recomendações para reduzir a exposição e a transmissão de uma série de doenças incluem a manutenção básica da higiene das mãos e respiratórias, práticas alimentares seguras e evitar contato próximo, quando possível, com qualquer pessoa que mostre sintomas como tosse e espirros."
Os profissionais de saúde sofrem risco de contrair o novo coronavírus?,"A OMS explica que sim, pois os profissionais de saúde entram em contato com os pacientes com mais frequência do que o público em geral. A agência recomenda que os profissionais de saúde utilizem sistematicamente medidas apropriadas de prevenção e controle de infecções."
Quais as recomendações da OMS para os países?,"A OMS incentiva todos os países a aprimorar sua vigilância para infecções respiratórias agudas graves, Sars, revisar cuidadosamente todos os padrões incomuns de casos ou pneumonia e notificar a agência sobre qualquer suspeita ou confirmado de infecção por um novo coronavírus.Os países são incentivados também a continuar fortalecendo sua preparação para emergências de saúde, em conformidade com o Regulamento Sanitário Internacional de 2005."
Onde é possível encontrar mais informações sobre coronavírus conhecidos?,Clique aqui para conferir mais informações sobre o Mers-CoV.aqui 
