Perguntas,Respostas
O que é coronavírus?,"Coronavírus é uma família de vírus que causam infecções respiratórias. O mais novo, COVID-19, foi descoberto ano passado na China, mas outros tipos de coronavírus já foram isolados desde 1937 e há mais quatro conhecidos."
Como o coronavírus é transmitido?,"A transmissão do coronavírus de pessoa para pessoa acontece pelo ar com secreções respiratórias, como gotículas de saliva, espirro, tosse, catarro; ou contato próximo com superfícies contaminadas, como toque em objetos ou aperto de mão. A transmissão pode ocorrer mesmo sem o aparecimento de sinais e sintomas."
Quais os sintomas?,"É um vírus com os sintomas muito semelhantes ao da gripe, como febre, queda do estado geral, tosse, coriza e sintomas respiratórios."
Como é feito o diagnóstico do coronavírus no Rio de Janeiro?,"A Vigilância municipal coleta uma amostra de material respiratório do paciente suspeito e a entrega ao Laboratório Central Noel Nutels (Lacen-RJ). No Lacen, o material é dividido em duas partes. Uma parte da amostra é analisada na própria unidade, investigando vírus respiratórios comuns, e a outra é enviada à Fiocruz, que realiza a testagem para o coronavírus. Somente o resultado final do Lacen descarta ou confirma os casos.Os casos leves devem são acompanhados pelas Vigilâncias municipais, acionando as medidas de precaução domiciliar. Já os casos graves são encaminhados a um hospital de referência para isolamento e tratamento."
Como é o tratamento do coronavírus?,"Não existe tratamento específico para o coronavírus COVID-19. São indicados repouso e consumo de bastante água, além de algumas medidas adotadas para aliviar os sintomas."
"Se eu já tive coronavírus, posso ter de novo?","Os dados mais recentes indicam, até agora, que quem teve uma vez o coronavírus do tipo COVID-19, que é o que está circulando nos países atualmente, não está sendo contaminado novamente. Mas o vírus ainda está sendo estudado."
Estou me sentindo doente. O que devo fazer?,"Se você tem sintomas de gripe ou resfriado, mas apresenta bom estado geral, fique em casa por 14 dias para evitar a contaminação de outras pessoas. Faça repouso e siga as medidas de higiene parareduzir o risco aos seus familiares.Se você tem piora do estado geral, cansaço ou dificuldade para respirar, procure uma emergência. O médico decidirá se você necessita de internação ou exame para o coronavírus.Bebês e crianças menores de seis anos, gestantes, mulheres que deram à luz há menos de 40 dias, maiores de 60 anos, e pessoas com doenças preexistentes devem ser avaliadas por profissional desaúde caso apresentem febre e sintomas respiratórios."
Preciso sair de casa. Devo usar máscara de proteção?,"Se apresentar sintomas é recomendado o isolamento domiciliar por 14 dias. Se for realmente necessário sair, a orientação é usar máscaras de proteção e evitar ficar próximo de outras pessoas para evitar uma possível transmissão no seu trânsito. Quem tiver contato com casos suspeitos, incluindo profissionais de saúde e familiares, também devem usar máscaras."
Como se prevenir do coronavírus?,"- Lavar as mãos frequentemente com água e sabonete por pelo menos 20 segundos, incluindo oespaço entre os dedos, unhas e punhos;- Se não houver água e sabonete, usar um desinfetante para as mãos à base de álcool;- Evitar tocar nos olhos, nariz e boca com as mãos não lavadas;- Evitar contato próximo com pessoas doentes;- Ficar em casa quando estiver doente;- Cobrir boca e nariz ao tossir ou espirrar com um lenço de papel e jogar no lixo; se não tiver, tampar nariz e boca com a parte interna do cotovelo, nunca usar as mãos;- Limpar e desinfetar objetos e superfícies tocados com frequência, como celulares;- Profissionais de saúde devem utilizar medidas de precaução padrão, de contato e de gotículas"
"(máscara cirúrgica, luvas, avental não estéril e óculos de proteção).Posso usar qualquer tipo de álcool, ou precisa ser em gel? Tem que ser 70?","Estudos mostram que o álcool 60% já alcança ação antimicrobiana, contra bactérias, fungos e vírus.Pode ser em gel ou o líquido, vendido em mercados, mas precisa ser 60% ou mais. No entanto, o segundo resseca as mãos e tem risco de acidentes aumentado. O álcool com teor abaixo de 60% não é eficaz."
A que distância preciso estar das pessoas para não me contaminar e não contaminar ninguém?,O ideal é manter uma distância superior a 2 metros e evitar estar frente a frente quando não for possível essa distância.
Que tipo de produto devo usar para limpar a casa?,"Pode usar desinfetante ou álcool 60% ou mais, além de solução com água sanitária."
Quais são as medidas adotadas nas aeronaves que chegam do exterior?,A identificação de pessoas com sinais e sintomas respiratórios para testagem e adoção das medidas cabíveis caso o resultado seja positivo.
