Perguntas,Respostas
O que é o coronavírus?,"Os coronavírus fazem parte de um grupo viral que causa infecções transitórias, como resfriados. Ao longo da nossa vida, somos acometidos por diversos tipos de coronavírus. Entretanto, neste século, houve surtos de transmissões dos coronavírus mais graves, como a da SARS-CoV, entre 2002 e 2003, causador da Síndrome Respiratória Aguda Grave (SARS); e a da MERS-CoV, em 2012, responsável pela Síndrome Respiratória do Oriente Médio (MERS). Hoje vivemos um novo momento, dessa vez com a COVID-19, provocada pelo SARS CoV-2, conhecido popularmente por “novo coronavírus”."
O que é a Covid-19?,"A COVID-19 é a doença causada por um novo tipo de coronavírus (SARS-CoV-2), descoberto em dezembro de 2019. Seu surto iniciou em Wuhan, na China, e vem se espalhando por todo o planeta. Isso fez com que a Organização Mundial da Saúde (OMS), em 11 de março de 2020, classificasse o surto da COVID-19 como pandemia."
Como surgiu o novo coronavírus?,"Acredita-se que o vírus SARS-CoV-2 tenha vindo de morcegos. Médicos chineses acreditam que o primeiro paciente seja um homem de 55 anos, que teria contraído a doença em 17 novembro do ano passado. Só conhecendo o paciente que primeiro manifestou a doença, os especialistas poderão ter mais respostas sobre a origem do vírus. O boato de que o SARS-CoV-2 tenha sido criado em laboratório não é verdadeiro: um estudo realizado por pesquisadores dos Estados Unidos, Escócia e Austrália comprova que o vírus surgiu a partir de processos naturais de evolução e que ele apresenta mutações tão aleatórias que seria improvável a manipulação humana.estudo"
O novo coronavírus é mais grave que seus antecessores?,"Os últimos dados apontam que a taxa de mortalidade da COVID-19 é de 4,15%. Isso significa que a cada 700 casos, 29 são fatais. Esse número é inferior aos das epidemias de SARS (8%) e MERS (34%). O que acontece com esse vírus é que ele possui uma alta de taxa de infecciosidade e o ser humano ainda não possui imunidade contra ele, por isso sua disseminação está sendo maior, ocasionando sua difusão por vários países. Nesse sentido, é importante manter o distanciamento para a diminuição do contágio, já que não existe vacina ou remédios contra a doença. O tratamento de casos graves é complexo e requer uma rede de hospitais preparada, com alto nível de complexidade."
Como a doença é transmitida?,"A COVID-19 é transmitida pelo ar e pelo contato com superfícies contaminadas, seguidas de contato com a boca, nariz e olhos. O vírus é espalhado por gotículas de saliva, espirros, tosses e secreções nasais. Para conter sua transmissão, é necessário evitar o contato pessoal próximo, como toques, beijos, abraços e apertos de mão."
Como prevenir a doença?,"Além de evitar o contato físico, uma medida fundamental é lavar as mãos, até a altura do pulso, com água e sabão por pelo menos 20 segundos. Caso não seja possível, deve-se utilizar o álcool em gel com concentração superior a 70%. É importante não tocar olhos, nariz e boca com as mãos não lavadas. Ao tossir ou espirrar, a pessoa deve seguir a etiqueta respiratória de cobrir a boca e o nariz com a parte interior do antebraço ou utilizar lenço de papel e descartá-lo em seguida. Objetos e superfícies tocados com frequência devem ser limpos e desinfetados regularmente. O ideal, neste momento, é permanecer em casa, mantendo o isolamento social."
Quais são os sintomas?,"Os sintomas da COVID-19 são semelhantes ao de um resfriado comum. A maioria dos pacientes vão apresentar febre, tosse e dificuldade de respirar. Eles também podem ter dores, congestão nasal, coriza, dor de garganta ou diarreia. Em casos mais graves, que ocorrem em menor número, pode ocorrer falta de ar, ocasionando a morte."
Quando devo procurar o médico?,"A recomendação é de que, se o paciente estiver com sintomas leves, não procure o atendimento médico. Estes devem tratar dos sintomas em casa e observar a evolução do caso. Aqueles que apresentarem sintomas mais graves devem, sim, buscar o atendimento.Para proporcionar uma autoavaliação e diminuir a corrida aos hospitais e unidades básicas de saúde, o Ministério da Saúde lançou o aplicativo Coronavírus – SUS para Android e iOS. Nele, além de informações sobre a doença, com base nas respostas ao questionário disponível, o usuário é orientado sobre a necessidade, ou não, de procurar ajuda hospitalar."
Preciso fazer o exame?,"Somente um médico pode determinar a necessidade de realização do exame. Apenas pessoas com sintomas graves de doença respiratória estão sendo orientadas a realizá-lo, mesmo aquelas que vivem em locais com transmissão comunitária. Essa medida evita o esgotamento dos insumos para realização de exames e viabiliza a obtenção de resultados de forma mais ágil."
O exame é de graça? Meu plano cobre?,"Os pacientes atendidos pela rede pública de saúde tem os exames realizados gratuitamente pelo SUS, seguindo a prioridade daqueles internados e em estado grave. Em caso de atendimento particular por plano de saúde, as operadoras devem autorizar os exames mediante autorização médica, de acordo com resolução da Agência Nacional de Saúde Suplementar (ANS)."
Existe remédio ou vacina para a COVID-19?,"Não. Apesar da divulgação de resultados de pesquisas que sugerem uma possível eficácia do uso de medicamentos indicados para outras doenças, como a malária, é preciso muita cautela. Nunca relaxar os cuidados básicos com a prevenção da doença. A droga citada demonstrou bons resultados em experimentos controlados de laboratório. Já foram realizados alguns testes em humanos, mas o pequeno número não garante relevância estatística. Portanto, não está comprovado que algum remédio possa combater o novo coronavírus e não é recomendado o uso dos citados em testes, pois podem apresentar efeitos colaterais graves se usados de forma indiscriminada. Nesse momento, os medicamentos indicados são aqueles usados para tratamento dos sintomas da doença."
Quais são os grupos de risco?,"Os grupos mais suscetíveis à COVID-19 são idosos – principalmente aqueles acima de 80 anos -, diabéticos, hipertensos, pessoas com insuficiências renal e cardíaca, doença respiratória crônica, doenças que comprometam o sistema imunológico, transplantados, e que convivam com o HIV."
"Já que não faço parte dos grupos de risco, não preciso me preocupar?","Todos devemos nos preocupar com a transmissão e a escalada no número de casos do novo coronavírus. A indicação é de quarentena com a realização, dentro do possível, de trabalhos em home office ou em escalas reduzidas. Quanto maior for o isolamento, mesmo daqueles que não estão com a doença e/ou não pertencem aos grupos de risco, maior a chance de não nos tornarmos vetores da COVID-19.Veja em nossas redes e compartilhe!facebooktwitteremailWhatsAppfacebooktwitteremailWhatsAppPesquisar em NotíciasNotícias mais lidasAberto edital de seleção de professores substitutos para Ensino Remoto Emergencial 14 de dezembro de 2020 “Olhando pela Janela”: concurso de fotografia distribui R$ 1.500 em prêmios 2 de dezembro de 2020 UFJF divulga calendário acadêmico do ensino remoto emergencial 20 de agosto de 2020 Aberto edital de seleção de professores substitutos para Ensino Remoto Emergencial“Olhando pela Janela”: concurso de fotografia distribui R$ 1.500 em prêmiosUFJF divulga calendário acadêmico do ensino remoto emergencialNotícias relacionadasCampus GV empossa dois servidores para o Instituto de Ciências da VidaConfira 4 exemplos de como a UFJF vai além da sala de aula e chega à comunidadeVeja como a UFJF se aproximou da comunidade e como isso mudou a formação de estudantesEstudantes da UFJF-GV vencem Desafio Atitude AmbientalPró-reitoria de Extensão reúne Juiz de Fora e GV em eventos on-line"
