Perguntas,Respostas
O que são coronavírus?  ,"Os coronavírus (CoV) compõem uma grande família de vírus, que receberam esse nome devido às espículas na sua superfície, que lembram uma coroa. Têm potencial de transmissão entre animais e humanos e podem causar, no homem, desde um resfriado comum até síndromes respiratórias graves, como a síndrome respiratória aguda grave (SARS, do inglês Severe Acute Respiratory Syndrome) e a síndrome respiratória do Oriente Médio (MERS, do inglês Middle East Respiratory Syndrome). "
O que é este novo coronavírus? ,"Trata-se de uma nova variante do coronavírus, até então não identificada em humanos, descoberta na China. "
Qual a origem do surto atual?,"A origem ainda não está elucidada. Acredita-se que a fonte primária do vírus tenha sido um mercado de frutos do mar e animais vivos em Wuhan, cidade chinesa. "
Como ocorre a transmissão entre humanos? ,"Inalação de secreções respiratórias (tosse, espirro); Contato pessoal próximo, como tocar ou apertar as mãos ou tocar em um objeto ou superfície contaminado com o vírus e, em seguida, tocar em boca, nariz ou olhos antes de lavar as mãos. Inalação de secreções respiratórias (tosse, espirro); Contato pessoal próximo, como tocar ou apertar as mãos ou tocar em um objeto ou superfície contaminado com o vírus e, em seguida, tocar em boca, nariz ou olhos antes de lavar as mãos. Na maior parte dos casos, a transmissão é limitada e se dá por contato próximo, ou seja, qualquer pessoa que cuidou do paciente, incluindo profissionais de saúde ou membro da família. "
Qual o período entre o contato até o início dos sintomas? ,Ainda não há uma informação exata. Presume-se que o tempo de exposição ao vírus e o início dos sintomas seja de 2 até 14 dias. 
Quais são os sintomas? ,"A apresentação pode variar desde casos assintomáticos, casos de infecções de vias aéreas superiores semelhante ao resfriado, até casos graves com pneumonia e insuficiência respiratória aguda, com dificuldade respiratória. "
Como é feita a confirmação laboratorial do novo coronavírus? ,Exames laboratoriais realizados por biologia molecular identificam o material genético do vírus em secreções respiratórias. 
Existe um tratamento para o novo coronavírus? ,"Não há um medicamento específico. Indica-se repouso e ingestão de líquidos, além de medidas para aliviar os sintomas, como analgésicos e antitérmicos. Nos casos de maior gravidade com pneumonia e insuficiência respiratória, suplemento de oxigênio e mesmo ventilação mecânica podem ser necessários. "
Como reduzir o risco de infecção pelo novo coronavírus? ,"Evitar contato próximo com pessoas com infecções respiratórias agudas; Lavar frequentemente as mãos, especialmente após contato direto com pessoas doentes ou com o meio ambiente e antes de se alimentar; Usar lenço descartável para higiene nasal; Cobrir nariz e boca ao espirrar ou tossir; Evitar tocar nas mucosas dos olhos; Higienizar as mãos após tossir ou espirrar; Não compartilhar objetos de uso pessoal, como talheres, pratos, copos ou garrafas;Manter os ambientes bem ventilados; Evitar contato próximo com animais selvagens e animais doentes em fazendas ou criações. Evitar contato próximo com pessoas com infecções respiratórias agudas; Lavar frequentemente as mãos, especialmente após contato direto com pessoas doentes ou com o meio ambiente e antes de se alimentar; Usar lenço descartável para higiene nasal; Cobrir nariz e boca ao espirrar ou tossir; Evitar tocar nas mucosas dos olhos; Higienizar as mãos após tossir ou espirrar; Não compartilhar objetos de uso pessoal, como talheres, pratos, copos ou garrafas;Manter os ambientes bem ventilados; Evitar contato próximo com animais selvagens e animais doentes em fazendas ou criações. "
Existe uma vacina para o novo coronavírus? ,"Como a doença é nova, não há vacina até o momento. "
Temos casos do novo coronavírus no Brasil? ,"Até o presente momento, não há casos confirmados no país."
Qual a definição de caso suspeito? ,"Febre acompanhada de sintomas respiratórios, além de atender a uma das duas seguintes situações: ter viajado nos últimos 14 dias antes do início dos sintomas para área de transmissão local (cidade de Wuhan) ou ter tido contato próximo com um caso suspeito ou confirmado. Febre pode não estar presente em casos de alguns pacientes, como idosos, imunocomprometidos ou que tenham utilizado antitérmicos. "
Qual a orientação diante da detecção de um caso suspeito? ,"Os casos suspeitos devem ser mantidos em isolamento enquanto houver sinais e sintomas clínicos. Paciente deve utilizar máscara cirúrgica a partir do momento da suspeita e ser mantido preferencialmente em quarto privativo. Profissionais da saúde devem utilizar medidas de precaução padrão, de contato e de gotículas (máscara cirúrgica, luvas, avental não estéril e óculos de proteção). Para a realização de procedimentos que gerem aerossolização de secreções respiratórias, como intubação, aspiração de vias aéreas ou indução de escarro, deverá ser utilizada precaução por aerossóis, com uso de máscara profissional PFF2 (N95). Estas são as recomendações atuais do Ministério da Saúde. FONTES:Ministério da Saúde do Brasil / Organização Mundial da Saúde (OMS) / Centro de Controle e Prevenção de Doenças (CDC) / Sociedade Brasileira de Infectologia (SBI). "
