Perguntas,Respostas
O que é o coronavírus?,"Os coronavírus são uma grande família viral, conhecidos desdemeados de 1960, que causam infecções respiratórias em seres humanos e emanimais.Geralmente, infecções por coronavírus causam doençasrespiratórias leves a moderadas, semelhantes a um resfriado comum. Porém,alguns coronavírus podem causar doenças graves com impacto em termos de saúdepública, como já verificado com a Síndrome Respiratória Aguda Grave (SARS),identificada em 2002, e a Síndrome Respiratória do Oriente Médio (MERS),identificada em 2012."
Qual é a diferença entre o novo coronavíruspara os outros vírus?,"A doença provocada pelo novo coronavírus chama-se COVID-19,sigla em inglês para “coronavirusdisease 2019” (doença por coronavírus 2019, em tradução livre).Os primeiros casos foram registrados inicialmente na China, nofinal de 2019. Há registros em outros locais do mundo, com casos de mortes."
Existe vacina para prevenção ao coronavírus?,"Até o momento, não. No entanto, cientistas ao redor do mundo jáiniciaram pesquisas para desenvolvimento de vacina. Ainda é precoce indicar see quando ela estará disponível."
Quais os sintomas do coronavírus?,"Os sinais e sintomas clínicos são principalmente respiratórios,semelhantes aos de um resfriado comum. Podem também causar infecção do tratorespiratório inferior, como as pneumonias.Os principais sintomas são:– Febre– Tosse;– Coriza;– Dificuldade para respirar."
Qual (is) remédio(s) a pessoa com COVID-19 devetomar?,"Não existe remédio específico. O tratamento é baseado no quadroclínico da pessoa. É indicado repouso e consumo de bastante água, além dealgumas medidas adotadas para aliviar os sintomas, conforme cada caso, como,por exemplo, uso de medicamento para dor e febre (antitérmicos e analgésicos),uso de umidificador no quarto ou tomar banho quente para auxiliar no alívio dador de garganta e tosse."
O que é o “período de incubação”?,"Período de incubação consiste no intervalo entre a data decontato com o vírus até o início dos sintomas. No caso do COVID-19, já se sabeque o vírus pode ficar incubado por até duas semanas (14 dias), quando ossintomas aparecem desde a infecção."
Como ocorre a transmissão do coronavírus?,"As investigações sobre transmissão do novo coronavírus aindaestão em andamento. Neste momento está estabelecida transmissão por contato comsecreções. A transmissão pode ocorrer de forma continuada, ou seja, uminfectado pelo vírus pode passá-lo para alguém que ainda não foi infectado.A transmissão costuma ocorrer pelo ar ou por contato pessoal comsecreções contaminadas, como:– Gotículas de saliva;– Espirro;– Tosse;– Catarro;– Contato pessoal próximo, como toque ou aperto de mão compessoa infectada;– Contato com objetos ou superfícies contaminadas, seguido decontato com a boca, nariz ou olhos.Alguns vírus são altamente contagiosos, como o sarampo, que étransmitido por aerossol (partículas no ar), com proporção de transmissão deuma para até 18 pessoas, em média. O conhecimento já registrado sobre oscoronavírus indica que eles apresentam transmissão de uma para até trêspessoas."
O coronavírus pode matar?,"O óbito pode ocorrer em virtude de complicações da infecção,como por exemplo, insuficiências respiratórias."
Como se prevenir contra o COVID-19?,"As principais orientações são:– Usar máscara e cobrir boca e nariz ao tossir ou espirrar;– Utilizar lenço descartável para higiene nasal;– Evitar tocar mucosas de olhos, nariz e boca;– Não compartilhar objetos de uso pessoal;– Limpar regularmente o ambiente e mantê-lo ventilado;– Lavar as mãos por pelo menos 20 segundos com água e sabão ouusar antisséptico de mãos à base de álcool;– Deslocamentos/viagens não devem ser realizados enquanto apessoa estiver doente;"
Como é a prevenção contra o coronavírus paraos profissionais de saúde?,"Profissionais de saúde devem utilizar medidas de proteção padrãopara contato e gotículas (máscara cirúrgica, luvas, avental não estéril eóculos de proteção).Para a realização de procedimentos que gerem aerossolização desecreções respiratórias como intubação, aspiração de vias aéreas ou indução deescarro, deverá ser utilizada máscara de precaução por aerossóis tipo N95."
O que fazer em caso de sintomas?,"Se apresentar sintomas como falta de ar ou desconfortorespiratório, o paciente deve procurar o serviço de saúde mais próximo da suaresidência. O profissional vai avaliar se os sintomas podem indicar algumaprobabilidade de infecção por coronavírus, coletar material para diagnóstico einiciar o tratamento.A infecção apresenta manifestações clínicas parecidas com as deoutros vírus e não existe tratamento específico para infecções por coronavírusaté o momento. Dessa forma, no caso do novo coronavírus é indicado:– Repouso;– Hidratação (ingestão de bastante água e líquidos);– Medidas adotadas para aliviar os sintomas, conforme cada caso,como: uso de medicamento para dor e febre (antitérmicos e analgésicos); uso deumidificador no quarto; tomar banho quente para auxiliar no alívio da dor degarganta e tosse.Pacientes com sintomas mais intensos podem ser hospitalizados. Adefinição compete ao médico responsável pelo caso."
Qual o tratamento indicado para uma pessoa comCOVID-19?,"Não existe tratamento específico e a orientação médica é baseadano quadro clínico da pessoa. É indicado repouso e consumo de bastante água,além de algumas medidas adotadas para aliviar os sintomas, conforme cada caso,como, por exemplo, uso de medicamento para dor e febre (antitérmicos eanalgésicos), uso de umidificador no quarto ou tomar banho quente para auxiliarno alívio da dor de garganta e tosse.Assim que os primeiros sintomas surgirem, é fundamental procurarajuda médica imediata para que profissionais indiquem o que é apropriado paracada caso. Quadros mais graves podem requerer internação hospitalar."
Como é feito o diagnóstico do COVID-19?,O diagnóstico é feito com a coleta de materiais respiratórios(aspiração de vias aéreas ou coleta de secreções da boca e nariz). Oprocedimento deve ser realizado para todos os casos suspeitos.
Qual é a definição de pessoasmonitoradas?,"Pessoas que chegaram de viagem e que são cadastradas pela Vigilância de Saúde do município onde passam a ser monitoradas. O monitoramento consiste em acompanhar o monitorado por 14 dias, seja presencial ou por telefone, no intuito de identificar sintomas ligados a COVID-19. Ao passar 14 dias e a pessoa não desenvolveu sintomas ela sai de monitoramento."
Por que tanto casos em monitoramento?,"Isso significa que São José do Belmonte está atuante,trabalhando forte para prevenir a disseminação do novo coronavírus nomunicípio."
Qual é a definição de caso notificado?,"Caso comunicado no sistema de monitoramento do Ministério daSaúde, abastecido diretamente pelas prefeituras."
Qual é a definição de caso suspeito?,"Podem ser considerados suspeitos os casos de pessoas quetiveramcontato próximo com caso suspeito ou confirmado para COVID-19, nosúltimos 14 dias, e que apresente febre ou algum sintoma respiratório, comotosse, dificuldade para respirar, produção de escarro, congestão nasal, coriza,por exemplo."
Quanto tempo dura a recuperação de uma pessoacom COVID-19?,"No momento, para os casos mais leves com recomendação deisolamento domiciliar, considera-se o período de 14 dias para monitoramento dossintomas. Depois disso, se os sintomas respiratórios e febre acabarem, a pessoapode voltar à rotina normal."
Qual é a definição de caso confirmado?,"A confirmação para COVID-19 poderá ser feita a partir docritério laboratorial, com resultado positivo por meio de RT-PCR (sigla eminglês que significa “Reação em cadeia da polimerase”), por laboratórioreconhecido pelo Ministério para diagnóstico da doença.Caso não seja possível a realização da análise, também poderáocorrer confirmação pelo critério clínico-epidemiológico, ou seja, situações emque a pessoa teve contato próximo ou domiciliar com um caso confirmadolaboratorialmente, e que apresentou febre ou pelo menos um sintomarespiratório, no intervalo de 14 dias após o último contato com o infectado."
O que é o “comunicante” de um caso confirmado?,"Comunicantes próximos são familiares, profissionais de saúde quetenham prestado atendimento desprotegidos e pessoas que possam ter tido contatopróximo com o caso confirmado para COVID-19."
