Perguntas,Respostas
"1 - Caso suspeite que esteja infectado com o Coronavírus, como o beneficiário de plano de saúde deve proceder? ","Cada operadora de plano de saúde definiu o melhor fluxo para atendimento de seus beneficiários, portanto, a orientação é que o usuário que desconfie que está com Coronavírus entre primeiramente em contato com a operadora e se informe sobre os locais e orientações para atendimento. "
2 - O exame para detecção do Coronavírus é coberto pelos planos de saúde? ,"Sim, o exame SARS-CoV-2 (CORONAVÍRUS COVID-19) – pesquisa por RT – PCR (com diretriz de utilização) foi incluído pela ANS no Rol de Procedimentos e Eventos em Saúde e é, portanto, de cobertura obrigatória aos beneficiários de planos de saúde com segmentação ambulatorial, hospitalar ou referência. A medida vale desde o dia 13/03/2020. "
3 - Em que casos deve ser feito o exame para detecção do vírus (RT -PCR)? ,"O exame deve ser feito nos casos em que a condição de saúde beneficiário se enquadrar como caso suspeito ou provável de Covid-19, conforme indicação médica. O médico assistente deverá avaliar o paciente de acordo com o protocolo e as diretrizes definidas pelo Ministério da Saúde, a quem compete definir os casos enquadrados como suspeitos ou prováveis de doença pelo Coronavírus (Covid-19). Nas situações em que o médico verificar que o exame é indicado, deve orientar o paciente a procurar sua operadora para pedir indicação de um estabelecimento de saúde da rede da operadora apto à realização do teste. "
4 – Há outros exames na lista de coberturas que auxiliam no diagnóstico e tratamento da Covid-19?,"Sim, além do exame para detecção pesquisa por RT-PCR, a ANS incluiu no Rol, com vigência a partir de 29/05, outros seis exames que auxiliam no diagnóstico e tratamento do novo Coronavírus. São eles: Dímero D (dosagem); Procalcitonina (dosagem); Pesquisa rápida para Influenza A e B; PCR em tempo real para os vírus Influenza A e B; Pesquisa rápida para Vírus Sincicial Respiratório; e PCR em tempo real para Vírus Sincicial Respiratório. Esses exames buscam ampliar as possibilidades de diagnóstico da Covid-19, especialmente em pacientes graves com quadro suspeito ou confirmado. Dessa forma, auxiliam no diagnóstico diferencial e no acompanhamento de situações clínicas que podem representar grande gravidade, como por exemplo, a presença de um quadro trombótico ou de uma infecção bacteriana causada pelo vírus. "
5 - Os planos de saúde cobrem o tratamento dos problemas de saúde causados pelo coronavírus? ,"Sim, os planos de saúde têm cobertura obrigatória para consultas, internações (em leitos hospitalares e de UTI), terapias e exames que podem ser empregados no tratamento de problemas causados pelo Coronavírus (Covid-19). Contudo, o beneficiário tem que estar atento à segmentação assistencial de seu plano: o ambulatorial dá direito a consultas, exames e terapias; o hospitalar dá direito a internação. No caso dos planos antigos, ou seja, aqueles contatados antes da vigência da Lei nº 9656/1998, vale o que estiver estipulado em contrato. "
6 - Os planos de saúde podem exigir o cumprimento de carência nos casos relacionados à Covid -19? ,"Sim, as regras de carência se aplicam também nos casos relacionados ao Coronavírus. Mas é importante esclarecer que as carências não são ex igidas por tipo de doença, e sim de acordo com o tempo de contratação do plano. Desse modo, os planos de saúde podem exigir o cumprimento dos prazos de carência que, de acordo com a lei, são os seguintes: Atendimento em urgência e emergência: 24 horas;Demais coberturas: 180 dias;Parto a termo: 300 dias;A cobertura assistencial durante o cumprimento dos prazos de carência deverá obedecer às regras previstas na Resolução CONSU nº 13/1998. No que se refere às situações de emergência, que implicam em risco imediato de vida ou de lesões irreparáveis para o paciente, mas que não decorrem de acidente pessoal, o texto prevê que, no plano hospitalar, quando o atendimento for efetuado no decorrer dos períodos de carência, este deverá abranger a cobertura fixada para o plano ambulatorial, excluindo, portanto, a cobertura para internação. "
7 - Procedimentos não urgentes devem ser adiados durante a pandemia? E internações e cirurgias eletivas devem ser suspensas?  ,"A decisão sobre a realização dos procedimentos deve sempre ser feita conforme indicação do profissional de saúde assistente, que é o responsável por avaliar a indicação diante das necessidades de saúde dos pacientes. A ANS recomenda que os cuidados com a saúde e que os tratamentos continuados não sejam interrompidos, sob pena de agravamento da condição de saúde ou de colocarem em risco a vida dos pacientes, em especial atendimentos de pré-natal, parto e puerpério; doenças crônicas; tratamentos continuados; revisões pós -operatórias; diagnóstico e terapias em oncologia; atendimentos em psiquiatria; outros tratamentos (inclusive cirurgias eletivas essenciais) cuja não realização ou interrupção possa gerar o agravamento da condição de saúde do beneficiário, conforme declaração do médico assistente. A ANS frisa, ainda, que o momento em que o País está passando permanece exigindo todos os cuidados – dos beneficiários, das operadoras de planos de saúde e dos prestadores de serviços - no sentido de buscar evitar a contaminação pela Covid-19. Isso inclui as medidas de distanciamento social, uso de equipamentos de proteção e manutenção das normas de higiene preconizadas pelas autoridades de saúde e gestores locais. "
8 - Os planos de saúde podem suspender o atendimento por falta de pagamento? ,"Em planos de saúde individuais ou familiares, as operadoras somente podem rescindir um contrato em caso de não-pagamento da mensalidade por período superior 60 dias, consecutivos ou não, nos últimos doze meses de vigência do contrato. Antes de rescindir o contrato, a operadora deve notificar o consumidor até o 50º dia de inadimplência. É proibida a rescisão ou suspensão unilateral do contrato por iniciativa da operadora, qualquer que seja o motivo, durante a internação de titular ou de dependente. Em planos coletivos, as condições para exclusão do beneficiário em função de inadimplência junto à pessoa jurídica contratante devem estar previstas em contrato. Antes da rescisão, o beneficiário tem direito a todos os procedimentos contratados, não podendo ter nenhum atendimento negado ou mesmo ser constrangido por estar inadimplente com a mensalidade do plano. "
"9 - Caso tenha dúvidas, como o beneficiário de plano de saúde deve ser informar? ",O usuário deve sempre procurar informações e orientações junto à operadora do seu plano de saúde. A ANS está orientando as empresas para que disponibilizem em seus portais na internet e disseminem através de seus canais de relacionamento informações sobre o atendimento e a realização do exame e ofereçam canais de atendimento específicos para prestar esclarecimentos e informações sobre a doença aos seus usuários. A ANS também presta informações e registra as reclamações dos beneficiários através dos seguintes canais de atendimento: Disque ANS - 0800 701 9656; Central de Atendimento para deficientes auditivos - 0800 021 2105; Fale Conosco no portal da Agência – www.ans.gov.br.  TELESSAÚDE 
10 - A telemedicina pode ser utilizada pelos beneficiários de planos de saúde?  ,"Sim, nesse período de pandemia, seguindo orientação das autoridades de saúde para priorizar o isolamento social e evitar a sobrecarga dos serviços de saúde, os beneficiários de planos de saúde devem, sempre que possível, procurar aconselhamento médico ou de outros profissionais de saúde por telefone ou outras tecnologias que possibilitem, de forma não presencial, a troca de informações para diagnóstico, tratamento e prevenção de doenças. "
