Perguntas,Respostas
O que é o novo Coronavírus?,"O novo coronavírus faz parte de uma grande família viral que causa infecções respiratórias em seres humanos e em animais. Em janeiro de 2020, a Organização Mundial da Saúde (OMS) notificou casos de pneumonia de causa desconhecida, ocorridos na cidade de Wuhan, na região central da China, onde houve a detecção de um novo coronavírus. O novo coronavírus causa doença respiratória denominada de COVID-19. Na maior parte dos casos, a doença é leve a moderada, semelhante a uma gripe. Alguns casos podem ser mais graves, podendo evoluir para óbito, principalmente em idosos e pessoas com doenças pré-existentes."
Quais os sintomas da doença? ,"Febre, tosse, dor de garganta, dores no corpo, cansaço, coriza, congestão nasal e eventualmente diarreia. Na evolução para formas mais graves pode ocorrer falta de ar, dificuldade para respirar, cansaço, lábios ou dedos arroxeados.Atenção! Pacientes com alguma doença crônica podem ter um risco maior de quadros mais graves, especialmente se tiver doenças cardíacas ou respiratórias descompensadas ou mal controladas. Hipertensão, doenças renais crônicas em estágio avançado (graus 3, 4 e 5) ou em diálise, pacientes com imunossupressão ( uso de imunossupressores, quimioterapia/radioterapia transplantados, doenças que causam imunodeficiência, etc),portadores de doenças cromossômicas e com estados de fragilidade imunológica (ex.: Síndrome de Down), diabetes (conforme juízo clínico), gestante de alto risco.Ao procurar atendimento médico, é recomendável utilizar máscara comum no trajeto e, se possível, não utilizar transporte coletivo. Caso não possua máscara, é importante seguir as recomendações de etiqueta respiratória (cobrir a boca e o nariz durante a tosse e espirros com lenços de papel ou cotovelo flexionado, seguido de higiene das mãos), e assim que chegar no serviço de saúde, solicitar uma máscara comum.Para localizar o serviço mais próximo, procure no BUSCA SAÚDE."
Como é transmitido o coronavírus?,"A transmissão se dá pelo contato com secreções contaminadas provenientes de espirro, tosse, gotículas de saliva, catarro, contato próximo com a pessoa infectada (como toque ou aperto de mão), contato com objetos ou superfícies contaminadas seguido de contato com boca, nariz ou olhos."
É preciso tomar cuidado com espirros e tosse?,"Sim. A etiqueta respiratória deve ser praticada por todos: Cobrir a boca e o nariz durante a tosse e espirros usando máscara comum, lenços de papel ou cotovelo flexionado, seguido de higiene das mãos."
Quais a medidas de prevenção?,"- Ao tossir ou espirrar, cubra a boca e o nariz com o cotovelo flexionado ou com lenço descartável. Evite usar as mãos e se usá-las lembre-se de lavá-las com água e sabão. Se usar um lenço, jogue-o fora imediatamente e lave as mãos; Utilize lenço descartável para limpar o nariz; Evite tocar os olhos, nariz e boca; Não compartilhe objetos de uso pessoal como talheres, pratos, copos, escovas de dente. Lave as mãos por pelo menos 20 segundos com água e sabão ou use álcool gel; Não realize deslocamentos e viagens enquanto estiver doente; Evite locais com aglomeração de pessoas;"
Quem faz parte do grupo de risco?,"Ainda estamos aprendendo sobre como o COVID-19 afeta as pessoas, mas idosos (pessoas com mais de 60 anos)e pacientes com alguma doença crônica podem apresentar um risco maior de desenvolverem quadros mais graves, especialmente se tiverem doenças cardíacas ou respiratórias descompensadas ou mal controladas, hipertensão, doenças renais crônicas em estágio avançado (graus 3, 4 e 5) ou em diálise, imunossupressão (uso de imunossupressores, quimioterapia/radioterapia transplantados, doenças que causam imunodeficiência, etc), doenças cromossômicas e com estados de fragilidade imunológica (ex.: Síndrome de Down), diabetes (conforme juízo clínico) e gestação de alto risco."
Quanto tempo esse vírus permanece fora do corpo? Pode pegar esse vírus mais de uma vez?,Existem estudos demonstrando que o SARSCov2 pode permanecer viável por varias horas em superficies onde não há limpeza e desinfecção apropriada (p.ex. 4-5 hs a depender do tipo de superficie ou artigo contaminado). A possibilidade de reinfecção ainda permanece em estudo.ISOLAMENTO DOMICILIAR
O que é isolamento domiciliar?  Quais cuidados devem ser tomados no isolamento domiciliar?,"Toda pessoa com sintomas respiratórios, suspeita ou confirmada para COVID-19, que não precisar ficar internada, deve permanceer em isolamento domiciliar por 14 dias a partir do inicio dos sintomas, assim como os contatos intra-domiciliares, mesmo que assintmáticos.• A pessoa com sintomas respiratórios deve permanecer em isolamento domiciliar por 14 dias, contados a partir da data de início dos sintomas.• Os contatos intradomiciliares devem permanecer em isolamento domiciliar por 14 dias, se possível afastados da pessoa com sintomas respiratórios.• Manter a pessoa com sintoma respiratório, se possível, em quarto individual bem ventilado.• Não receber visitas.• Limitar o número de cuidadores.• Limitar a circulação da pessoa com sintomas respiratórios.• Manter os ambientes compartilhados (cozinha, banheiro, sala) bem ventilados, com as janelas abertas.• A higiene das mãos deve ser praticada por todos do domicilio.• Ao realizar higiene das mãos com água e sabonete, utilizar, preferencialmente, toalhas de papel descartáveis para secar as mãos. Caso as toalhas de papel descartáveis não estejam disponíveis, usar toalhas de pano e trocar sempre que ficarem molhadas.• A etiqueta respiratória deve ser praticada por todos do domicílio: cobrir a boca e o nariz durante a tosse e espirros usando papel higiênico/lenços de papel ou cotovelo flexionado. Descartar os materiais imediatamente após o uso e realizar a higiene das mãos com água e sabão/sabonete ou álcool gel.• Ao compartilhar ambientes, o paciente deve usar máscara comum bem ajustada ao rosto.• O cuidador deve usar máscara comum bem ajustada ao rosto quando estiver no mesmo ambiente e durante a manipulação da pessoa doente.• Não tocar ou manusear a máscara durante o uso.• Trocar imediatamente a máscara, sempre que esta ficar molhada ou suja com secreções.• Descartar a máscara imediatamente após o uso e realizar a higiene das mãos com água e sabão/sabonete ou álcool gel.• Todos os resíduos (máscaras, lenços de papel, papel higiênico, entre outros) produzidos pela pessoa com sintomas respiratórios e pelo cuidador devem ser separados e colocados em saco de lixo resistente. O saco bem fechado deve ser descartado dentro do saco com o lixo doméstico. Após retirar o lixo, realizar higiene das mãos imediatamente.• Não compartilhar escovas de dente, talheres, pratos, copos, toalhas ou roupas de cama.• Talheres, pratos e copos usados no domicílio devem ser limpos com água e sabão ou detergente comum e poderão ser reutilizados.• Limpar e desinfetar as superfícies frequentemente tocadas, pela pessoa com sintomas respiratórios e pelo cuidador como mesas de cabeceira, cama e outros móveis do quarto diariamente com desinfetante doméstico comum.• Limpar e desinfetar as superfícies do banheiro pelo menos uma vez ao dia com desinfetante doméstico comum. Se não houver banheiro para uso individual da pessoa com sintomas respiratórios é necessário realizar a limpeza do banheiro a cada uso (vaso sanitário, pia, torneira e maçanetas).• Roupas e toalha de mão usadas pela pessoa com sintomas respiratórios e pelo cuidador devem ser trocadas diariamente. Roupas de cama e toalhas de banho devem ser trocadas frequentemente. Não sacudir a roupa usada e lavar com água e sabão comum."
O que é um comunicante de caso suspeito/confirmado de Coronavirus?,"Comunicantes são pessoas que tiveram contato próximo com o caso suspeito ou confirmado de Coronavirus. Contato próximo é definido como: estar a aproximadamente dois metros de um paciente com suspeita de caso por novo coronavírus, dentro da mesma sala ou área de atendimento, por um período muito longo. O contato próximo pode incluir cuidar, morar, visitar ou compartilhar uma área ou contato direto com fluidos corporais."
- O que é o teste rápido de COVID-19?,"É um exame capaz de detectar a presença de anticorpos (IgM e IgG), que são produzidos pelas células de defesa do corpo humano contra o coronavírus SARS-COV-2. É realizado por meio da coleta de uma gota de sangue. Os kits e insumos utilizados devem possuir registro junto à ANVISA.“De acordo com a Anvisa, os testes rápidos são de fácil execução e não necessitam de outros equipamentos de apoio (como os que são usados em laboratórios), e conseguem dar resultados entre 10 e 30 minutos. Os testes rápidos para anticorpos se diferenciam entre si quanto às limitações do produto, ao limite de detecção, ao desempenho esperado e ao tempo de leitura. Portanto, vale lembrar que a execução e a interpretação dos resultados devem ser feitas por profissional de saúde legalmente habilitado e capacitado, seguindo as instruções de uso de cada produto”"
