Perguntas,Respostas
O QUE É CORONAVÍRUS?,"Coronavírus (CID10) é uma família de vírus que causam infecções respiratórias. O novo agente do coronavírus foi descoberto em dezembro de 2019 após casos registrados em Wuhan, na China. O novo coronavírus provoca a doença chamada de COVID-19."
QUAIS SÃO OS SINTOMAS?,"Os sinais e sintomas mais comuns são febre, cansaço e tosse seca. Alguns pacientes podem ter dores, falta de ar, congestão nasal, corrimento nasal, dor de garganta ou diarreia. Os sintomas costumam começar de forma leve e podem ou não agravar. Algumas pessoas infectadas não chegam a apresentar sinais ou sintomas. A maior parte das pessoas (cerca de 80%) se recupera da doença sem precisar de tratamento especial. Uma em cada seis pessoas infectadas pela COVID-19 ﬁca gravemente doente e desenvolve diﬁculdade em respirar. Com base nos dados atuais, 81% dos casos parecem ter doença progredir para doença grave e 5% são críticos.leve, 14% parecem "
"SE EU APRESENTAR ESSES SINAIS E SINTOMAS, DEVO PROCURAR ATENDIMENTO MÉDICO?","Se eles forem leves, como coriza e mal estar momentâneo, você deve ﬁcar em casa. Se o quadro evoluir para febre e tosse, o indicado é procurar um posto de saúde. No entanto, se você tiver falta de ar, com ou sem febre, procure um hospital."
QUEM TEM MAIS RISCO DE TER COMPLICAÇÕES EM DECORRÊNCIA DA COVID-19?,"Idosos com mais de 60 anos e pessoas com doenças preexistentes como, por exemplo, pressão alta, doenças cardíacas, doenças pulmonares, câncer ou diabetes. "
COMO A COVID-19 É TRANSMITIDA?,"De pessoa para pessoa. O vírus é transmitido por meio de gotículas do nariz ou da boca que se espalham quando uma pessoa com a doença tosse ou espirra. A maioria dessas gotículas cai em superfícies e objetos próximos – como mesas ou telefones. A pessoa doente também pode contaminar outros objetos como maçanetas, por exemplo. A pessoa saudável toca nesses objeto e ao tocar nos olhos, boca ou nariz acaba infectada. As pessoas também podem pegar COVID-19 se ﬁcarem muito perto de uma pessoa doente, pois as gotículas podem atingir a pessoa saudável, por isso é recomendada a distância de 1,5 m."
O CORONAVÍRUS PODE SER TRANSMITIDO PELO AR?,Estudos até o momento sugerem que o vírus que causa a COVID-19 é principalmente pelo contato com gotículas respiratórias – e não pelo ar.transmitido 
EXISTE VACINA OU REMÉDIO PARA A COVID-19?,"Até o momento, não há vacina ou medicamento antiviral especíﬁco para prevenir ou tratar a COVID-2019. As pessoas infectadas devem receber cuidados de saúde para aliviar os sintomas. Pessoas com doenças graves devem ser hospitalizadas. A maioria dos pacientes se recupera graças aos cuidados de suporte.Atualmente, estão sendo investigadas possíveis vacinas e alguns tratamentos medicamentosos especíﬁcos, com testes através de ensaios clínicos. A OMS está coordenando esforços para desenvolver vacinas e medicamentos para prevenir e tratar a COVID-19."
QUAIS AS MEDIDAS DE PREVENÇÃO PARA EVITAR A COVID-19?,"As maneiras mais eﬁcazes de proteger a si e aos outros contra a COVID-19 são lavar frequentemente as mãos com água e sabão e/ou utilizar álcool em gel, limpar superfícies com álcool líquido, cobrir a boca e o nariz ao tossir e ao espirrar com a parte interior do cotovelo ou lenço descartável e manter uma distância de, pelo menos, 1,5 m das pessoas que estão tossindo ou espirrando."
É POSSÍVEL PEGAR COVID-19 DE UMA PESSOA QUE NÃO APRESENTA SINTOMAS?,"A principal maneira pela qual a doença se espalha é através de gotículas respiratórias expelidas por alguém que está tossindo. O risco de contrair COVID-19 de alguém sem sintomas é muito baixo. No entanto, muitas pessoas com COVID-19 têm apenas sintomas leves – particularmente nos estágios iniciais da doença. Portanto, é possível pegar COVID-19 de alguém que tenha, por exemplo, apenas uma tosse leve e não se sinta mal."
QUEM DEVE USAR MÁSCARA?,"Pacientes com sintomas de infecção respiratória (febre, tosse, espirros e com diﬁculdade para respirar). As pessoas que usarem máscaras devem seguir as boas práticas de uso, remoção e descarte, assim como higienizar adequadamente as mãos antes e após a remoção. Devem também lembrar que o uso de máscaras deve ser sempre combinado com as outras medidas de proteção. Proﬁssionais de saúde e proﬁssionais de apoio que forem prestar assistência a menos de um metro do paciente suspeito ou conﬁrmado. As máscaras devem ser utilizadas para evitar a contaminação da boca e nariz do proﬁssional de saúde por gotículas respiratórias, quando o mesmo atuar a uma distância inferior a um metro do paciente suspeito ou conﬁrmado de infecção pelo novo coronavírus.Pessoas sem sintomas não devem usar máscara."
