Perguntas,Respostas
Como conversar sobre a covid-19 com uma criança?,"Falar com crianças sobre determinados assuntos envolve agir com delicadeza e clareza no momento da conversa. Não é fácil falar sobre doenças como a covid-19, por isso, aqui vão algumas dicas:ao conversar sobre a covid-19, mantenha a calma. É importante lembrar que crianças irão reagir a sua forma de falar e suas expressões. Elas também prestarão atenção em suas conversas, por isso é importante ter cautela;algumas crianças podem ficar tensas com esta situação, por isto lembre-se de acalmá-las durante a conversa. Elas devem saber que podem falar sobre seus anseios. Ajude-as a lidar com o estresse;ressalte que a criança poderá conversar com você sobre o tema a qualquer momento. Demonstrar para a criança que você está disponível é fundamental."
Como explicar para uma criança o que é a covid-19?,Para responder essa pergunta a uma criança é importante usar uma linguagem simples e sempre ressaltar que as equipes de saúde estão trabalhando para manter as pessoas saudáveis e seguras.Pode-se dizer que covid-19 é uma abreviação para “doença do novo coronavírus” e possui o número 19 pois apareceu no ano de 2019. Essa é uma nova doença e médicos e cientistas ainda estão aprendendo mais sobre ela e sobre o vírus que a causa. Tudo isso para ajudar aqueles que estão adoecendo e para evitar que mais pessoas adoeçam.
Como manejar o estresse na criança ao falar sobre a covid-19?,"Ao falar sobre o novo coronavírus com crianças, é importante deixar a criança expor suas dúvidas, anseios e até o que ela já sabe sobre a doença. Assim, você podeevitar o estresse e a ansiedade durante este tipo de conversa.As crianças podem reagir de formas diferentes quando estão ansiosas. Abaixo estão algumas dicas sobre como agir:evite culpar alguém pela atual situação, evitando estigmas e situações de tensão;preste atenção nas informações que a criança consome na televisão, internet e em outros meios. O excesso de informação sobre a covid-19 pode gerar ansiedade;providencie informações verdadeiras e apropriadas para a faixa etária de cada criança;ensine a criança sobre métodos de higiene e de prevenção da doença no dia-a-dia. Isto pode ajudar e fazer com que a criança se sinta parte do processo, fazendo com que ela fique mais tranquila;peça para a criança contar histórias ou fazer desenhos sobre como ela se sente."
Como explicar para uma criança sobre a forma de contágio?,"Converse com a criança explicando que a covid-19 se espalha como um resfriado comum. Se uma pessoa contaminada tosse ou espirra, ela pode espalhar o vírus no ar. Além disso, o vírus pode chegar a longas distâncias, por isso é importante manter uma distância de pelo menos 2 metros de outras pessoas. Lembrando que também é possível contrair a doença ao encostar em uma superfície contaminada, por isso é importante praticar uma boa higienização."
Como falar com uma criança sobre os sintomas da covid-19?,"Para explicar de forma clara para uma criança sobre os sintomas da covid-19, diga que ela pode sentir algo parecido com um resfriado ou uma gripe. Pode haver tosse, febre, congestão nasal, dor de cabeça, diarréia, perda de olfato/paladar, náusea ou vômito.É importante lembrar que algumas pessoas podem ser assintomáticas e a maioria das pessoas apresenta a forma leve destes sintomas. Instrua a criança a sempre comunicar um adulto caso sinta algo diferente."
Como responder para uma criança o que o novo coronavírus pode causar?,"Você pode dizer para a criança que os sintomas causados pelo novo coronavírus são muito variados, mas alguns dos mais comuns são febre, tosse, dor de garganta e nariz escorrendo, assim como uma gripe. A maioria das pessoas que adoece tem apenas sintomas mais leves como esses e apenas uma parte delas passa a apresentar dificuldades para respirar, podendo ser necessária ajuda no hospital."
Como conversar com uma criança que está com medo de ser contaminada?,"Ao conversar com uma criança que está com medo de ser afetada pelo novo coronavírus, é importante lembrá-la de que, caso ela se sinta mal, não será necessariamente por causa da covid-19, mas ela deve sempre informar ao seu responsável. Se ela realmente estiver infectada, é importante reafirmar que ela será cuidada pelos adultos. É essencial demonstrar apoio e tentar manter a calma."
Como falar sobre formas de prevenção com uma criança?,"Para falar com uma criança sobre como se prevenir contra a covid-19, deve-se demonstrar de forma prática alguns hábitos que a ajudarão a evitar a contaminação. Algumas dicas:mostre para a criança como lavar as mãos corretamente com água e sabão por pelo menos 20 segundos;mostre para a criança como fazer uso do álcool em gel. Sempre supervisionando este tipo de ação de acordo com a faixa etária da criança;instrua a criança a não tocar o rosto se não estiver com as mãos devidamente higienizadas;converse com a criança sobre a importância do distanciamento social e do uso de máscaras (lembrando que crianças abaixo de 2 anos de idade não fazem uso da máscara);demonstre para a criança como manter a ""etiqueta respiratória"" ao espirrar ou tossir: caso não esteja de máscara, é importante cobrir boca e nariz com um lenço de papel (que deverá ser descartado após o uso) ou com a parte interna do braço. Fazer higienização das mãos e dos braços logo após."
Como explicar para uma criança o motivo dela não poder visitar parentes e amigos?,"Durante o período de quarentena, as crianças não estão seguindo a rotina que estavam acostumadas e podem acabar perguntando sobre isso. Uma forma de explicar o motivo dessa mudança é conversando sobre a importância de manter o distanciamento social para evitar adoecer ou contaminar alguém.É importante explicar para a criança que algumas pessoas podem até parecer saudáveis, mas mesmo assim podem transmitir o vírus. Por isso é importante evitar aglomerações e ficar em casa se possível. Quando isso passar poderão rever parentes e amigos."
Como explicar para uma criança sobre o uso de máscaras?,"Explique para a criança que o uso da máscara auxilia na redução da transmissão do vírus já que, ao cobrir nariz e boca, há diminuição na liberação de gotículas no ambiente. Porém, é fundamental que se ensine sobre a forma correta de utilização, sempre reforçando a importância de evitar tocar no rosto e na máscara.Lembrando que crianças abaixo de 2 anos de idade nãodevem utilizar máscara e que o distanciamento social é importante mesmo que se utilize a proteção."
