Perguntas,Respostas
O que é o coronavírus?,"Os coronavírus são uma grande família viral, conhecidos desde meados de 1960, que causam infecções respiratórias em seres humanos e em animais.
Geralmente, infecções por coronavírus causam doenças respiratórias leves a moderadas, semelhantes a um resfriado comum. Porém, alguns coronavírus podem causar doenças graves com impacto em termos de saúde pública, como já verificado com a Síndrome Respiratória Aguda Grave (SARS), identificada em 2002, e a Síndrome Respiratória do Oriente Médio (MERS), identificada em 2012.
"
Qual é a diferença entre o novo coronavírus para os outros vírus?,"O nome deste novo coronavírus é SARS-CoV-2. A doença provocada pelo novo coronavírus chama-se COVID-19, sigla em inglês para “coronavirus disease 2019” (doença por coronavírus 2019, em tradução livre).
Os primeiros casos foram registrados inicialmente na China, no final de 2019. Atualmente há registros em outros locais do mundo, com casos de mortes.
"
Existe vacina para prevenção ao coronavírus?,"Até o momento, não. No entanto, cientistas ao redor do mundo e no Estado de São Paulo, como as equipes do Instituto Butantan, já iniciaram pesquisas para desenvolvimento de vacina. Ainda é precoce indicar se e quando ela estará disponível.
"
Quais os sintomas do coronavírus?,"Os sinais e sintomas clínicos são principalmente respiratórios, semelhantes aos de um resfriado comum. Podem também causar infecção do trato respiratório inferior, como as pneumonias.
Os principais sintomas são:
– Febre
– Tosse;
– Coriza;
– Dificuldade para respirar.
"
Qual(is) remédio(s) a pessoa com COVID-19 deve tomar?,"Não existe remédio específico. O tratamento é baseado no quadro clínico da pessoa. É indicado repouso e consumo de bastante água, além de algumas medidas adotadas para aliviar os sintomas, conforme cada caso, como, por exemplo, uso de medicamento para dor e febre (antitérmicos e analgésicos), uso de umidificador no quarto ou tomar banho quente para auxiliar no alívio da dor de garganta e tosse.
"
O que é o “período de incubação”?,"Período de incubação consiste no intervalo entre a data de contato com o vírus até o início dos sintomas. No caso do COVID-19, já se sabe que o vírus pode ficar incubado por até duas semanas (14 dias), quando os sintomas aparecem desde a infecção.
"
Como ocorre a transmissão do coronavírus?,"As investigações sobre transmissão do novo coronavírus ainda estão em andamento. Neste momento está estabelecida transmissão por contato com secreções. A transmissão pode ocorrer de forma continuada, ou seja, um infectado pelo vírus pode passá-lo para alguém que ainda não foi infectado.
A transmissão costuma ocorrer pelo ar ou por contato pessoal com secreções contaminadas, como:
– Gotículas de saliva;
– Espirro;
– Tosse;
– Catarro;
– Contato pessoal próximo, como toque ou aperto de mão com pessoa infectada;
– Contato com objetos ou superfícies contaminadas, seguido de contato com a boca, nariz ou olhos.
Alguns vírus são altamente contagiosos, como o sarampo, que é transmitido por aerossol (partículas no ar), com proporção de transmissão de uma para até 18 pessoas, em média. O conhecimento já registrado sobre os coronavírus indica que eles apresentam transmissão de uma para até três pessoas.
"
O coronavírus pode matar?,"O óbito pode ocorrer em virtude de complicações da infecção, como por exemplo, insuficiências respiratórias.
"
Como se prevenir contra a COVID-19?,"As principais orientações são:
– Cobrir boca e nariz ao tossir ou espirrar;
– Utilizar lenço descartável para higiene nasal;
– Evitar tocar mucosas de olhos, nariz e boca;
– Não compartilhar objetos de uso pessoal;
– Limpar regularmente o ambiente e mantê-lo ventilado;
– Lavar as mãos por pelo menos 20 segundos com água e sabão ou usar antisséptico de mãos à base de álcool;
– Deslocamentos/viagens não devem ser realizados enquanto a pessoa estiver doente;
"
Como é a prevenção contra o coronavírus para os profissionais de saúde?,"Profissionais de saúde devem utilizar medidas de proteção padrão para contato e gotículas (máscara cirúrgica, luvas, avental não estéril e óculos de proteção).
Para a realização de procedimentos que gerem aerossolização de secreções respiratórias como intubação, aspiração de vias aéreas ou indução de escarro, deverá ser utilizada máscara de precaução por aerossóis tipo N95.
"
