posicao,link
1,https://portal.fiocruz.br/coronavirus/perguntas-e-respostas
2,https://covid19.min-saude.pt/perguntas-frequentes/
3,https://coronavirus.saude.gov.br/index.php/perguntas-e-respostas
4,http://postalsaude.com.br/beneficiario/noticias/perguntas-e-respostas-sobre-o-covid-19
5,https://www.saude.ma.gov.br/perguntas-e-respostas-sobre-coronavirus-covid-19/
6,http://www.saude.ba.gov.br/temasdesaude/coronavirus/coronavirussesabresponde/
7,http://www.saude.sp.gov.br/ses/perfil/cidadao/homepage/destaques/perguntas-e-respostas-tire-suas-duvidas-sobre-o-novo-coronavirus
8,http://portal.anvisa.gov.br/web/guest/noticias/-/asset_publisher/FXrpx9qY7FbU/content/testes-para-covid-19-perguntas-e-respostas/219201
9,http://www.coronavirus.pr.gov.br/Campanha/FAQ/Perguntas-e-Respostas
10,https://prefeitura.rio/saude/novo-coronavirus-perguntas-e-respostas/
11,https://www.unasus.gov.br/noticia/oms-perguntas-e-respostas-sobre-covid-19-gravidez-parto-e-amamentacao
12,https://www.coren-df.gov.br/site/wp-content/uploads/2020/06/ManualCovid192.pdf
13,https://coronavirus.rj.gov.br/perguntas-respostas-mitos-e-verdades/
14,http://breves.pa.gov.br/perguntas-e-respostas-sobre-o-covid-19/
15,http://coronavirus.saude.mg.gov.br/blog/95-conversar-sobre-covid-19-com-criancas
16,https://coronavirus.ceara.gov.br/project/testes-para-covid-19-perguntas-e-respostas/
17,https://saojosedobelmonte.pe.gov.br/perguntas-e-respostas-tire-suas-duvidas-sobre-o-novo-coronavirus/
18,http://rj.corens.portalcofen.gov.br/covid-19-guia-de-perguntas-e-respostas-frequentes_18302.html
19,https://www.coren-df.gov.br/site/wp-content/uploads/2020/06/ManualCovid192.pdf
20,https://www.prefeitura.sp.gov.br/cidade/secretarias/saude/vigilancia_em_saude/doencas_e_agravos/coronavirus/index.php?p=295099
21,https://covid19.manaus.am.gov.br/duvidas-frequentes/
22,https://www.saopaulo.sp.gov.br/spnoticias/perguntas-e-respostas-tire-suas-duvidas-sobre-coronavirus/
23,http://coronavirus.saude.mg.gov.br/perguntaserespostas
24,https://www.marinha.mil.br/saudenaval/novo-coronavirus3
25,www.dive.sc.gov.br/conteudos/agravos/publicacoes/Perguntas%20e%20respostas%20coronavirus.pdf
26,https://www.inca.gov.br/perguntas-frequentes/cancer-e-coronavirus-covid-19
27,https://covid19.ins.gov.mz/f-a-q/
