Perguntas,Respostas
O que são testes para Covid-19? Que tipo de amostra é usada nos testes,"Os testes para Covid-19 são produtos para diagnóstico de uso in vitro, nos termos da RDC 36/15, e podem identificar: a) anticorpos, ou seja, uma resposta do organismo quando este teve contato com o vírus, recentemente (IgM) ou previamente (IgG); ou b) material genético (RNA) ou “partes” (antígenos) do vírus (RT-PCR). Existem os testes que usam sangue, soro ou plasma e os outros que precisam de amostras de secreções coletadas das vias respiratórias, como nasofaringe (nariz) e orofaringe (garganta)"
O que são testes rápidos (IgM/IgG)? ,"Esse termo vem sendo usado popularmente para os testes imunocromatográficos. No caso dos testes rápidos para o novo coronavírus, são dispositivos de uso profissional, manuais, de fácil execução, que não necessitam de outros equipamentos de apoio, como os que são usados em laboratórios, e que conseguem dar resu ltados entre 10 e 30 minutos.    Testes rápidos (IgM/IgG) podem auxiliar o mapeamento da população “imunizada” (que já teve o vírus ou foi exposta a ele), mas NÃO têm função de diagnóstico."
O que são testes RT- PCR,"RT-PCR (Reverse Transcription - Polymerase Chain Reaction) é um teste de Reação em Cadeia da Polimerase com Transcrição Reversa em tempo real que verifica a presença de material genético do vírus, confirmando que a pessoa se encontra com Cov id-19. Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o teste definitivo segundo a Organização Mundial da Saúde (OMS)1."
Os testes rápidos são de uso profissional? ,"Sim. Os testes rápidos registrados para a Covid-19 são de uso profissional e os seus resultados devem ser interpretados por um profissional de saúde legalmente habilitado e devidamente capacitado, conforme definido pelos conselhos profissionais da área da saúde e por políticas do Ministério da Saúde.  Esses testes NÃO devem ser feitos por leigos. Os testes em domicílio podem ser realizados, desde que executados por profissional legalmente habilitado vinculado a um laboratório clínico, posto de coleta ou serviço de saúde pública ambulatorial ou hospitalar."
A partir de quantos dias após o início dos sintomas é recomendado fazer um teste rápido,"Como a produção de anticorpos aumenta a cada dia a partir do início da infecção pelo vírus, é preciso que haja uma quantidade mínima de anticorpos que o teste consiga detectar. Este período entre o início dos sintomas e a detecção dos anticorpos em exames é chamado de janela imunológica. Sendo assim, a imunocromatografia para anticorpos (IgM e IgG) é indicada para exames a partir de pelo menos oito dias após o início dos sintomas.  A utilização de testes rápidos antes desse período pode levar a resultados negativos mesmo nas pessoas que possuem o vírus e produziram anticorpos, sendo, portanto, um resultado “falso negativo”."
Quando devo fazer os testes rápidos (IgM/IgG)?,"Recomenda-se que tais testes sejam realizados em indivíduos que apresentem ou tenham tido os sintomas da Covid-19 há pelo menos oito dias.  Os testes RT-PCR devem ser utilizados quando houver sintomatologia compatível ou houver necessidade de confirmação da infecção. Os testes rápidos (IgM/IgG) têm relevante utilização no mapeamento do status imunológico de uma população (que já teve o vírus ou foi exposta a ele). Tal mapeamento pode contribuir de forma positiva no processo de relaxamento das medidas restritivas, ou seja, quando do controle pandêmico, o mapeamento imunológico terá significativa relevância por ocasião do retorno das atividades."
Se o resultado do teste rápido (IgM/IgG) for POSITIVO isso indica que tenho Covid-19?,"Não. Testes rápidos (IgM/IgG) NÃO têm função de diagnóstico (confirmação ou descarte) de infecção por Covid-19.  O diagnóstico de Covid-19 deve ser feito por testes de RT-PCR.  • Testes rápidos positivos indicam que você teve contato recente com o vírus (IgM) ou que você já teve Covid-19 e está se recuperando ou já se recuperou (IgG), uma vez que indicam a presença de anticorpos (defesas do organismo). No entanto, os anticorpos só aparecem em quantidades detectáveis nos testes pelo menos oito dias depois da infecção. Ainda assim, o teste pode ser positivo indicando que você teve contato com OUTROS coronavírus e não com o Sars-CoV-2 / Covid-19 (falso positivo). Assim sendo, esse teste isolado não serve para diagnosticar (confirmar ou descartar) infecção por Covid-19. O diagnóstico da infecção pelo novo coronavírus deve ser feito por testes de RT-PCR.  • Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o RT-PCR o teste definitivo, segundo a Organização Mundial da Saúde (OMS). O profissional da saúde que estiver realizando o teste irá orientá-lo sobre o significado dos testes e os devidos encaminhamentos, conforme protocolos clínicos do Ministério da Saúde 2. É importante destacar que os pacientes, mesmo quando testados positivos para Covid -19, NÃO devem procurar hospitais ou ambulatórios, devendo permanecer em suas casas em qua rentena por 14 dias (isolamento) até a remissão da infecção, exceto se estiverem com sintomas graves, tal como dificuldade de respirar."
Se o resultado do teste rápido (IgM/IgG) for NEGATIVO isso indica que não tenho Covid-19?,"Não. Testes rápidos (IgM/IgG) NÃO têm função de diagnóstico (confirmação ou descarte) de infecção por Covid-19. Diversos fatores influenciam os testes, tais como a sensibilidade/ especificidade e a condição do paciente (reposta imunológica). • Testes rápidos (IgM/IgG) negativos indicam que você não tem anticorpos contra a Covid-19. Considerando que esses anticorpos somente surgem em quantidade detectáveis alguns dias (pelo menos oito) depois da infecção, o teste somente tem alguma significância após esse período. Se sua carga imunológica (quantidade de anticorpos) for baixa, o teste pode ter um falso negativo. Assim sendo, esse teste isolado não serve para diagnosticar (confirmar ou descartar) infecção por Covid-19. O diagnóstico da doença deve ser feito por testes de RT-PCR. • Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o RT-PCR o teste definitivo, segundo a Organização Mundial da Saúde (OMS)3."
Quem fez teste rápido em laboratórios não corre um alto risco de ter recebido um resultado falso positivo ou negativo? Os testes rápidos (IgM/IgG) são confiáveis?,"Os ensaios imunocromatográficos são ensaios de simples execução que, geralmente, não requerem a utilização de equipamentos e permitem a visualização do resultado em poucos minutos (10 a 30 minutos em média, a depender de cada produto). Reforçamos que a informação apresentada nesses ensaios é quanto ao estado imunológico no momento da coleta da amostra. Há um período de janela imunológica, que é o intervalo de tempo entre a infecção e a produção de anticorpos em níveis detectáveis por um teste rápido, que precisa ser considerado e que não é inferior a oito dias após o início da infecção. Se a testagem ocorrer dentro do período de janela imunológica, o resultado do ensaio poderá ser negativo mesmo se a pessoa estiver contaminada (falso negativo). Por isso, é importante respeitar o intervalo entre os sintomas e a testagem, estar atento às informações das instruções de uso (que trazem orientações específicas sobre cada produto) e também que o teste seja executado e interpretado por profissional de saúde. Essa situação não corresponde necessariamente a uma falha no produto, mas à não observância da advertência quanto ao período adequado para a testagem.   Cabe mencionar, ainda, que cada produto possui características próprias quanto à execução, às precauções, ao limite de detecção e à interpretação dos resultados. Portanto, todas as informações dispostas nas instruções de uso devem ser seguidas e interpretadas por um profissional de saúde. Não há, até o momento, conhecimento científico sobre a duração dos anticorpos contra a Covid-19 no organismo e, portanto, não é possível assegurar proteção permanente para a infecção em pacientes com resultados de IgG positivo. As ações para redução do risco de transmissão do novo coronavírus dependem da participação de todos. Assim, independentemente dos resultados dos testes, a população deve estar atenta aos cuidados e às orientações divulgadas pelo Ministério da Saúde quanto ao uso de máscaras, o distanciamento mínimo entre as pessoas (evitar aglomerações) e o isolamento social na ocorrência de sintomas."
"Se os testes rápidos não servem para diagnóstico (confirmar ou descartar) de infecção por Covid-19, qual a sua função?","s testes rápidos (IgM/IgG) têm relevante utilização no mapeamento do status imunológico de uma população (que já teve o vírus ou foi exposta a ele). Tal mapeamento pode contribuir de forma positiva no processo de relaxamento das medidas restritivas, ou seja, quando do controle pandêmico, o mapeamento imunológico terá significativa relevância por ocasião do retorno das atividades."
