Perguntas,Respostas
O que é o novo coronavírus?,"Os coronavírus são uma grande família de vírus comuns em muitas espécies diferentes de animais, incluindo camelos, gado, gatos e morcegos. Raramente, os coronavírus que infectam animais podem infectar pessoas, como exemplo do MERS-CoV e SARS-CoV. Recentemente, em dezembro de 2019, houve a transmissão de um novo coronavírus (SARS-CoV-2), o qual foi identificado em Wuhan na China e causou a COVID-19, sendo em seguida disseminada e transmitida pessoa a pessoa.A COVID-19 é uma doença causada pelo coronavírus, denominado SARS-CoV-2, que apresenta um espectro clínico variando de infecções assintomáticas a quadros graves. De acordo com a Organização Mundial de Saúde, a maioria (cerca de 80%) dos pacientes com COVID-19 podem ser assintomáticos ou oligossintomáticos (poucos sintomas), e aproximadamente 20% dos casos detectados requer atendimento hospitalar por apresentarem dificuldade respiratória, dos quais aproximadamente 5% podem necessitar de suporte ventilatório."
Como prevenir o novo coronavírus?,"As recomendações de prevenção à COVID-19 são as seguintes:Lave com frequência as mãos até a altura dos punhos, com água e sabão, ou então higienize com álcool em gel 70%. Essa frequência deve ser ampliada quando estiver em algum ambiente público (ambientes de trabalho, prédios e instalações comerciais, etc), quando utilizar estrutura de transporte público ou tocar superfícies e objetos de uso compartilhado.Ao tossir ou espirrar, cubra nariz e boca com lenço ou com a parte interna do cotovelo.Não tocar olhos, nariz, boca ou a máscara de proteção fácil com as mãos não higienizadas.Se tocar olhos, nariz, boca ou a máscara, higienize sempre as mãos como já indicado.Mantenha distância mínima de 1 (um) metro entre pessoas em lugares públicos e de convívio social. Evite abraços, beijos e apertos de mãos. Adote um comportamento amigável sem contato físico, mas sempre com um sorriso no rosto.Higienize com frequência o celular, brinquedos das crianças e outro objetos que são utilizados com frequência.Não compartilhe objetos de uso pessoal como talheres, toalhas, pratos e copos.Mantenha os ambientes limpos e bem ventilados.Evite circulação desnecessária nas ruas, estádios, teatros, shoppings, shows, cinemas e igrejas.Se estiver doente, evite contato próximo com outras pessoas, principalmente idosos e doentes crônicos, busque orientação pelos canais on-line disponibilizados pelo SUS ou atendimento nos serviços de saúde e siga as recomendações do profissional de saúde.Durma bem e tenha uma alimentação saudável.Recomenda-se a utilização de máscaras em todos os ambientes. As máscaras de tecido (caseiras/artesanais), não são Equipamentos de Proteção Individual (EPI), mas podem funcionar como uma barreira física, em especial contra a saída de gotículas potencialmente contaminadas.Lave com frequência as mãos até a altura dos punhos, com água e sabão, ou então higienize com álcool em gel 70%. Essa frequência deve ser ampliada quando estiver em algum ambiente público (ambientes de trabalho, prédios e instalações comerciais, etc), quando utilizar estrutura de transporte público ou tocar superfícies e objetos de uso compartilhado.Ao tossir ou espirrar, cubra nariz e boca com lenço ou com a parte interna do cotovelo.Não tocar olhos, nariz, boca ou a máscara de proteção fácil com as mãos não higienizadas.Se tocar olhos, nariz, boca ou a máscara, higienize sempre as mãos como já indicado.Mantenha distância mínima de 1 (um) metro entre pessoas em lugares públicos e de convívio social. Evite abraços, beijos e apertos de mãos. Adote um comportamento amigável sem contato físico, mas sempre com um sorriso no rosto.Higienize com frequência o celular, brinquedos das crianças e outro objetos que são utilizados com frequência.Não compartilhe objetos de uso pessoal como talheres, toalhas, pratos e copos.Mantenha os ambientes limpos e bem ventilados.Evite circulação desnecessária nas ruas, estádios, teatros, shoppings, shows, cinemas e igrejas.Se estiver doente, evite contato próximo com outras pessoas, principalmente idosos e doentes crônicos, busque orientação pelos canais on-line disponibilizados pelo SUS ou atendimento nos serviços de saúde e siga as recomendações do profissional de saúde.Durma bem e tenha uma alimentação saudável.Recomenda-se a utilização de máscaras em todos os ambientes. As máscaras de tecido (caseiras/artesanais), não são Equipamentos de Proteção Individual (EPI), mas podem funcionar como uma barreira física, em especial contra a saída de gotículas potencialmente contaminadas.Estimule familiares, amigos e colegas de trabalho sobre a importância do uso de máscara e da higienização das mãos na prevenção da disseminação do vírus causador da doença COVID-19.Dicas para viajantes:Caso você precise viajar, avalie a real necessidade. Se for inevitável viajar, previna-se e siga as orientações das autoridades de saúde locais.Ao voltar de viagens internacionais ou locais recomenda-se:Reforçar os hábitos de higiene e proteção como a utilização de máscara, higienização das mãos com água e sabão ou com álcool em gel 70 %.Caso apresente sintomas de gripe, busque atendimento nos serviços de saúde, e evite contato com outras pessoasReforçar os hábitos de higiene e proteção como a utilização de máscara, higienização das mãos com água e sabão ou com álcool em gel 70 %.Caso apresente sintomas de gripe, busque atendimento nos serviços de saúde, e evite contato com outras pessoas"
Como o coronavírus é transmitido?,"A transmissão acontece de uma pessoa doente para outra ou por contato próximo por meio de:Toque do aperto de mão contaminadas;Gotículas de saliva;Espirro;Tosse;Catarro;Objetos ou superfícies contaminadas, como celulares, mesas, talheres, maçanetas, brinquedos, teclados de computador etc.Toque do aperto de mão contaminadas;Gotículas de saliva;Espirro;Tosse;Catarro;Objetos ou superfícies contaminadas, como celulares, mesas, talheres, maçanetas, brinquedos, teclados de computador etc."
Quais são os sintomas do novo coronavírus?,"Os sintomas da COVID-19 podem variar de um resfriado, a uma Síndrome Gripal-SG (presença de umquadro respiratório agudo, caracterizado por, pelo menos dois dos seguintes sintomas: sensação febril ou febre associada a dor de garganta, dor de cabeça, tosse, coriza) até uma pneumonia severa. Sendo os sintomas mais comuns:TosseFebreCorizaDor de gargantaDificuldade para respirarPerda de olfato (anosmia)Alteração do paladar (ageusia)Distúrbios gastrintestinais (náuseas/vômitos/diarreia)Cansaço (astenia)Diminuição do apetite (hiporexia)Dispnéia ( falta de ar)TosseFebreCorizaDor de gargantaDificuldade para respirarPerda de olfato (anosmia)Alteração do paladar (ageusia)Distúrbios gastrintestinais (náuseas/vômitos/diarreia)Cansaço (astenia)Diminuição do apetite (hiporexia)Dispnéia ( falta de ar)"
O que fazer em caso de surgimento de sintomas?,"Se estiver doente, com sintomas compatíveis com a COVID-19, tais como febre, tosse, dor de garganta e/ou coriza, com ou sem falta de ar, evite contato físico com outras pessoas, incluindo os familiares, principalmente, idosos e doentes crônicos,Procure imediatamente os postos de triagem nas Unidades Básicas de Saúde / UPAS ou outras unidades de saúde.Após encaminhamento consulte-se com o médico. Uma vez diagnosticado pelo médico, receba as orientações e prescrição dos medicamentos que você deverá usar. O médico poderá solicitar exames complementares. Inicie o tratamento prescrito imediatamente. Mantenha seu médico sempre informado da evolução dos sintomas durante o tratamento e siga suas recomendações.Utilize máscara o tempo todo.Se for preciso cozinhar, use máscara de proteção, cobrindo boca e nariz todo o tempo.Depois de usar o banheiro, nunca deixe de lavar as mãos com água e sabão e sempre limpe vaso mantendo a tampa fechada, pia e demais superfícies com álcool, água sanitária ou outro produto recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa - para desinfecção do ambiente.Separe toalhas de banho, garfos, facas, colheres, copos e outros objetos apenas para seu uso.O lixo produzido precisa ser separado e descartado.Evite compartilhar sofás e cadeiras e realize limpeza e desinfecção frequente com água sanitária ou álcool 70% ou outro produto recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa.Mantenha a janela aberta para circulação de ar do ambiente usado para isolamento e a porta fechada, limpe a maçaneta frequentemente com álcool 70%, água sanitária, ou outro produto recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa.Caso o paciente não more sozinho, recomenda-se que os demais moradores da residência durmam em outro cômodo, seguindo também as seguintes recomendações:Mantenha a distância mínima de 1 metro entre a pessoa infectada e os demais moradores.Limpe os móveis da casa frequentemente com água sanitária, álcool 70% ou outro produto recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa.Se uma pessoa da casa tiver diagnóstico positivo, todos os moradores devem ficar em distanciamento conforme orientação médica.Mantenha a distância mínima de 1 metro entre a pessoa infectada e os demais moradores.Limpe os móveis da casa frequentemente com água sanitária, álcool 70% ou outro produto recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa.Se uma pessoa da casa tiver diagnóstico positivo, todos os moradores devem ficar em distanciamento conforme orientação médica."
Por quanto tempo a doença pode ficar incubada?,A doença pode ficar incubada até duas semanas após o contato com o vírus. O período médio de incubação é de 14 dias.
Quais são os testes disponíveis para detecção do coronavírus?,"São dois, os testes rápidos e o PCR:Testes rápidosIdentificam os anticorpos (imunoglobinas) produzidos pelo corpo para combater o vírus, em amostras de sangue do paciente. Têm como vantagem a possibilidade de serem utilizados em massa - porque não exigem laboratório; além de ficarem pronto na hora. A desvantagem, porém, é que o teste rápido não identifica o vírus, mas os anticorpos (imunoglobinas) produzidos pelo corpo para combatê-los. Uma vez que esses anticorpos demoram de 7 a 8 dias para serem produzidos pelo organismo, esse tipo de teste não é eficiente para detectar pessoas recentemente infectadas.Têm sido manejados em profissionais de saúde, segurança, e pessoas em instituições de longa permanência.PCRTambém chamado de teste molecular, detecta fragmentos do próprio vírus em amostras da mucosa do trato respiratório. Tem com vantagem confirmar casos em doentes sintomáticos, tornando possível aplicar a conduta médica apropriada: internação, isolamento social ou outros, de acordo com cada caso. Sua desvantagem, porém, é o fato de ser mais caro e exigir infraestrutura laboratorial e corpo técnico capacitado. Assim, se torna inviável em áreas remotas do país, de difícil acesso e sem laboratórios para análise.Têm sido manejados nas seguintes situações:Amostras de Síndrome Gripal (SG) e Síndrome Respiratória Aguda Grave (SRAG);Profissionais de saúde sintomáticos (nesse caso, os testes rápidos são priorizados);Óbitos suspeitos;Casos de surtos de Síndrome Gripal em locais fechados (asilos, unidades do sistema prisional, hospitais, etc).Amostras de Síndrome Gripal (SG) e Síndrome Respiratória Aguda Grave (SRAG);Profissionais de saúde sintomáticos (nesse caso, os testes rápidos são priorizados);Óbitos suspeitos;Casos de surtos de Síndrome Gripal em locais fechados (asilos, unidades do sistema prisional, hospitais, etc).SG: pessoa com quadro respiratório agudo, caracterizado por febre, tosse, dor de garganta, coriza ou dificuldade respiratória; podendo ou não estar presente um ou mais desses sintomas.SRAG: pessoa com dificuldade para respirar ou pressão persistente no tórax, ou coloração azulada dos lábios ou rosto."
Como é o tratamento?,"Não existe tratamento específico para infecções causadas por coronavírus humano. No caso do coronavírus é indicado repouso e consumo de bastante água, além de algumas medidas adotadas para aliviar os sintomas, como uso de medicamento para dor e febre (antitérmicos e analgésicos). Assim que os primeiros sintomas surgirem, é fundamental buscar isolamento doméstico. Apenas em caso de piora dos sintomas, como persistência da febre e dificuldade de respirar, deve-se buscar atendimento na unidade básica de saúde mais próxima."
O corpo cria imunidade contra o vírus ou é possível ser contaminado mais de uma vez?,Não existe comprovação científica suficiente para afirmar se confere imunidade. Em alguns locais foram relatados re-infecções.
Qual a diferença entre gripe e o novo coronavírus?,"No início da doença, não existe diferença quanto aos sinais e sintomas de uma infecção pelo novo coronavírus em comparação com os demais vírus. Por isso, é importante ficar atento às áreas de transmissão local e comunitária."
