Classificação (FioCruz),Sentença,Resposta
O que é ?,O que é o novo coronavírus?,"Os coronavírus causam infecções respiratórias em seres humanos e em animais. Geralmente, são doenças respiratórias leves a moderadas, semelhantes a um resfriado comum. Já o novo coronavírus é uma nova cepa do vírus (2019-nCoV) que foi notificada em humanos pela primeira vez na cidade de Wuhan, na província de Hubei, na China."
O que é ?,Por que a doença causada pelo novo vírus recebeu o nome de Covid-19?,"Desde o início de fevereiro, a Organização Mundial da Saúde (OMS) passou a chamar oficialmente a doença causada pelo novo coronavírus de Covid-19. COVID significa COrona VIrus Disease (Doença do Coronavírus), enquanto “19” se refere a 2019, quando os primeiros casos em Wuhan, na China, foram divulgados publicamente pelo governo chinês no final de dezembro. A denominação é importante para evitar casos de xenofobia e preconceito, além de confusões com outras doenças."
Boatos,A Organização Mundial de Saúde (OMS) disse que notas de dinheiro carregam Covid-19?,"Não. A Organização Mundial da Saúde não disse que notas de dinheiro transmitem Covid-19, nem emitiu avisos ou declarações sobre isso. A OMS recomenda que as pessoas lavem as mãos regularmente com água e sabão ou higienizador à base de álcool, para matar vírus que possam estar nas mãos."
Boatos,Diante da falta de álcool gel podemos colocar gel de cabelo no álcool 70 líquido como alternativa?,"Preparações caseiras não possuem a certificação do InMetro, que garante a concentração correta do álcool no produto e a eficácia do mesmo. Adicionalmente, a manipulação de produtos inflamáveis em ambientes não seguros pode resultar em acidentes."
Boatos,"Chá de abacate com hortelã, mel, uísque ou outras substâncias previnem a infecção pelo coronavírus? ","Até o momento, não há nenhum medicamento, substância, vitamina, alimento específico ou vacina que possa prevenir a infecção pelo novo coronavírus."
Transmissão/Infecção,A pessoa pode transmitir o coronavírus mesmo sem apresentar sintoma?,"Sim. Pelos dados apresentados até momento, o período de incubação do vírus pode variar de dois a 14 dias. Durante esse tempo, o vírus tem capacidade de transmissão. Por isso, é importante adotar medidas gerais, como lavar as mãos com frequência e não compartilhar objetos de uso pessoal. A transmissibilidade dos pacientes infectados por SARSCoV é em média de sete dias após o início dos sintomas. No entanto, dados preliminares do coronavírus (SARS-CoV-2) sugerem que a transmissão possa ocorrer mesmo sem o aparecimento de sinais e sintomas. Ou seja, a doença pode ser transmitida mesmo em casos assintomáticos ou antes que a pessoa comece a apresentar sintomas mais claros. Até o momento, não há informações suficientes de quantos dias anteriores ao início dos sinais e sintomas uma pessoa infectada passa a transmitir o vírus."
Transmissão/Infecção,É possível se contaminar por meio de aperto de mãos ou com beijos no rosto?,"Sim, é possível. É recomendável evitar, ao menos temporariamente, esse 
tipo de contato físico, uma vez que pessoas assintomáticas também são 
capazes de transmitir a doença."
Transmissão/Infecção,Por que não são apenas as pessoas de risco que precisam ficar isoladas?,"Porque cada um tem seu papel na transmissão. Estudos mostram que cada pessoa infectada transmite para até outras três pessoas. Ao fim de dez passos, já são mais de 10 mil pessoas infectadas. "
Transmissão/Infecção,É possível se infectar através da relação sexual?,"Pela relação sexual não, mas o beijo pode ser um transmissor do vírus."
Transmissão/Infecção,Como o coronavírus é transmitido?,"Por se tratar de uma doença nova, os cientistas ainda estão descobrindo uma série de fatores relacionados a ela. Mas já se sabe que a transmissão se dá por contato com secreções contaminadas, como gotículas de saliva, espirro, tosse e catarro. Deve-se evitar o contato pessoal próximo, como toque ou aperto de mão, e contato com objetos ou superfícies contaminadas, seguido de contato com a boca, o nariz ou os olhos."
