pergunta,assimilacao_um,nota_um,assimilacao_dois,nota_dois,assimilacao_tres,nota_tres
quais sao os sintomas do novo coronavirus?,quais os sintomas do coronavirus?,100,quais sao os sintomas?,100,quais sao as complicacoes do novo coronavirus?,75
o que sao coronavirus?,o que e o novo coronavirus?,100,o que sao os coronavirus?,100,o que e covid-19?,100
qual o plano da secretaria da saude para monitorar e conter a expansao de casos?,como a rede municipal de saude se preparou para atender os casos da covid-19?,60,qual a orientacao para os profissionais da saude quando retornam a seus domicilios?,0,o ministerio da saude tem uma plataforma para acompanhamento em tempo real da epidemia?,80
quem precisa ficar em isolamento? ,casos suspeitos tem sido mantidos em isolamento domiciliar. o que isso significa?,60,o que significa isolamento domiciliar?,10,que cuidados devo ter se estiver em isolamento?,0
como e feito o diagnostico do covid-19?,como e feito o diagnostico da covid-19?,100,como e feito o diagnostico?,100,como e feito o tratamento contra o coronavirus?,0
quais requisitos o estabelecimento deve ter para realizar teste rapido?,quais requisitos o estabelecimento deve ter para realizar exame sorologico?,100,qual estabelecimento pode realizar teste rapido?,80,quais sao os requisitos para um teste rapido ser registrado no brasil?,40
como manejar o estresse na crianca ao falar sobre a covid-19?,como falar sobre formas de prevencao com uma crianca?,60,uma pessoa proxima da crianca esta gravemente contaminada pela covid-19. como falar sobre isso?,60,como conversar sobre a covid-19 com uma crianca?,80
havera medida de restricao ou bloqueio a pessoas com sintomas vindas de outros paises?,existe alguma medida de monitoramento de temperatura de pessoas vindas da china ou de outro pais com registro do covid-19?,50,quais as medidas adotadas com pessoas que chegam em portos e aeroportos da bahia vindas de paises com registros da doenca?,50,quais as medidas adotadas com pessoas que chegam em portos e aeroportos de sao paulo vindas de paises com registros da doenca?,50
o que e o novo coronavirus covid-19?,o que e o novo coronavirus?,100,o que e este novo coronavirus?,100,qual a diferenca entre covid-19 e o novo  coronavirus?,10
ha pedidos de empresas que querem registrar testes para covid-19 no brasil?,a anvisa esta priorizando a analise de pedidos de registro de testes para covid-19?,10,"tenho uma viagem agendada para areas no brasil onde ha casos confirmados da doenca, o que devo fazer?",0,temos casos do novo coronavirus no brasil?,0
e importante secar as maos apos a lavagem?,lavar as maos com pouca agua elimina o virus?,5,o alcool em gel substitui a lavagem com agua e sabao?,0,usar o alcool em gel e mais eficiente do que lavar as maos como medida preventiva?,0
o alcool em gel e obrigatorio? ,diante da falta de alcool gel podemos colocar gel de cabelo no alcool 70 liquido como alternativa?,0,"o alcool 92% e eficiente? e o alcool de cereais 93%, eles tem a mesma funcao do alcool gel 70%?",0,usar o alcool em gel e mais eficiente do que lavar as maos como medida preventiva?,0
o que e o covid-19?,o que e a covid-19?,100,sars-cov-2 e o mesmo que covid-19?,5,o que e o novo coronavirus (covid-19)?,100
cachorros e gatos podem transmitir o novo coronavirus?,animais de estimacao podem transmitir o novo coronavirus?,100,animais domesticos podem contrair ou transmitir o novo coronavirus?,98,gestante pode transmitir o novo coronavirus para o feto?,0
temos casos do novo coronavirus no brasil?,o clima no brasil pode ajudar a combater o novo coronavirus?,0,quando foram notificados os primeiros casos do novo coronavirus?,0,onde e possivel consultar numeros de casos suspeitos e confirmados no brasil e mundo?,25
antibioticos sao eficazes na prevencao ou tratamento de covid-19?,"existe alguma vacina, medicamento ou tratamento para o covid-19?",45,ha outros exames na lista de coberturas que auxiliam no diagnostico e tratamento da covid-19?,0,mascaras caseiras podem ajudar na prevencao contra o novo coronavirus?,0
quem tem risco de contrair a covid-19? ,as gestantes correm mais risco de contrair a covid-19?,85,as pessoas que fumam ou usam cigarros de aquecimento ou eletronicos tem maior risco de contrair a covid-19?,85,parar de fumar diminui o risco de contrair a covid-19? ,0
qual o nome oficial da doenca?,por que a doenca causada pelo novo virus recebeu o nome de covid-19?,45,quais os sintomas da doenca? ,0,qual e a orientacao do estado da bahia para quem tem viagens marcadas para paises com registro da doenca?,0
o coronavirus pode contaminar objetos e superficies? ,quanto tempo o coronavirus permanece ativo em diferentes superficies?,45,como devo limpar as superficies?,35,quanto tempo  o virus sobrevive nas superficies?,35
quanto tempo o novo coronavirus vive em uma superficie ou no ar?,quanto tempo o coronavirus permanece ativo em diferentes superficies?,100,em quanto tempo uma pessoa infectada de forma leve esta curada da doenca?,0,quanto tempo dura a recuperacao de uma pessoacom covid-19?,0
como faco para comunicar um desvio de qualidade queixa tecnica evento adverso ou denuncia anonima de um kit para diagnostico de covid-19?,quais sao os equipamentos de protecao individual e para que serve cada um deles? quando usar cada um deles?,0,como faco para saber se estou com o novo coronavirus?,0,o que e um contato domiciliar de caso suspeito ou confirmado?,0
o que e a quarentena `` isolamento profilatico '' e o isolamento? ,o que e isolamento domiciliar? quais cuidados devem ser tomados no isolamento domiciliar?,45,"o que e um ""comunicante"" de caso confirmado?",0,"o que quer dizer ""transmissao comunitaria""?",0
se eu estiver com covid-19 ou com sintomas de gripe posso ter contato com meus pets?,"o que fazer com os profissionais de enfermagem que tiveram contato com algum enfermeiro, tecnico ou auxiliar que foi diagnosticado com a covid-19?",15,o que fazer se retornei de area de transmissao ou tive contato com pessoa com o novo coronavirus?,0,"se eu estiver infectado, serei internado?",0
quanto tempo o coronavirus permanece ativo em diferentes superficies? ,quanto tempo esse virus permanece fora do corpo? pode pegar esse virus mais de uma vez?,65,quanto tempo o novo coronavirus vive em uma superficie ou no ar?,85,quanto tempo o virus persiste numa superficie?,75
caso tenha duvidas como o beneficiario de plano de saude deve ser informar? ,tenho outras duvidas em relacao ao coronavirus. o que faco?,75,existe algum canal direto com o ministerio da saude para tirar duvidas sobre o novo coronavirus?,35,quando se deve procurar o servico de saude?,0
quanto tempo o virus sobrevive nas superficies? ,quanto tempo o virus persiste numa superficie?,100,quanto tempo esse virus permanece fora do corpo? pode pegar esse virus mais de uma vez?,80,por quanto tempo a doenca pode ficar incubada?,0
o novo coronavirus e o mesmo que os virus sars ou mers?,qual e a diferenca entre o novo coronavirus para os outros virus?,80,sars-cov-2 e o mesmo que covid-19?,100,covid-19 e o mesmo que o sars-cov-2?,100
novo coronavirus covid-19 o que e e como surgiu? ,o que e o novo coronavirus?,80,o que e este novo coronavirus?,80,como prevenir o novo coronavirus?,0
os corredores de passagem devem ter 4 metros para os clientes circularem 2 metros para cada lada do cliente em deslocacao? ,"as barreiras fisicas, de materiais como acrilico, vidro ou cortinas, podem servir para reduzir o distanciamento de 2 metros?",15,quais os cuidados devemos ter nos ambientes coletivos ou de aglomeracoes?,45,quais sao os testes disponiveis para deteccao do coronavirus?,0
havera abordagem e multa para cidadaos em veiculos proprios e bicicletas?,havera medida de restricao ou bloqueio a pessoas com sintomas vindas de outros paises?,0,o alcool em gel e obrigatorio?,0,"qual o risco para as criancas? em caso de infeccao, o procedimento e diferenciado?",0
o que e considerado um caso suspeito de infeccao pelo novo coronavirus?,o que e um contato domiciliar de caso suspeito ou confirmado? ,90,como reduzir o risco de infeccao pelo novo coronavirus?,35,fumantes correm maior risco de infeccao pelo novo coronavirus?,35
como e feito o diagnostico?,como e feito o diagnostico do coronavirus?,100,como e feito o diagnostico do covid-19?,100,como e feito o tratamento contra o coronavirus?,0
