perguntas,respostas
O que é COVID-19?,"COVID-19 é a doença causada por um novo coronavírus denominado SARS-CoV-2. A OMS tomou conhecimento deste novo vírus em 31 de dezembro de 2019, após um relatório de um grupo de casos de 'pneumonia viral' em Wuhan, República Popular da China. COVID-19 é a doença causada por um novo coronavírus chamado SARS-CoV-2 . A OMS soube deste novo vírus em 31 de dezembro de 2019, após um relatório de um grupo de casos de ""pneumonia viral"" em Wuhan, na República Popular da China."
Quais são os sintomas da COVID-19?,"Os sintomas mais comuns de COVID-19 são Febre e tosse secaFadiga. Outros sintomas que são menos comuns e podem afetar alguns pacientes incluem: Perda de paladar ou cheiro, Congestão nasal, Conjuntivite (também conhecida como olhos vermelhos) Dor de garganta, Dor de cabeça, Dores musculares ou articulares, Diferentes tipos de erupção cutânea, náusea ou vômito, diarréia, calafrios ou tontura. Os sintomas da doença COVID ‐ 19 grave incluem: falta de ar, perda de apetite, confusão, dor persistente ou pressão no peito, temperatura elevada (acima de 38 ° C) .Outros sintomas menos comuns são: irritabilidade, confusão, consciência reduzida (às vezes associada a convulsões), ansiedade, depressão, distúrbios do sono, complicações neurológicas mais graves e raras, como acidentes vasculares cerebrais, inflamação do cérebro, delírio e danos nos nervos. Pessoas de todas as idades que Se tiver febre e / ou tosse associada a dificuldade em respirar ou falta de ar, dor ou pressão no peito, ou perda de fala ou movimento, deve procurar assistência médica imediatamente. Se possível, ligue primeiro para o seu médico, linha direta ou unidade de saúde, para que possa ser direcionado para a clínica certa. Os sintomas mais comuns de COVID-19 são Febre Tosse secaFadiga Febre Tosse secaFadigaOutros sintomas que são menos comuns e podem afetar alguns pacientes incluem: Perda de gosto ou cheiro, Congestão nasal, Conjuntivite (também conhecida como olhos vermelhos) Dor de garganta, Dor de cabeça, Dores musculares ou articulares, Diferentes tipos de erupção cutânea, Náusea ou vômito, Diarreia, Calafrios ou tonturas. Perda de paladar ou cheiro, Congestão nasal, Conjuntivite (também conhecida como olhos vermelhos) Dor de garganta, dor de cabeça, dores musculares ou articulares, diferentes tipos de erupção cutânea, náuseas ou vômitos, diarreia, calafrios ou tonturas. Os sintomas da doença COVID-19 grave incluem: falta de ar, perda de apetite , Confusão, Dor ou pressão persistente no peito, Temperatura elevada (acima de 38 ° C). Respiração curta, Perda de apetite, Confusão, Dor ou pressão persistente no peito, Temperatura elevada (acima de 38 ° C) .Outros menos comuns os sintomas são: Irr capacidade, Confusão, Consciência reduzida (às vezes associada a convulsões), Ansiedade, Depressão, Distúrbios do sono, Complicações neurológicas mais graves e raras, como acidentes vasculares cerebrais, inflamação do cérebro, delírio e danos aos nervos. Irritabilidade, Confusão, Consciência reduzida (às vezes associada a convulsões) , Ansiedade, Depressão, Distúrbios do sono, Complicações neurológicas mais graves e raras, como derrames, inflamação do cérebro, delírio e danos nos nervos. Pessoas de todas as idades que apresentam febre e / ou tosse associada a dificuldade de respirar ou falta de ar, dor no peito ou pressão ou a perda da fala ou movimento deve procurar atendimento médico imediatamente. Se possível, ligue primeiro para o seu prestador de cuidados de saúde, linha directa ou centro de saúde, para que possa ser encaminhado para a clínica certa."
O que acontece com as pessoas que obtêm COVID-19?,"Entre os que desenvolvem sintomas, a maioria (cerca de 80%) se recupera da doença sem precisar de tratamento hospitalar. Cerca de 15% ficam gravemente doentes e precisam de oxigênio e 5% ficam gravemente doentes e precisam de cuidados intensivos. As complicações que levam à morte podem incluir insuficiência respiratória, síndrome do desconforto respiratório agudo (SDRA), sepse e choque séptico, tromboembolismo e / ou insuficiência de múltiplos órgãos, incluindo lesão do coração, fígado ou rins. Em raras situações, as crianças podem desenvolver uma síndrome inflamatória grave algumas semanas após a infecção. Entre aquelas que desenvolvem sintomas, a maioria (cerca de 80%) se recupera da doença sem precisar de tratamento hospitalar. Cerca de 15% ficam gravemente doentes e precisam de oxigênio e 5% ficam gravemente doentes e precisam de cuidados intensivos. As complicações que levam à morte podem incluir insuficiência respiratória, síndrome do desconforto respiratório agudo (SDRA), sepse e choque séptico, tromboembolismo e / ou insuficiência de múltiplos órgãos, incluindo lesão do coração, fígado ou rins. Em raras situações, as crianças podem desenvolver uma síndrome inflamatória grave algumas semanas após a infecção."
Quem corre maior risco de contrair doenças graves devido ao COVID-19?,"Pessoas com 60 anos ou mais e aqueles com problemas médicos subjacentes, como hipertensão, problemas cardíacos e pulmonares, diabetes, obesidade ou câncer, correm maior risco de desenvolver doenças graves. No entanto, qualquer pessoa pode ficar doente com COVID-19 e tornar-se gravemente doente ou morrer em qualquer idade. Pessoas com 60 anos ou mais e aqueles com problemas médicos subjacentes, como hipertensão, problemas cardíacos e pulmonares, diabetes, obesidade ou câncer, têm maior risco de desenvolver doenças graves. No entanto, qualquer pessoa pode adoecer com COVID-19 e adoecer gravemente ou morrer com qualquer idade."
Existem efeitos a longo prazo do COVID-19?,"Algumas pessoas que tiveram COVID-19, quer tenham precisado de hospitalização ou não, continuam a apresentar sintomas, incluindo fadiga, sintomas respiratórios e neurológicos. A OMS está trabalhando com nossa Rede Técnica Global para Gerenciamento Clínico de COVID-19, pesquisadores e grupos de pacientes em todo o mundo para projetar e realizar estudos de pacientes além do curso agudo inicial da doença para compreender a proporção de pacientes que têm efeitos de longo prazo, por quanto tempo eles persistem e por que ocorrem. Esses estudos serão usados ​​para desenvolver orientações adicionais para o atendimento ao paciente. Algumas pessoas que tiveram COVID-19, quer tenham precisado de hospitalização ou não, continuam a apresentar sintomas, incluindo fadiga, sintomas respiratórios e neurológicos. A OMS está trabalhando com nossa Técnica Global Network for Clinical Management of COVID-19, pesquisadores e grupos de pacientes em todo o mundo para projetar e realizar estudos de pacientes além do curso agudo inicial da doença para entender a proporção de pacientes que têm efeitos de longo prazo, por quanto tempo eles persistem e por que eles ocorrem. Esses estudos serão usados ​​para desenvolver orientações adicionais para o atendimento ao paciente."
Como podemos proteger os outros e a nós mesmos se não sabemos quem está infectado?,"Fique seguro tomando alguns cuidados simples, como distanciamento físico, uso de máscara, especialmente quando o distanciamento não pode ser mantido, mantendo os quartos bem ventilados, evitando multidões e contato próximo, limpando regularmente as mãos e tossindo em um cotovelo ou lenço de papel dobrado. Verifique os conselhos locais onde você mora e trabalha. Faça tudo! Leia a nossa página de conselhos públicos para mais informações. Fique seguro tomando alguns cuidados simples, como distanciamento físico, uso de máscara, especialmente quando o distanciamento não pode ser mantido, mantendo os quartos bem ventilados, evitando multidões e contato próximo, limpando regularmente suas mãos e tossir em um cotovelo ou lenço de papel dobrado. Verifique os conselhos locais onde você mora e trabalha. Faça tudo! Leia a nossa página de conselhos públicos para obter mais informações. Página de conselhos públicos"
Quando devo fazer um teste para COVID-19?,"Qualquer pessoa com sintomas deve ser testada, sempre que possível. Pessoas que não apresentam sintomas, mas tiveram contato próximo com alguém que está, ou pode estar infectado, também podem considerar o teste - entre em contato com as diretrizes de saúde locais e siga suas orientações. Enquanto uma pessoa espera pelos resultados do teste, ela deve permanecer isolada dos outros. Onde a capacidade de teste é limitada, os testes devem ser feitos primeiro para aqueles com maior risco de infecção, como profissionais de saúde, e aqueles com maior risco de doenças graves, como idosos, especialmente aqueles que vivem em residências para idosos ou instituições de cuidados de longa duração .Qualquer pessoa com sintomas deve ser testada, sempre que possível. Pessoas que não apresentam sintomas, mas tiveram contato próximo com alguém que está, ou pode estar infectado, também podem considerar o teste - entre em contato com as diretrizes de saúde locais e siga suas orientações. Enquanto uma pessoa espera pelos resultados do teste, ela deve permanecer isolada dos outros. Onde a capacidade de teste é limitada, os testes devem ser feitos primeiro para aqueles com maior risco de infecção, como profissionais de saúde, e aqueles com maior risco de doenças graves, como idosos, especialmente aqueles que vivem em residências para idosos ou instituições de cuidados de longa duração ."
Que teste devo fazer para ver se tenho COVID-19?,"Na maioria das situações, um teste molecular é usado para detectar SARS-CoV-2 e confirmar a infecção. A reação em cadeia da polimerase (PCR) é o teste molecular mais comumente usado. As amostras são coletadas do nariz e / ou garganta com um cotonete. Os testes moleculares detectam o vírus na amostra, amplificando o material genético viral para níveis detectáveis. Por esse motivo, um teste molecular é usado para confirmar uma infecção ativa, geralmente dentro de alguns dias de exposição e próximo ao momento em que os sintomas podem começar. Na maioria das situações, um teste molecular é usado para detectar SARS-CoV-2 e confirmar a infecção .A reação em cadeia da polimerase (PCR) é o teste molecular mais comumente usado. As amostras são coletadas do nariz e / ou garganta com um cotonete. Os testes moleculares detectam o vírus na amostra, amplificando o material genético viral para níveis detectáveis. Por esse motivo, um teste molecular é usado para confirmar uma infecção ativa, geralmente alguns dias após a exposição e próximo ao momento em que os sintomas podem começar."
E os testes rápidos?,"Os testes rápidos de antígenos (às vezes conhecidos como teste de diagnóstico rápido - RDT) detectam proteínas virais (conhecidas como antígenos). As amostras são coletadas do nariz e / ou garganta com um cotonete. Esses testes são mais baratos que o PCR e oferecem resultados mais rapidamente, embora geralmente sejam menos precisos. Esses testes têm melhor desempenho quando há mais vírus circulando na comunidade e quando coletados em amostras de um indivíduo durante o período em que são mais infecciosos. Testes rápidos de antígenos (às vezes conhecidos como teste de diagnóstico rápido - RDT) detectam proteínas virais (conhecidas como antígenos). As amostras são coletadas do nariz e / ou garganta com um cotonete. Esses testes são mais baratos que o PCR e oferecem resultados mais rapidamente, embora geralmente sejam menos precisos. Esses testes funcionam melhor quando há mais vírus circulando na comunidade e quando coletados em um indivíduo durante o período em que são mais infecciosos."
"Quero saber se já tive COVID-19, que teste posso fazer?","Os testes de anticorpos podem nos dizer se alguém teve uma infecção no passado, mesmo que não tenha sintomas. Também conhecidos como testes sorológicos e geralmente feitos em uma amostra de sangue, esses testes detectam anticorpos produzidos em resposta a uma infecção. Na maioria das pessoas, os anticorpos começam a se desenvolver após alguns dias ou semanas e podem indicar se uma pessoa já teve uma infecção anterior. Os testes de anticorpos não podem ser usados ​​para diagnosticar COVID-19 nos estágios iniciais da infecção ou doença, mas podem indicar se alguém teve ou não a doença no passado. Os testes de anticorpos podem nos dizer se alguém teve uma infecção no passado, mesmo que não tenha sintomas. Também conhecidos como testes sorológicos e geralmente feitos em uma amostra de sangue, esses testes detectam anticorpos produzidos em resposta a uma infecção. Na maioria das pessoas, os anticorpos começam a se desenvolver após alguns dias ou semanas e podem indicar se uma pessoa já teve uma infecção anterior. Os testes de anticorpos não podem ser usados ​​para diagnosticar COVID-19 nos estágios iniciais da infecção ou doença, mas podem indicar se alguém teve ou não a doença no passado."
