pergunta,resposta
o covid-19 terminará em breve?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 terminará?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 vai acabar?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando o bloqueio covid-19 termina?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 irá embora?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 vai acabar?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 algum dia irá embora?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 acabou?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 algum dia acabará?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 termina?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 acabar?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quanto tempo teremos para manter o distanciamento social?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 desaparecerá?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 terminar?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
quando covid-19 vai parar?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 terá ido embora no verão?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 irá embora na primavera?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
o covid-19 morrerá?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
qual é a data final oficial para covid-19?,"1º de maio, eu acho, é completamente irreal, disse o dr. ashish jha, diretor do harvard global health institute. , provavelmente por vários meses. mas você pode ter que fazer isso repetidamente, uma vez que o surto pode vir em ondas."
