pergunta_um,pergunta_dois
"Depois de quantas horas depois de beber um antibiótico, posso beber álcool?",Tenho uma festa esta noite e tomei minha última dose de azitromicina esta manhã. Posso tomar algumas bebidas?
"Depois de quantas horas depois de beber um antibiótico, posso beber álcool?",Vomitei esta manhã e não tenho certeza se é o efeito colateral do meu antibiótico ou do álcool que tomei ontem à noite ...
"Estou acima do peso (192,9) para a minha idade (39)?",Eu sou um homem de 39 anos pesando atualmente cerca de 193 libras. Você acha que estou com sobrepeso?
"Estou acima do peso (192,9) para a minha idade (39)?",Qual dieta é boa para perder peso? Keto ou vegano?
Alergia à aspirina - vale a pena comprar uma pulseira?,Quanta Aspirina posso tomar para minha dor de cabeça sem causar nenhum efeito colateral?
Alergia à aspirina - vale a pena comprar uma pulseira?,Meu amigo me contou sobre esta pulseira para alergia à aspirina. Funciona da maneira que eles dizem que funciona?
"Na consulta médica, bati com a cabeça em uma caixa na parede contendo materiais perigosos (seringas usadas, agulhas usadas ...). Vou ficar infectado?",Tudo bem se eu usar a mesma seringa para minha injeção de insulina? Eu preciso tomar três vezes por dia.
"Na consulta médica, bati com a cabeça em uma caixa na parede contendo materiais perigosos (seringas usadas, agulhas usadas ...). Vou ficar infectado?","Hoje de manhã, tive uma consulta com o médico. Depois disso, vi a enfermeira para uma injeção. Quando me levantei, sua caixa de ferramentas caiu em cima de mim. Ela me mandou para casa dizendo que está tudo bem. Mas estou preocupado com uma infecção. Devo marcar outra consulta para qualquer exame de sangue?"
"Estive tomando antibióticos 4 5 semanas dentista dentário superior não obtiver agulha 2 congelar 2 extrato na gengiva realmente doeu, ela disse que são os tecidos hve 2 go bk? Plz","Não consigo extrair o dente, meu dentista não consegue me dar anestesia. Os antibióticos não ajudariam com isso, uma vez que já dura cerca de 4-5 semanas? Devo ir para o pronto-socorro?"
"Estive tomando antibióticos 4 5 semanas dentista dentário superior não obtiver agulha 2 congelar 2 extrato na gengiva realmente doeu, ela disse que são os tecidos hve 2 go bk? Plz",Por que eu tenho dentes pretos? Devo tomar antibióticos? Isso é uma infecção?
O Adderall (dextroanfetamina e anfetamina racêmica) pode causar pressão no ouvido e leves dores de cabeça no final do dia?,Quais são os efeitos colaterais do Adderall? Pode causar problemas de ouvido ou dor de cabeça?
O Adderall (dextroanfetamina e anfetamina racêmica) pode causar pressão no ouvido e leves dores de cabeça no final do dia?,Qual é a dose máxima de Adderall que qualquer pessoa pode tomar?
A coarctação da aorta pode causar baixo crescimento em altura?,"ECHO feito hoje, PA diz que pode haver um problema. Estou aguardando a consulta do especialista amanhã. O que devo perguntar a ele?"
A coarctação da aorta pode causar baixo crescimento em altura?,"Tenho 4 '8 "". Minha mãe disse que eu tenho um defeito de nascença (coarctação da aorta). Os dois são parentes?"
A doxiciclina pode tratar uma infecção no ouvido?,Quais são os efeitos colaterais da doxiciclina?
A doxiciclina pode tratar uma infecção no ouvido?,Qual antibiótico é o melhor para uma infecção de ouvido? Eu tenho um antigo curso de doxiciclina. Funcionaria?
"O vinagre pode ajudar a drenar os seios da face? Tenho comido vinagre balsâmico com minhas saladas e sinto que estão escorrendo, é normal ??",Eu tive problemas de sinusite por um tempo agora. Minha mãe diz que o vinagre ajudaria com eles. É verdade? Eu meio que tentei hoje ...
"O vinagre pode ajudar a drenar os seios da face? Tenho comido vinagre balsâmico com minhas saladas e sinto que estão escorrendo, é normal ??",Qual é o melhor antibiótico para sinusite?
A malformação do chiari pode causar problemas hipofisários ou diabetes insípido?,Posso tomar insulina para meu diabetes?
A malformação do chiari pode causar problemas hipofisários ou diabetes insípido?,Quais são os efeitos da malformação de Chiari? Meu primo tem diabetes e seus relatórios recentes mostram problemas graves. Isso está relacionado?
A homeopatia para acne pode ajudar?,Meu médico prescreveu doxiciclina para minhas espinhas. Quanto tempo demoraria para funcionar?
A homeopatia para acne pode ajudar?,Minha irmã me enviou Dr. Reckeweg R53 Acne Vulgaris e Pimples Drop para minhas espinhas. Você sabe se isso funciona?
Este medicamento pode causar ansiedade em uma criança de 12 anos?,Posso dar um pouco de aspirina para meu filho para dor de cabeça?
Este medicamento pode causar ansiedade em uma criança de 12 anos?,Quais são os efeitos colaterais disso? Isso pode causar ansiedade em crianças?
Você poderia me dizer por que meu marido está suando e vomitando depois de injetar 30 unidades de insulina lantis? O que devo fazer?,Recentemente fui detectado com alto nível de açúcar no sangue. Você acha que o médico vai me prescrever insulina? Posso pedir que ele me dê comprimidos em vez disso?
Você poderia me dizer por que meu marido está suando e vomitando depois de injetar 30 unidades de insulina lantis? O que devo fazer?,"Meu marido é um diabético tipo 2 que toma insulina Lantus e Actrapid (para tomar de acordo com suas leituras de açúcar no sangue. Cerca de uma hora atrás, ele tomou suas 30 unidades habituais de Lantus e vomitou. Ele também estava suando. Devemos nos preocupar?"
A idade aumenta a gravidade dos sintomas / problemas de eds?,Eu tenho um pênis pequeno. Como aumentar o tamanho?
A idade aumenta a gravidade dos sintomas / problemas de eds?,Acho que tenho DE. Isso pioraria à medida que eu envelhecia?
Dermonu funciona para cicatrizes de acne?,Ei! Estou usando Dermonu há cerca de uma semana. Quando devo ver os resultados?
Dermonu funciona para cicatrizes de acne?,Tenho acne desde que era adolescente. Eles irão embora por conta própria?
"Extensão da minha última pergunta. Também há corrimento vaginal, então estou ovulando. Isso pode causar coceira?",Ei pergunta rápida. É normal ter coceira durante a ovulação? Esp se houver corrimento vaginal?
"Extensão da minha última pergunta. Também há corrimento vaginal, então estou ovulando. Isso pode causar coceira?","Estou com secreção vaginal branca há 2 dias, tenho uma DST? Devo marcar uma consulta?"
Sentindo déjà vu frequente. Eu tive talvez 3 ataques de pânico nos últimos dois meses que me deixaram um pouco ansioso e me perguntando se é isso?,"Ataques de pânico recorrentes, sensação de déjà vu, ansiedade. Com duração de alguns meses agora. É algo com que se preocupar?"
Sentindo déjà vu frequente. Eu tive talvez 3 ataques de pânico nos últimos dois meses que me deixaram um pouco ansioso e me perguntando se é isso?,Por que fico ansiosa quando entro no elevador?
Teve problemas no pescoço / nas costas por meses e cãibras musculares nas panturrilhas. Estressado. Ter (ansiedade) BP é um tanto saudável. Ontem senti um formigamento em ambas as mãos e tremido. Em 20 anos .. Agora está ligado e desligado. Alguma ideia?,Tenho dor de garganta e febre. Isso é meningite?
Teve problemas no pescoço / nas costas por meses e cãibras musculares nas panturrilhas. Estressado. Ter (ansiedade) BP é um tanto saudável. Ontem senti um formigamento em ambas as mãos e tremido. Em 20 anos .. Agora está ligado e desligado. Alguma ideia?,"Problemas médicos anteriores: ansiedade, estresse, dor nas costas, dor no pescoço, cãibras musculares por meses. Pressão arterial normal. É normal sentir algum formigamento nas mãos?"
"Olá, tive um ultra-som dos testículos e da região inguinal. Nenhum vestígio de hérnia ou adenopatia. Os resultados voltaram completamente normais. Meu médico olhou e sentiu duas vezes. Ele disse que definitivamente não é uma hérnia e é apenas ligeiramente grande.",Eu tive minha consulta de rotina ontem e meu médico disse que o inchaço perto da virilha não é uma hérnia. O ultrassom não mostrou nada. É possível ainda ter hérnia ou inchaço dos linfonodos se a ultrassonografia for negativa?
"Olá, tive um ultra-som dos testículos e da região inguinal. Nenhum vestígio de hérnia ou adenopatia. Os resultados voltaram completamente normais. Meu médico olhou e sentiu duas vezes. Ele disse que definitivamente não é uma hérnia e é apenas ligeiramente grande.",Qual é o tratamento para correção de hérnia? É necessário um ultrassom para isso? Pedindo por um amigo.
Como o nível de felicidade de alguém pode afetar a saúde de alguém?,Ficar feliz pode melhorar minha saúde? Que etapas específicas devo seguir?
Como o nível de felicidade de alguém pode afetar a saúde de alguém?,"Ei, acompanhando isso. O médico diz que os resultados são normais e pode ser estresse. Devo ter outra opinião?"
Quão comum é ter sintomas de ansiedade física sem se sentir ansioso?,Os exercícios respiratórios não estão ajudando com minha ansiedade. Devo ir ao pronto-socorro?
Quão comum é ter sintomas de ansiedade física sem se sentir ansioso?,Tenho tremores e dores no peito. Mas não estou ansioso. Você acha que isso é normal?
Como adicionar e TDAH diferem?,"ADD e ADHD são iguais? Minha irmã foi diagnosticada com DDA. Portanto, procure algumas coisas para ler."
Como adicionar e TDAH diferem?,Quais são os efeitos colaterais do tratamento para o TDAH?
Como posso saber se tenho depressão e ansiedade?,A TCC pode ser usada para tratar a ansiedade?
Como posso saber se tenho depressão e ansiedade?,Quais são os sintomas de depressão e ansiedade?
Quanto tempo leva para o herpes aparecer?,"O uso de preservativos pode prevenir a transmissão do herpes? Tenho uma inchação no canto do lábio e estou um pouco preocupada. Uma ajudinha, por favor?"
Quanto tempo leva para o herpes aparecer?,Eu fiz sexo desprotegido no dia 7 deste mês. Há um horário específico em que ocorre o primeiro surto?
Quantos tylenol (acetaminofen) 3 são iguais a um percocet?,Sou alérgico a Percocet. O que mais o médico pode me prescrever para minha dor? Não tenho certeza se Tylenol faria o truque.
Quantos tylenol (acetaminofen) 3 são iguais a um percocet?,"Estou sem Percocet, quantos comprimidos de Tylenol devo tomar para dar uma quantidade semelhante de alívio da dor?"
Quanto tempo livre do trabalho devo tirar após uma reconstrução do LCA?,Preciso de cirurgia reconstrutiva do LCA. Como é o processo de recuperação? Quanto tempo devo decolar?
Quanto tempo livre do trabalho devo tirar após uma reconstrução do LCA?,"Torci o joelho no trabalho e está muito inchado, mas consigo andar sobre ele. Eu poderia ter rasgado meu ACL?"
Como o metotrexato deve afetar as células do corpo no que diz respeito ao tratamento da artrite?,Eu caí 2 meses atrás e meu joelho está inchado até agora. Isso é artrite?
Como o metotrexato deve afetar as células do corpo no que diz respeito ao tratamento da artrite?,Tenho artrite e fui prescrito com metotrexato. Como funciona? Quanto tempo vai demorar para mostrar seus efeitos?
Como lidar com alguém agindo infantilmente?,Minha namorada está me incomodando. Ela tem ataques de raiva literalmente toda vez que saímos. É embaraçoso. O que eu faço para que ela veja isso?
Como lidar com alguém agindo infantilmente?,Quais são os diferentes tipos de personalidades? Ser imaturo é um deles?
Como saber a que estou tendo uma reação alérgica?,Benadryl pode ajudar com coceira?
Como saber a que estou tendo uma reação alérgica?,Não tenho ideia do que está causando esses inchaços no meu corpo. Existe um teste específico que pode detectar isso?
"Estou atualmente tomando minocina (minociclina) para tratar meu acne, mas acho que estou tendo urticária que coça?",A urticária é um efeito colateral comum do Minocin? Não tenho certeza se essa vermelhidão é algo com que devo me preocupar?
"Estou atualmente tomando minocina (minociclina) para tratar meu acne, mas acho que estou tendo urticária que coça?",O que posso usar para urticária no meu braço? Benadryl está bem enquanto toma antibióticos?
"Se eu tivesse hepatite a, isso significa que não posso beber álcool por um determinado número de semanas depois?",A hepatite A pode se espalhar compartilhando cigarros ou garrafas de álcool de uma pessoa infectada?
"Se eu tivesse hepatite a, isso significa que não posso beber álcool por um determinado número de semanas depois?",Quando posso beber álcool depois de fazer o teste positivo para Hep A?
Eu fico com uma ou duas manchas de acne a cada mês. Como faço para evitá-las? A acne também deixa cicatrizes na minha pele. Existe algum produto de prateleira que eu poderia experimentar,Eu tenho uma cicatriz curada na minha perna. O suco de limão ajudaria com isso?
Eu fico com uma ou duas manchas de acne a cada mês. Como faço para evitá-las? A acne também deixa cicatrizes na minha pele. Existe algum produto de prateleira que eu poderia experimentar,Quais são alguns remédios caseiros que posso usar para tratar cicatrizes no rosto. Eu tenho lutado com acne há algum tempo. :(
"Eu tive meu período duas vezes em 3 semanas, pela segunda vez em 4 meses. Por quê? Não estive estressado ou mudei meu plano de exercícios ou dieta recentemente ..",A injeção anticoncepcional pode causar irregularidade na menstruação? Eu tenho manchas e não tenho certeza se está relacionado.
"Eu tive meu período duas vezes em 3 semanas, pela segunda vez em 4 meses. Por quê? Não estive estressado ou mudei meu plano de exercícios ou dieta recentemente ..","Eu sou uma mulher de 19 anos que se exercita regularmente e tem uma dieta balanceada. Eu também tomo multivitaminas. Não sexualmente ativo, nem tomando nenhum medicamento. Ultimamente, minha menstruação tem sido mais frequente. Este é o 4º mês desde quando começou. Estou um pouco preocupada."
"Fiz uma cirurgia artroscópica no joelho esquerdo há quase um mês, mas parece que ele está se enchendo de líquido sinovial, devo voltar ao trabalho ou esperar até ver o dr.?",Quanto custa para fazer uma cirurgia artroscópica no joelho?
"Fiz uma cirurgia artroscópica no joelho esquerdo há quase um mês, mas parece que ele está se enchendo de líquido sinovial, devo voltar ao trabalho ou esperar até ver o dr.?","Quando posso ir para o trabalho após uma cirurgia artroscópica no joelho? Além disso, quanto tempo dura o inchaço? O meu parece inchar mais e mais a cada dia. :("
Tenho tinea versicolor nos testículos e na ponta do pênis. Ele fica com coceira e seca. O médico me enviou uma lavagem com ácido salicílico. Faz sentido?,Tenho manchas descoloridas que coçam e secam no pênis e nos testículos. O médico acha que é uma infecção fúngica (tinha) e foi prescrito com o limpador de ácido salicílico da CeraVe. será que vai dar certo?
Tenho tinea versicolor nos testículos e na ponta do pênis. Ele fica com coceira e seca. O médico me enviou uma lavagem com ácido salicílico. Faz sentido?,A lavagem com ácido salicílico não me ajudou com minha acne cística. Devo pedir antibióticos?
"Tenho 16 anos e meu testículo esquerdo começou a ter uma dor um tanto forte, dói mais do que extremamente quando eu caminho e bate nas minhas calças Não consigo dirigir ajuda?",A vermelhidão dos testículos significa câncer?
"Tenho 16 anos e meu testículo esquerdo começou a ter uma dor um tanto forte, dói mais do que extremamente quando eu caminho e bate nas minhas calças Não consigo dirigir ajuda?",Minha bola esquerda dói e faz mais quando estou andando ou se esfrega no meu short. Eu tenho apenas 16 anos. O que está acontecendo?
"Estou tomando remédios para ansiedade e depressão, principalmente para evitar ataques de pânico. Posso tomar mais de 0,5 se sentir pânico e 0,5 mg não funcionar?",A TCC pode ser usada para tratar a ansiedade?
"Estou tomando remédios para ansiedade e depressão, principalmente para evitar ataques de pânico. Posso tomar mais de 0,5 se sentir pânico e 0,5 mg não funcionar?","Estou tomando medicamentos para ansiedade e depressão há cerca de 2 meses. Ainda tenho ataques de pânico. Isso significa que posso tomar uma dose mais alta do que meu 0,5 mg usual?"
"É 4 mg intuniv & 2mgrisperdal demais para um 5 1/2 anos de idade, estou preocupado .. Seu neurologista prescreveu para PDDnos e ADHD?",Qual é a dose máxima de Guanfacine e Risperdal em crianças?
"É 4 mg intuniv & 2mgrisperdal demais para um 5 1/2 anos de idade, estou preocupado .. Seu neurologista prescreveu para PDDnos e ADHD?",Com quais medicamentos o Risperidal pode interagir? Comecei há 2 dias e só quero ter cuidado.
O suco de aloe vera é bom para a hipertensão?,"Ei! Visitei o médico hoje, ele disse que minha pressão arterial é 150/90 mmHg. Não prescreveu nada, apenas disse para fazer exercícios e fazer dieta alimentar. Quer saber se o suco de aloe vera ajudaria?"
O suco de aloe vera é bom para a hipertensão?,O aloe vera é bom para a acne no rosto e nos braços?
As bactérias fecais são realmente prejudiciais à saúde em comparação com outras bactérias quando você está grávida?,Posso tomar pílulas pré-natais para uma gravidez mais saudável?
